PRCP       009561 19050101 20180131 missing_value=99999.9 KENDENUP POST OFFICE                      
19811001 19811031    26.6
19811101 19811130    30.4
19811201 19811231    11.4
19820101 19820131   187.6
19820201 19820228    15.4
19820301 19820331    30.0
19820401 19820430     4.4
19820501 19820531    31.2
19820601 19820630    54.0
19820701 19820731    60.4
19820801 19820831    45.6
19820901 19820930    24.6
19821001 19821031    28.8
19821101 19821130    33.0
19821201 19821231    10.6
19830101 19830131     1.0
19830201 19830228    27.6
19830301 19830331    17.6
19830401 19830430    15.6
19830501 19830531    35.4
19830601 19830630    87.2
19830701 19830731    78.2
19830801 19830831    57.6
19830901 19830930    60.8
19831001 19831031    30.6
19831101 19831130    40.6
19831201 19831231    54.2
19840101 19840131     0.6
19840201 19840229    14.0
19840301 19840331    13.4
19840401 19840430    22.8
19840501 19840531    74.0
19840601 19840630    91.0
19840701 19840731    60.3
19840801 19840831    91.8
19840901 19840930    82.6
19841001 19841031    28.4
19841101 19841130    96.4
19841201 19841231     8.8
19850101 19850131    37.6
19850201 19850228     6.2
19850301 19850331     8.8
19850401 19850430    69.6
19850501 19850531    29.2
19850601 19850630    41.4
19850701 19850731    70.8
19850801 19850831   102.6
19850901 19850930    33.2
19851001 19851031    36.8
19851101 19851130    20.8
19851201 19851231    11.4
19860101 19860131     0.0
19860201 19860228    50.6
19860301 19860331    14.8
19860401 19860430     4.6
19860501 19860531    43.8
19860601 19860630    75.4
19860701 19860731    84.0
19860801 19860831    61.8
19860901 19860930    61.4
19861001 19861031    33.8
19861101 19861130    13.6
19861201 19861231     4.0
19870101 19870131     3.8
19870201 19870228     0.6
19870301 19870331    19.6
19870401 19870430    47.2
19870501 19870531    50.4
19870601 19870630    29.0
19870701 19870731    59.0
19870801 19870831    40.6
19870901 19870930    25.4
19871001 19871031    24.8
19871101 19871130    52.8
19871201 19871231    24.0
19880101 19880131    14.2
19880201 19880229     0.4
19880301 19880331    30.0
19880401 19880430    15.2
19880501 19880531   187.8
19880601 19880630   128.8
19880701 19880731    81.0
19880801 19880831    69.8
19880901 19880930    68.0
19881001 19881031    27.0
19881101 19881130    19.0
19881201 19881231    42.6
19890101 19890131    64.0
19890201 19890228    35.0
19890301 19890331     6.4
19890401 19890430    51.0
19890501 19890531    40.4
19890601 19890630    49.8
19890701 19890731    92.0
19890801 19890831    64.6
19890901 19890930    30.0
19891001 19891031    68.6
19891101 19891130    32.4
19891201 19891231    14.0
19900101 19900131    42.6
19900201 19900228    25.6
19900301 19900331    34.8
19900401 19900430    52.4
19900501 19900531    53.8
19900601 19900630    63.6
19900701 19900731   123.8
19900801 19900831    36.4
19900901 19900930    46.2
19901001 19901031    69.8
19901101 19901130    21.6
19901201 19901231     6.4
19910101 19910131     5.4
19910201 19910228    20.4
19910301 19910331    14.0
19910401 19910430    17.6
19910501 19910531    52.6
19910601 19910630    80.7
19910701 19910731   130.0
19910801 19910831    67.4
19910901 19910930    55.6
19911001 19911031    25.2
19911101 19911130    29.8
19911201 19911231    15.8
19920101 19920131     9.8
19920201 19920229    40.6
19920301 19920331    18.0
19920401 19920430    19.2
19920501 19920531    77.2
19920601 19920630    82.2
19920701 19920731    56.4
19920801 19920831   112.6
19920901 19920930    74.8
19921001 19921031    53.0
19921101 19921130    97.0
19921201 19921231    26.8
19930101 19930131     2.4
19930201 19930228     7.4
19930301 19930331    85.2
19930401 19930430    21.2
19930501 19930531   117.2
19930601 19930630    42.8
19930701 19930731    79.6
19930801 19930831    60.2
19930901 19930930    43.0
19931001 19931031    58.6
19931101 19931130    23.6
19931201 19931231    10.2
19940101 19940131     1.8
19940201 19940228     5.0
19940301 19940331     1.0
19940401 19940430    10.8
19940501 19940531   117.2
19940601 19940630    47.0
19940701 19940731    60.8
19940801 19940831    79.4
19940901 19940930    39.8
19941001 19941031    46.6
19941101 19941130    15.2
19941201 19941231     0.0
19950101 19950131     7.4
19950201 19950228    15.0
19950301 19950331    11.4
19950401 19950430     7.0
19950501 19950531    66.4
19950601 19950630    63.2
19950701 19950731    83.6
19950801 19950831    41.0
19950901 19950930    49.0
19951001 19951031    51.0
19951101 19951130    35.0
19951201 19951231    52.8
19960101 19960131    10.4
19960201 19960229     1.0
19960301 19960331    12.8
19960401 19960430     7.6
19960501 19960531    44.8
