PRCP       077030 18860901 20160731 missing_value=99999.9 NARRAPORT                                 
19780401 19780430    22.6
19780501 19780531    62.6
19780601 19780630    32.0
19780701 19780731    58.6
19780801 19780831    63.8
19780901 19780930    60.1
19781001 19781031    17.2
19781101 19781130    54.6
19781201 19781231     4.6
19790101 19790131    59.8
19790201 19790228    39.0
19790301 19790331     6.8
19790401 19790430    15.2
19790501 19790531    58.0
19790601 19790630    16.8
19790701 19790731    15.4
19790801 19790831    54.4
19790901 19790930    62.0
19791001 19791031    36.4
19791101 19791130    41.2
19791201 19791231     1.0
19800101 19800131     0.0
19800201 19800229     0.0
19800301 19800331    12.2
19800401 19800430    77.4
19800501 19800531    24.0
19800601 19800630    31.2
19800701 19800731    25.4
19800801 19800831    34.6
19800901 19800930     9.2
19801001 19801031    77.2
19801101 19801130    13.4
19801201 19801231    20.0
19810101 19810131    19.6
19810201 19810228    14.8
19810301 19810331     2.2
19810401 19810430     2.8
19810501 19810531    34.8
19810601 19810630    53.4
19810701 19810731    66.4
19810801 19810831    55.6
19810901 19810930    22.8
19811001 19811031    54.8
19811101 19811130    26.0
19811201 19811231     4.8
19820101 19820131     8.6
19820201 19820228     0.0
19820301 19820331    22.8
19820401 19820430    11.4
19820501 19820531     9.8
19820601 19820630    17.4
19820701 19820731     4.8
