PRCP       090135 18900101 20180131 missing_value=99999.9 CASTERTON SHOWGROUNDS                     
19560301 19560331    39.9
19560401 19560430    97.8
19560501 19560531    49.5
19560601 19560630   136.8
19560701 19560731    79.5
19560801 19560831   113.5
19560901 19560930    59.6
19561001 19561031    59.0
19561101 19561130    40.9
19561201 19561231    43.4
19570101 19570131     2.2
19570201 19570228    54.8
19570301 19570331    35.4
19570401 19570430    55.1
19570501 19570531    70.6
19570601 19570630    44.9
19570701 19570731    25.7
19570801 19570831    64.2
19570901 19570930    99.0
19571001 19571031    57.5
19571101 19571130    66.2
19571201 19571231    58.7
19580101 19580131    30.2
19580201 19580228    43.5
19580301 19580331    23.4
19580401 19580430    20.4
19580501 19580531   124.5
19580601 19580630    50.0
19580701 19580731   112.6
19580801 19580831    97.3
19580901 19580930    48.4
19581001 19581031    89.3
19581101 19581130    35.1
19581201 19581231    13.8
19590101 19590131    27.7
19590201 19590228    32.2
19590301 19590331    59.9
19590401 19590430    11.7
19590501 19590531    15.1
19590601 19590630    30.2
19590701 19590731    37.8
19590801 19590831    75.0
19590901 19590930    52.3
19591001 19591031    37.8
19591101 19591130    20.1
19591201 19591231    92.9
19600101 19600131    39.2
19600201 19600229    78.1
19600301 19600331    48.0
19600401 19600430    74.7
19600501 19600531    87.5
19600601 19600630    53.5
19600701 19600731    81.8
19600801 19600831    92.0
19600901 19600930   110.4
19601001 19601031    47.7
19601101 19601130    65.3
19601201 19601231    15.6
19610101 19610131     4.9
19610201 19610228     5.1
19610301 19610331     8.0
19610401 19610430    97.9
19610501 19610531    32.7
19610601 19610630    77.7
19610701 19610731    70.4
19610801 19610831    51.4
19610901 19610930    42.4
19611001 19611031    52.8
19611101 19611130    28.4
19611201 19611231    35.5
19620101 19620131    10.4
19620201 19620228    38.2
19620301 19620331    17.7
19620401 19620430     7.1
19620501 19620531    70.0
19620601 19620630   109.5
19620701 19620731    51.2
19620801 19620831    74.8
19620901 19620930    71.6
19621001 19621031    78.2
19621101 19621130    21.2
19621201 19621231    25.1
19630101 19630131    91.3
19630201 19630228     1.9
19630301 19630331    19.3
19630401 19630430     3.0
19630501 19630531    87.5
