PRCP       040014 18920501 20120930 missing_value=99999.9 BEAUDESERT                                
19440801 19440831    48.8
19440901 19440930    46.8
19441001 19441031    27.1
19441101 19441130    36.9
19441201 19441231    58.7
19450101 19450131    94.7
19450201 19450228   275.5
19450301 19450331    36.9
19450401 19450430    28.2
19450501 19450531    65.5
19450601 19450630   283.2
19450701 19450731    73.1
19450801 19450831    33.3
19450901 19450930    34.0
19451001 19451031    41.2
19451101 19451130   110.7
19451201 19451231    70.7
19460101 19460131   304.0
19460201 19460228   188.5
19460301 19460331   120.0
19460401 19460430    67.4
19460501 19460531     3.6
19460601 19460630     3.6
19460701 19460731     2.6
19460801 19460831     7.4
19460901 19460930    86.8
19461001 19461031    51.1
19461101 19461130    44.0
19461201 19461231   109.1
19470101 19470131   400.1
19470201 19470228   137.8
19470301 19470331   294.3
19470401 19470430    75.1
19470501 19470531    33.4
19470601 19470630    12.7
19470701 19470731     5.1
19470801 19470831    11.9
19470901 19470930    62.8
19471001 19471031    52.8
19471101 19471130    84.1
19471201 19471231   248.6
19480101 19480131    82.8
19480201 19480229    60.9
19480301 19480331    72.1
19480401 19480430    66.0
19480501 19480531   180.3
19480601 19480630   204.0
19480701 19480731    25.4
19480801 19480831    17.5
19480901 19480930    88.4
19481001 19481031     0.0
19481101 19481130    57.8
19481201 19481231    90.6
19490101 19490131    71.8
19490201 19490228   358.3
19490301 19490331   174.3
19490401 19490430    12.2
19490501 19490531    17.5
19490601 19490630    82.2
19490701 19490731    27.7
19490801 19490831    10.9
19490901 19490930    30.0
19491001 19491031   212.0
19491101 19491130    96.0
19491201 19491231    93.5
19500101 19500131   105.3
19500201 19500228   249.9
19500301 19500331   139.9
19500401 19500430    51.7
19500501 19500531     9.6
19500601 19500630   167.1
19500701 19500731   221.0
19500801 19500831     4.6
19500901 19500930     6.1
19501001 19501031   145.8
19501101 19501130   134.2
19501201 19501231    31.7
19510101 19510131   333.9
19510201 19510228    19.7
19510301 19510331   131.5
19510401 19510430    31.3
19510501 19510531    13.5
19510601 19510630   101.4
19510701 19510731     0.0
19510801 19510831    10.9
19510901 19510930    15.5
19511001 19511031    33.4
19511101 19511130    15.7
19511201 19511231    95.2
19520101 19520131    32.7
19520201 19520229    44.5
19520301 19520331    95.3
19520401 19520430   117.9
19520501 19520531    74.6
19520601 19520630   118.5
19520701 19520731     3.6
19520801 19520831    74.2
19520901 19520930    13.1
19521001 19521031   134.7
19521101 19521130    25.4
19521201 19521231    36.1
19530101 19530131   181.0
19530201 19530228   197.9
19530301 19530331   220.2
19530401 19530430    17.2
19530501 19530531    29.6
19530601 19530630     0.0
19530701 19530731     2.8
19530801 19530831    50.8
19530901 19530930     7.2
19531001 19531031    53.1
19531101 19531130    62.5
19531201 19531231    60.7
19540101 19540131   104.9
19540201 19540228   550.7
19540301 19540331   100.7
19540401 19540430    33.6
19540501 19540531    44.6
19540601 19540630    43.9
19540701 19540731   115.9
19540801 19540831    82.3
19540901 19540930    74.3
19541001 19541031   162.3
19541101 19541130    72.3
19541201 19541231    90.2
19550101 19550131   104.1
19550201 19550228    55.9
19550301 19550331   250.7
19550401 19550430   134.1
19550501 19550531   124.7
19550601 19550630    24.1
19550701 19550731    54.9
19550801 19550831     4.8
19550901 19550930    53.1
19551001 19551031    82.6
19551101 19551130    24.9
19551201 19551231   166.4
19560101 19560131    79.7
19560201 19560229   316.2
19560301 19560331    46.6
19560401 19560430   123.9
19560501 19560531   138.1
19560601 19560630    80.9
19560701 19560731    29.0
19560801 19560831    11.7
19560901 19560930    11.6
19561001 19561031    45.4
19561101 19561130    20.9
19561201 19561231   184.5
19570101 19570131   101.3
19570201 19570228    98.2
19570301 19570331    49.9
19570401 19570430    28.2
19570501 19570531     2.0
19570601 19570630    29.5
19570701 19570731    73.7
19570801 19570831    39.9
19570901 19570930    12.8
19571001 19571031    34.3
19571101 19571130    30.0
19571201 19571231    30.3
19580101 19580131   101.5
19580201 19580228   154.3
19580301 19580331    94.1
19580401 19580430    62.6
19580501 19580531     5.4
19580601 19580630   148.1
19580701 19580731     5.3
19580801 19580831    53.3
19580901 19580930    28.8
19581001 19581031    64.0
19581101 19581130    43.1
19581201 19581231   200.1
19590101 19590131   135.1
19590201 19590228   113.9
19590301 19590331   144.5
19590401 19590430    48.0
19590501 19590531    23.7
19590601 19590630    13.7
19590701 19590731    59.1
19590801 19590831    13.2
19590901 19590930    74.1
19591001 19591031   146.8
19591101 19591130   192.3
19591201 19591231   177.3
19600101 19600131    46.6
19600201 19600229    88.6
19600301 19600331    18.2
19600401 19600430    15.0
19600501 19600531    31.2
19600601 19600630    33.7
19600701 19600731    26.4
19600801 19600831    21.1
19600901 19600930     3.6
19601001 19601031    68.9
19601101 19601130    97.9
19601201 19601231   117.9
19610101 19610131    54.1
19610201 19610228   184.8
19610301 19610331    33.2
19610401 19610430    71.1
19610501 19610531    35.7
19610601 19610630    45.5
19610701 19610731    53.8
19610801 19610831    42.7
19610901 19610930    31.0
19611001 19611031   132.0
19611101 19611130   287.0
19611201 19611231   305.4
19620101 19620131   141.9
19620201 19620228    71.0
19620301 19620331   153.3
19620401 19620430    42.7
19620501 19620531    22.3
