PRCP       033060 18930101 20180131 missing_value=99999.9 PLEYSTOWE SUGAR MILL                      
19620801 19620831     0.0
19620901 19620930    14.2
19621001 19621031     5.1
19621101 19621130    70.5
19621201 19621231   360.2
19630101 19630131   874.0
19630201 19630228   133.7
19630301 19630331   948.8
19630401 19630430   214.5
19630501 19630531    35.4
19630601 19630630    25.0
19630701 19630731     0.3
19630801 19630831    77.9
19630901 19630930     4.9
19631001 19631031    30.8
19631101 19631130    47.2
19631201 19631231    88.0
19640101 19640131   144.5
19640201 19640229   137.4
19640301 19640331   299.8
19640401 19640430    75.9
19640501 19640531    52.4
19640601 19640630    66.9
19640701 19640731    43.5
19640801 19640831    17.8
19640901 19640930    30.8
19641001 19641031    70.5
19641101 19641130    99.7
19641201 19641231   196.5
19650101 19650131   105.6
19650201 19650228   143.0
19650301 19650331   100.6
19650401 19650430   203.1
19650501 19650531    76.4
19650601 19650630     8.5
19650701 19650731     1.5
19650801 19650831    23.7
19650901 19650930     0.5
19651001 19651031    71.3
19651101 19651130    10.4
19651201 19651231   227.0
19660101 19660131   254.5
19660201 19660228   175.4
19660301 19660331    79.1
19660401 19660430   106.5
19660501 19660531    42.5
19660601 19660630     8.7
19660701 19660731    27.2
19660801 19660831    57.9
19660901 19660930     8.1
19661001 19661031    36.4
19661101 19661130    80.9
19661201 19661231   103.5
19670101 19670131   145.9
19670201 19670228    93.5
19670301 19670331   219.1
19670401 19670430    34.3
19670501 19670531    66.8
19670601 19670630   375.6
19670701 19670731     9.5
19670801 19670831    17.8
19670901 19670930     0.3
19671001 19671031    18.8
19671101 19671130    68.4
19671201 19671231   375.9
19680101 19680131   416.0
19680201 19680229   800.1
19680301 19680331   297.3
19680401 19680430    75.3
19680501 19680531   120.5
19680601 19680630     0.0
19680701 19680731    38.0
19680801 19680831    15.0
19680901 19680930    35.9
19681001 19681031     6.4
19681101 19681130     1.3
19681201 19681231    56.5
19690101 19690131   197.6
19690201 19690228    80.0
19690301 19690331   315.8
19690401 19690430   132.4
19690501 19690531    76.7
19690601 19690630    43.8
19690701 19690731    16.0
19690801 19690831    15.0
19690901 19690930     0.3
19691001 19691031    71.3
19691101 19691130    24.7
19691201 19691231   100.2
19700101 19700131   658.4
19700201 19700228   508.1
19700301 19700331   177.2
19700401 19700430    67.6
19700501 19700531     9.7
19700601 19700630     8.6
19700701 19700731     8.2
19700801 19700831    25.9
19700901 19700930    10.2
19701001 19701031    76.5
19701101 19701130   122.9
19701201 19701231   359.3
19710101 19710131   187.8
19710201 19710228   453.5
19710301 19710331   252.5
19710401 19710430    97.2
19710501 19710531     4.1
19710601 19710630    35.4
19710701 19710731    54.8
19710801 19710831    45.4
19710901 19710930    10.3
19711001 19711031    16.6
19711101 19711130   126.3
19711201 19711231   333.0
19720101 19720131   409.6
19720201 19720229   721.8
19720301 19720331   200.5
19720401 19720430    61.6
19720501 19720531    68.8
19720601 19720630    28.7
19720701 19720731     3.1
19720801 19720831     1.5
19720901 19720930    16.0
19721001 19721031     0.0
19721101 19721130    43.1
19721201 19721231     4.9
19730101 19730131   158.3
19730201 19730228   434.1
19730301 19730331   242.3
19730401 19730430   134.7
19730501 19730531    34.7
19730601 19730630    18.6
19730701 19730731    27.4
19730801 19730831     7.1
19730901 19730930    34.6
19731001 19731031   111.9
19731101 19731130   145.5
19731201 19731231   436.7
19740101 19740131  1374.2
19740201 19740228   127.8
19740301 19740331   723.3
19740401 19740430    77.6
19740501 19740531    97.0
19740601 19740630     1.4
19740701 19740731     0.0
19740801 19740831    70.0
19740901 19740930    79.2
19741001 19741031    13.0
19741101 19741130   178.6
19741201 19741231   142.4
19750101 19750131   605.4
19750201 19750228   221.2
19750301 19750331   304.8
19750401 19750430    72.6
19750501 19750531    10.4
19750601 19750630    40.6
19750701 19750731    35.4
19750801 19750831    26.4
19750901 19750930    75.4
19751001 19751031   107.8
19751101 19751130    63.0
19751201 19751231   574.4
19760101 19760131   251.6
19760201 19760229   373.6
19760301 19760331   612.8
19760401 19760430   115.2
19760501 19760531    38.6
19760601 19760630    47.2
19760701 19760731    15.2
19760801 19760831     0.6
19760901 19760930    13.6
19761001 19761031   106.2
19761101 19761130   125.8
19761201 19761231   245.8
19770101 19770131   174.6
19770201 19770228   481.8
19770301 19770331   450.6
19770401 19770430   169.8
19770501 19770531   190.6
19770601 19770630     0.4
19770701 19770731    15.2
19770801 19770831     0.0
19770901 19770930     3.4
19771001 19771031     2.2
19771101 19771130    99.4
19771201 19771231   128.0
19780101 19780131   165.8
19780201 19780228   662.0
19780301 19780331    87.4
19780401 19780430    26.2
19780501 19780531   107.4
19780601 19780630    17.6
19780701 19780731    62.2
19780801 19780831    31.8
19780901 19780930    40.2
19781001 19781031    52.2
19781101 19781130   165.8
19781201 19781231   112.2
19790101 19790131   720.2
19790201 19790228  1070.4
19790301 19790331   474.6
19790401 19790430    36.2
19790501 19790531    32.2
19790601 19790630   108.0
19790701 19790731    57.0
19790801 19790831     0.0
19790901 19790930     0.2
19791001 19791031    37.0
19791101 19791130    30.0
19791201 19791231   219.2
19800101 19800131   284.8
19800201 19800229   239.8
19800301 19800331    98.0
19800401 19800430   160.8
19800501 19800531   108.6
19800601 19800630    13.2
19800701 19800731    45.0
19800801 19800831    25.8
19800901 19800930     0.0
19801001 19801031    21.0
19801101 19801130    38.6
19801201 19801231   133.8
19810101 19810131   342.0
19810201 19810228   499.4
19810301 19810331   128.6
19810401 19810430   201.2
19810501 19810531   150.5
19810601 19810630    33.4
19810701 19810731    12.4
19810801 19810831    12.4
19810901 19810930     2.0
19811001 19811031     1.4
19811101 19811130   205.8
19811201 19811231   154.0
19820101 19820131   104.3
19820201 19820228    27.0
19820301 19820331   479.5
19820401 19820430   204.5
19820501 19820531    43.6
19820601 19820630    12.0
19820701 19820731     6.2
19820801 19820831    15.7
19820901 19820930    12.5
19821001 19821031     0.0
19821101 19821130     7.8
19821201 19821231   176.4
19830101 19830131   234.4
19830201 19830228    41.9
19830301 19830331   278.0
19830401 19830430   161.0
19830501 19830531   442.9
19830601 19830630    49.0
19830701 19830731    22.4
19830801 19830831     7.1
19830901 19830930    22.0
19831001 19831031    49.5
19831101 19831130    57.5
19831201 19831231    60.2
19840101 19840131   157.9
19840201 19840229   108.3
19840301 19840331    52.6
19840401 19840430    69.6
19840501 19840531    11.2
19840601 19840630     9.0
19840701 19840731    91.4
19840801 19840831     0.0
19840901 19840930    19.6
19841001 19841031    23.0
19841101 19841130   107.2
19841201 19841231   108.4
19850101 19850131    93.4
19850201 19850228   361.8
19850301 19850331   591.6
19850401 19850430    66.2
19850501 19850531   110.2
19850601 19850630    57.0
19850701 19850731    71.2
19850801 19850831    10.2
19850901 19850930     2.8
19851001 19851031   136.4
19851101 19851130   333.4
19851201 19851231    17.6
19860101 19860131   148.4
19860201 19860228   260.2
19860301 19860331   189.1
19860401 19860430   145.4
19860501 19860531    57.5
19860601 19860630    52.0
19860701 19860731    34.8
19860801 19860831    47.0
19860901 19860930    22.8
19861001 19861031    64.0
19861101 19861130    20.0
19861201 19861231    51.0
19870101 19870131    21.8
19870201 19870228    79.2
19870301 19870331   129.0
19870401 19870430   171.4
19870501 19870531    23.6
19870601 19870630    92.0
19870701 19870731    76.0
19870801 19870831     9.8
19870901 19870930     5.0
19871001 19871031    30.2
19871101 19871130   154.4
19871201 19871231    52.4
19880101 19880131    39.6
19880201 19880229   404.2
19880301 19880331   507.8
19880401 19880430   115.8
19880501 19880531    59.4
19880601 19880630   143.6
