PRCP       088060 18840201 20180131 missing_value=99999.9 WALLABY CREEK WEIR                        
19390701 19390731    79.1
19390801 19390831   295.6
19390901 19390930   132.8
19391001 19391031   110.9
19391101 19391130   157.7
19391201 19391231    54.0
19400101 19400131    37.3
19400201 19400229    27.6
19400301 19400331    45.6
19400401 19400430   134.2
19400501 19400531    80.6
19400601 19400630   117.6
19400701 19400731   146.4
19400801 19400831    68.9
19400901 19400930   154.0
19401001 19401031    27.2
19401101 19401130   117.1
19401201 19401231    37.0
19410101 19410131   179.8
19410201 19410228    30.6
19410301 19410331   147.0
19410401 19410430    50.0
19410501 19410531    41.0
19410601 19410630   223.5
19410701 19410731   131.8
19410801 19410831   133.5
19410901 19410930   112.7
19411001 19411031   100.5
19411101 19411130    73.2
19411201 19411231   210.1
19420101 19420131    51.8
19420201 19420228    96.1
19420301 19420331    93.4
19420401 19420430    63.9
19420501 19420531   268.4
19420601 19420630   123.5
19420701 19420731    93.8
19420801 19420831   133.5
19420901 19420930   101.8
19421001 19421031   132.7
19421101 19421130    74.5
19421201 19421231    22.6
19430101 19430131    95.2
19430201 19430228    51.4
19430301 19430331     8.6
19430401 19430430   108.0
19430501 19430531    53.7
19430601 19430630   117.7
19430701 19430731   100.6
19430801 19430831    63.0
19430901 19430930    97.4
19431001 19431031    37.0
19431101 19431130   102.6
19431201 19431231    25.2
19440101 19440131    28.3
19440201 19440229    22.0
19440301 19440331    53.9
19440401 19440430   149.9
19440501 19440531   226.1
19440601 19440630    64.0
19440701 19440731   114.2
19440801 19440831    34.9
19440901 19440930    53.6
19441001 19441031    95.3
19441101 19441130    44.8
19441201 19441231    71.4
19450101 19450131    56.5
19450201 19450228    15.0
19450301 19450331    18.8
19450401 19450430    26.3
19450501 19450531    63.1
19450601 19450630   108.0
19450701 19450731    75.0
19450801 19450831   186.7
19450901 19450930    78.3
19451001 19451031    77.0
19451101 19451130    99.2
19451201 19451231    16.1
19460101 19460131   110.5
19460201 19460228   183.2
19460301 19460331    92.4
19460401 19460430    85.5
19460501 19460531    51.4
19460601 19460630   113.2
19460701 19460731   162.7
19460801 19460831    89.0
19460901 19460930    79.4
19461001 19461031   108.6
19461101 19461130    69.7
19461201 19461231   119.9
19470101 19470131    17.2
19470201 19470228    22.1
19470301 19470331   176.0
19470401 19470430    46.0
19470501 19470531    33.1
19470601 19470630    80.7
19470701 19470731   193.5
19470801 19470831   125.3
19470901 19470930   131.3
19471001 19471031   162.2
19471101 19471130    93.4
19471201 19471231   174.1
19480101 19480131    22.0
19480201 19480229    61.5
19480301 19480331    13.4
19480401 19480430   164.2
19480501 19480531   104.0
19480601 19480630    89.0
19480701 19480731    90.9
19480801 19480831    51.6
19480901 19480930    90.4
19481001 19481031   126.0
19481101 19481130    90.5
19481201 19481231    34.5
19490101 19490131    68.0
19490201 19490228    90.2
19490301 19490331   194.5
19490401 19490430    43.6
19490501 19490531    78.1
19490601 19490630    64.7
19490701 19490731   122.1
19490801 19490831    35.3
19490901 19490930   104.9
19491001 19491031   227.9
19491101 19491130   204.9
19491201 19491231    31.6
19500101 19500131    18.4
19500201 19500228   119.5
19500301 19500331   136.4
19500401 19500430    52.4
19500501 19500531    93.8
19500601 19500630    33.1
19500701 19500731   108.8
19500801 19500831   115.2
19500901 19500930   163.9
19501001 19501031   149.4
19501101 19501130    81.3
19501201 19501231    53.3
19510101 19510131    48.5
19510201 19510228   145.4
19510301 19510331     2.1
19510401 19510430   209.4
19510501 19510531   201.9
19510601 19510630   125.7
19510701 19510731   186.2
19510801 19510831   144.5
19510901 19510930    48.6
19511001 19511031   127.7
19511101 19511130   107.9
19511201 19511231    65.3
19520101 19520131    40.5
19520201 19520229    43.6
19520301 19520331    46.6
19520401 19520430    95.7
19520501 19520531   118.7
19520601 19520630   195.9
19520701 19520731   197.6
19520801 19520831   107.0
19520901 19520930   138.9
19521001 19521031   163.8
19521101 19521130   254.7
19521201 19521231   152.1
19530101 19530131    80.7
19530201 19530228    45.2
19530301 19530331     8.7
19530401 19530430    49.7
19530501 19530531   125.0
19530601 19530630   138.2
19530701 19530731   123.3
19530801 19530831   171.3
19530901 19530930   164.1
19531001 19531031   160.3
19531101 19531130   164.3
19531201 19531231    63.8
19540101 19540131    83.1
19540201 19540228    44.1
19540301 19540331    14.8
19540401 19540430    82.9
19540501 19540531    88.9
19540601 19540630    79.3
19540701 19540731    82.3
19540801 19540831   138.7
19540901 19540930    65.0
19541001 19541031    95.1
19541101 19541130   235.1
19541201 19541231   188.7
19550101 19550131    29.2
19550201 19550228   120.2
19550301 19550331    33.8
19550401 19550430    50.6
19550501 19550531   118.2
19550601 19550630   188.0
19550701 19550731   149.9
19550801 19550831   233.3
19550901 19550930   133.9
19551001 19551031   175.2
19551101 19551130    85.7
19551201 19551231   208.4
19560101 19560131   123.8
19560201 19560229     1.8
19560301 19560331   127.1
19560401 19560430   184.8
19560501 19560531   288.2
19560601 19560630   151.4
19560701 19560731   175.3
19560801 19560831   195.2
19560901 19560930   141.1
19561001 19561031   268.1
19561101 19561130   104.1
19561201 19561231    52.9
19570101 19570131    14.7
19570201 19570228    64.0
19570301 19570331    62.4
19570401 19570430    52.6
19570501 19570531    91.2
19570601 19570630   109.5
19570701 19570731   130.7
19570801 19570831    77.2
19570901 19570930   147.1
19571001 19571031   134.7
19571101 19571130   123.5
19571201 19571231    56.1
19580101 19580131    17.0
19580201 19580228   102.6
19580301 19580331    40.0
19580401 19580430    30.5
19580501 19580531   172.3
19580601 19580630    52.0
19580701 19580731   140.3
19580801 19580831   287.9
19580901 19580930   120.4
19581001 19581031   166.7
19581101 19581130   110.3
19581201 19581231    51.0
19590101 19590131    23.7
19590201 19590228    93.0
19590301 19590331    79.8
19590401 19590430    53.9
19590501 19590531    70.0
19590601 19590630   126.7
19590701 19590731   162.3
19590801 19590831   102.9
19590901 19590930   204.9
19591001 19591031    68.0
19591101 19591130   137.9
19591201 19591231    74.0
19600101 19600131    45.3
19600201 19600229    59.0
19600301 19600331    25.5
19600401 19600430   225.5
19600501 19600531   331.2
19600601 19600630    94.3
19600701 19600731   168.1
19600801 19600831   141.4
19600901 19600930   259.5
19601001 19601031    71.3
19601101 19601130   233.9
19601201 19601231    54.8
19610101 19610131    36.6
19610201 19610228    53.8
19610301 19610331   116.4
19610401 19610430   112.8
19610501 19610531    75.2
19610601 19610630   167.7
19610701 19610731   148.5
19610801 19610831   121.8
19610901 19610930    41.4
19611001 19611031    76.9
19611101 19611130    45.4
19611201 19611231    44.9
19620101 19620131    79.3
19620201 19620228    43.5
19620301 19620331    39.0
19620401 19620430    26.1
19620501 19620531   217.3
19620601 19620630   106.6
19620701 19620731   108.3
19620801 19620831   171.3
19620901 19620930    93.9
19621001 19621031   131.9
19621101 19621130    59.1
19621201 19621231    80.4
19630101 19630131   139.9
19630201 19630228    26.3
19630301 19630331    47.8
19630401 19630430    23.0
19630501 19630531   159.1
19630601 19630630   120.7
19630701 19630731   188.4
19630801 19630831    75.9
19630901 19630930   130.4
19631001 19631031   135.1
19631101 19631130    52.7
19631201 19631231    57.2
19640101 19640131     3.3
19640201 19640229    91.1
19640301 19640331    20.0
19640401 19640430   103.0
19640501 19640531    86.3
19640601 19640630   145.8
19640701 19640731   217.0
19640801 19640831   131.0
19640901 19640930   165.1
19641001 19641031   150.7
19641101 19641130    42.8
19641201 19641231   161.2
19650101 19650131    19.7
19650201 19650228     6.5
19650301 19650331    38.7
19650401 19650430   144.5
19650501 19650531   106.7
19650601 19650630    25.9
19650701 19650731   210.7
19650801 19650831   140.9
19650901 19650930   108.6
19651001 19651031    26.6
19651101 19651130   144.5
19651201 19651231    74.8
19660101 19660131    45.7
19660201 19660228    92.7
19660301 19660331   117.7
19660401 19660430    88.7
19660501 19660531    79.7
19660601 19660630    52.9
19660701 19660731   167.6
19660801 19660831   202.7
19660901 19660930   159.6
19661001 19661031   104.2
19661101 19661130    99.7
19661201 19661231   120.3
19670101 19670131    28.2
19670201 19670228    15.1
19670301 19670331    38.1
19670401 19670430    35.3
19670501 19670531    62.9
19670601 19670630    82.3
19670701 19670731    68.4
19670801 19670831   178.6
19670901 19670930    96.9
19671001 19671031    36.1
19671101 19671130    16.5
19671201 19671231    69.5
19680101 19680131    40.7
19680201 19680229     0.6
19680301 19680331    61.4
19680401 19680430   134.0
19680501 19680531   212.5
19680601 19680630   176.0
19680701 19680731   158.7
19680801 19680831   158.9
19680901 19680930    55.1
19681001 19681031   127.5
19681101 19681130   100.1
19681201 19681231    76.1
19690101 19690131    32.0
19690201 19690228    90.1
19690301 19690331   149.3
19690401 19690430    96.6
19690501 19690531   213.7
19690601 19690630    24.4
19690701 19690731   140.2
19690801 19690831    70.5
19690901 19690930   128.1
19691001 19691031    40.9
19691101 19691130    88.2
19691201 19691231   105.9
19700101 19700131    90.3
19700201 19700228    21.1
19700301 19700331   173.7
19700401 19700430   155.7
19700501 19700531   145.1
19700601 19700630   112.2
19700701 19700731    53.7
19700801 19700831   176.8
19700901 19700930    85.3
19701001 19701031    51.3
19701101 19701130   100.8
19701201 19701231   109.8
19710101 19710131    65.3
19710201 19710228    54.7
19710301 19710331    23.6
19710401 19710430   134.8
19710501 19710531   172.7
19710601 19710630   121.3
19710701 19710731    79.6
19710801 19710831    93.8
19710901 19710930   113.7
19711001 19711031   164.4
19711101 19711130   242.6
19711201 19711231   129.9
19720101 19720131    76.1
19720201 19720229   194.4
19720301 19720331    22.8
19720401 19720430    78.8
19720501 19720531    60.8
19720601 19720630    40.1
19720701 19720731   104.7
19720801 19720831   127.1
19720901 19720930    59.0
19721001 19721031    74.7
19721101 19721130    59.3
19721201 19721231     3.1
19730101 19730131    44.0
19730201 19730228   230.4
19730301 19730331    78.6
19730401 19730430   109.0
19730501 19730531    92.7
19730601 19730630   157.4
19730701 19730731   103.0
19730801 19730831   208.7
19730901 19730930   167.6
19731001 19731031   192.5
19731101 19731130    64.7
19731201 19731231   113.1
19740101 19740131   107.2
19740201 19740228    37.4
19740301 19740331    50.2
19740401 19740430   290.2
19740501 19740531   243.8
19740601 19740630    45.0
19740701 19740731   179.8
19740801 19740831   145.0
19740901 19740930   171.4
19741001 19741031   175.2
19741101 19741130   122.2
19741201 19741231    45.4
19750101 19750131    32.8
19750201 19750228     6.6
19750301 19750331    64.6
19750401 19750430    56.4
19750501 19750531   104.0
19750601 19750630    91.0
19750701 19750731   109.8
19750801 19750831   221.2
19750901 19750930   203.4
19751001 19751031   254.8
19751101 19751130    78.6
19751201 19751231   170.9
19760101 19760131    46.8
19760201 19760229    14.4
19760301 19760331    32.6
19760401 19760430    42.0
19760501 19760531    35.2
19760601 19760630   120.6
19760701 19760731    55.0
19760801 19760831   156.8
19760901 19760930   151.4
19761001 19761031   144.6
19761101 19761130   183.6
19761201 19761231    66.6
19770101 19770131    68.4
19770201 19770228    61.6
19770301 19770331    77.6
19770401 19770430   129.6
19770501 19770531   113.6
19770601 19770630   349.6
19770701 19770731   133.8
19770801 19770831    46.0
19770901 19770930    70.4
19771001 19771031    46.6
19771101 19771130    79.2
19771201 19771231    47.2
19780101 19780131   111.6
19780201 19780228    35.6
19780301 19780331    64.4
19780401 19780430   107.6
19780501 19780531   167.4
19780601 19780630   111.8
19780701 19780731   151.4
19780801 19780831   189.6
19780901 19780930   203.6
19781001 19781031    83.4
19781101 19781130   137.6
19781201 19781231   113.0
19790101 19790131    60.6
19790201 19790228    32.8
19790301 19790331    30.2
19790401 19790430    88.4
19790501 19790531   130.6
19790601 19790630    54.0
19790701 19790731    56.0
19790801 19790831   153.8
19790901 19790930   201.6
19791001 19791031   187.6
