PRCP       015528 19520201 20170131 missing_value=99999.9 YUENDUMU                                  
20080601 20080630    10.3
20080701 20080731     0.0
20080801 20080831     0.0
20080901 20080930    47.5
20081001 20081031     0.0
20081101 20081130    81.3
20081201 20081231   103.4
20090101 20090131   102.2
20090201 20090228    21.0
20090301 20090331     2.0
20090401 20090430     0.0
20090501 20090531    23.0
20090601 20090630     5.8
20090701 20090731     0.0
20090801 20090831     1.2
20090901 20090930     2.9
20091001 20091031     2.0
20091101 20091130     8.4
20091201 20091231    19.5
20100101 20100131   118.6
20100201 20100228    68.6
20100301 20100331    57.7
20100401 20100430    32.2
20100501 20100531    52.1
20100601 20100630     8.6
20100701 20100731   183.9
20100801 20100831     1.9
20100901 20100930    26.1
20101001 20101031    68.9
20101101 20101130    27.4
20101201 20101231    40.6
20110101 20110131    22.6
20110201 20110228   104.4
20110301 20110331   323.5
20110401 20110430     0.0
20110501 20110531     6.6
20110601 20110630    27.4
20110701 20110731 99999.9
20110801 20110831     0.0
20110901 20110930     0.3
20111001 20111031   146.4
20111101 20111130    72.6
20111201 20111231    13.4
20120101 20120131    49.0
20120201 20120229 99999.9
20120301 20120331    43.0
20120401 20120430    19.0
20120501 20120531     0.0
20120601 20120630 99999.9
20120701 20120731     0.0
20120801 20120831     0.0
20120901 20120930     0.0
20121001 20121031     0.0
20121101 20121130 99999.9
20121201 20121231    88.5
20130101 20130131     8.3
20130201 20130228    80.8
20130301 20130331    14.0
20130401 20130430     6.8
20130501 20130531    51.6
20130601 20130630    13.5
20130701 20130731    11.2
20130801 20130831     0.0
20130901 20130930     1.0
20131001 20131031     0.6
20131101 20131130    54.1
20131201 20131231    11.6
20140101 20140131   203.1
20140201 20140228    51.2
20140301 20140331    15.6
20140401 20140430    60.2
20140501 20140531     3.3
20140601 20140630     0.0
20140701 20140731    42.4
20140801 20140831     0.0
20140901 20140930     0.0
20141001 20141031     0.0
20141101 20141130    38.6
20141201 20141231     0.8
20150101 20150131   269.3
20150201 20150228     0.0
20150301 20150331    18.3
20150401 20150430     9.0
20150501 20150531     0.0
20150601 20150630     3.9
20150701 20150731     0.1
20150801 20150831 99999.9
20150901 20150930     0.0
20151001 20151031     4.4
20151101 20151130     0.0
