PRCP       043026 19100101 20101231 missing_value=99999.9 NORMANDY                                  
19711201 19711231   281.4
19720101 19720131    16.7
19720201 19720229    62.8
19720301 19720331    23.7
19720401 19720430    29.2
19720501 19720531    24.9
19720601 19720630     2.3
19720701 19720731     0.3
19720801 19720831    18.5
19720901 19720930    39.9
19721001 19721031    17.4
19721101 19721130   151.4
19721201 19721231    29.8
19730101 19730131   119.2
19730201 19730228    67.5
19730301 19730331    29.9
19730401 19730430     0.0
19730501 19730531     0.0
19730601 19730630    16.7
19730701 19730731   122.2
19730801 19730831    55.1
19730901 19730930    51.5
19731001 19731031    16.2
19731101 19731130    75.9
19731201 19731231    50.9
19740101 19740131   228.0
19740201 19740228    24.0
19740301 19740331    12.8
19740401 19740430   102.0
19740501 19740531    11.0
19740601 19740630    11.4
19740701 19740731     0.0
19740801 19740831    41.0
19740901 19740930    23.2
19741001 19741031    42.2
19741101 19741130    89.0
19741201 19741231    13.6
19750101 19750131    47.2
19750201 19750228    89.0
19750301 19750331    50.2
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630    48.0
19750701 19750731    28.5
19750801 19750831    43.4
19750901 19750930    20.8
19751001 19751031    83.2
19751101 19751130    75.4
19751201 19751231   142.0
19760101 19760131   111.8
19760201 19760229    97.4
19760301 19760331    16.2
19760401 19760430     0.0
19760501 19760531    10.4
19760601 19760630    15.0
19760701 19760731    20.0
19760801 19760831     0.2
19760901 19760930    34.0
19761001 19761031    40.3
19761101 19761130    46.8
19761201 19761231    25.2
19770101 19770131    51.6
19770201 19770228   104.6
19770301 19770331   144.6
19770401 19770430    46.6
19770501 19770531    48.0
19770601 19770630     5.2
19770701 19770731     7.2
19770801 19770831     6.9
19770901 19770930     1.4
19771001 19771031    47.2
19771101 19771130    64.4
19771201 19771231    25.8
19780101 19780131    88.6
19780201 19780228    20.0
19780301 19780331    27.2
19780401 19780430    24.2
19780501 19780531   116.2
19780601 19780630    70.6
19780701 19780731    74.8
19780801 19780831    62.4
19780901 19780930    62.4
19781001 19781031    49.8
19781101 19781130    50.0
19781201 19781231    91.2
19790101 19790131    13.2
19790201 19790228    28.2
19790301 19790331    71.6
19790401 19790430     4.0
19790501 19790531    28.6
19790601 19790630    63.0
19790701 19790731     9.0
19790801 19790831    13.8
19790901 19790930    19.2
19791001 19791031    35.6
19791101 19791130    34.4
19791201 19791231    11.0
19800101 19800131    41.4
19800201 19800229    36.2
19800301 19800331    33.4
19800401 19800430     9.5
19800501 19800531    53.0
19800601 19800630     0.0
19800701 19800731    53.0
19800801 19800831    17.9
19800901 19800930     0.0
19801001 19801031    86.6
19801101 19801130     6.0
19801201 19801231    87.6
19810101 19810131    38.4
19810201 19810228    37.8
19810301 19810331    18.2
19810401 19810430    23.4
19810501 19810531    78.6
19810601 19810630    82.2
19810701 19810731    40.8
19810801 19810831    45.6
19810901 19810930     1.0
19811001 19811031    68.8
19811101 19811130   108.8
19811201 19811231    44.4
19820101 19820131   130.8
19820201 19820228    16.4
19820301 19820331   185.8
19820401 19820430    28.0
19820501 19820531     6.0
19820601 19820630     0.0
19820701 19820731     7.2
19820801 19820831     6.8
19820901 19820930    11.4
19821001 19821031    38.6
19821101 19821130     0.0
19821201 19821231    70.4
19830101 19830131    28.4
19830201 19830228    46.0
19830301 19830331    61.4
19830401 19830430   122.2
19830501 19830531   352.5
19830601 19830630    91.0
19830701 19830731    13.2
19830801 19830831    17.6
19830901 19830930     9.4
19831001 19831031     6.0
19831101 19831130   274.8
19831201 19831231     0.4
19840101 19840131   208.8
19840201 19840229    63.2
19840301 19840331    28.0
19840401 19840430    38.4
19840501 19840531    24.8
19840601 19840630    49.2
19840701 19840731   138.8
19840801 19840831    17.6
19840901 19840930     8.0
19841001 19841031    25.8
19841101 19841130    20.0
19841201 19841231    12.8
19850101 19850131    36.6
19850201 19850228    42.2
19850301 19850331    23.0
19850401 19850430     2.0
19850501 19850531    14.4
19850601 19850630    39.6
19850701 19850731    60.2
19850801 19850831    63.2
19850901 19850930     6.4
19851001 19851031   122.4
19851101 19851130   137.2
19851201 19851231    70.0
19860101 19860131    26.8
19860201 19860228    36.2
19860301 19860331     0.0
19860401 19860430    29.4
19860501 19860531    50.4
19860601 19860630     0.0
19860701 19860731    49.4
19860801 19860831    36.0
19860901 19860930    16.4
19861001 19861031    17.2
19861101 19861130    82.4
19861201 19861231    11.6
19870101 19870131   136.4
19870201 19870228    15.0
19870301 19870331    14.0
19870401 19870430     9.3
19870501 19870531     8.6
19870601 19870630    17.4
19870701 19870731    23.8
19870801 19870831    44.4
19870901 19870930     2.2
19871001 19871031 99999.9
19871101 19871130    29.4
19871201 19871231    14.8
19880101 19880131    60.0
19880201 19880229   208.0
19880301 19880331    50.8
19880401 19880430   105.4
19880501 19880531     6.4
19880601 19880630     4.0
19880701 19880731    63.6
19880801 19880831    28.2
19880901 19880930    14.0
19881001 19881031     2.4
19881101 19881130    25.8
19881201 19881231    59.8
19890101 19890131    13.3
19890201 19890228    30.4
19890301 19890331    72.6
19890401 19890430   180.6
19890501 19890531    16.6
19890601 19890630    32.0
19890701 19890731    15.8
19890801 19890831    12.8
19890901 19890930     0.0
19891001 19891031    83.2
19891101 19891130   101.8
19891201 19891231    58.2
19900101 19900131    22.8
19900201 19900228    41.4
19900301 19900331   131.6
19900401 19900430   217.4
19900501 19900531    58.0
19900601 19900630    29.0
19900701 19900731     9.8
19900801 19900831    16.8
19900901 19900930     9.2
19901001 19901031    32.2
19901101 19901130     0.0
19901201 19901231    42.2
19910101 19910131    83.4
19910201 19910228    98.8
19910301 19910331    17.8
19910401 19910430     0.0
19910501 19910531    52.4
19910601 19910630     8.4
19910701 19910731    23.2
19910801 19910831     0.0
19910901 19910930     1.2
19911001 19911031     5.4
19911101 19911130 99999.9
19911201 19911231    55.4
19920101 19920131    41.6
19920201 19920229    83.5
19920301 19920331     0.2
19920401 19920430    40.0
19920501 19920531    70.8
19920601 19920630     0.2
19920701 19920731     9.4
19920801 19920831    24.0
19920901 19920930    16.8
19921001 19921031    27.8
19921101 19921130    47.8
19921201 19921231   146.4
19930101 19930131    28.0
19930201 19930228    30.0
19930301 19930331     0.0
19930401 19930430     0.8
19930501 19930531     2.2
19930601 19930630    13.2
19930701 19930731    55.6
19930801 19930831    21.8
19930901 19930930    36.8
19931001 19931031    41.0
19931101 19931130    80.6
19931201 19931231   121.4
19940101 19940131    30.6
19940201 19940228   178.2
19940301 19940331    94.4
19940401 19940430     0.2
19940501 19940531     8.2
19940601 19940630    16.8
19940701 19940731     4.4
19940801 19940831     1.2
19940901 19940930     0.0
19941001 19941031    59.6
19941101 19941130    69.6
19941201 19941231    43.8
19950101 19950131    68.4
19950201 19950228    75.2
19950301 19950331    12.0
19950401 19950430     2.0
19950501 19950531    25.8
19950601 19950630    32.8
19950701 19950731 99999.9
19950801 19950831    15.0
19950901 19950930    34.8
19951001 19951031    77.6
19951101 19951130   111.8
19951201 19951231    53.6
19960101 19960131   201.2
19960201 19960229    40.2
19960301 19960331    28.6
19960401 19960430    75.8
19960501 19960531    56.0
19960601 19960630    16.8
19960701 19960731    27.8
19960801 19960831    27.4
19960901 19960930    24.6
19961001 19961031    75.2
19961101 19961130    36.2
19961201 19961231    48.8
19970101 19970131   145.6
19970201 19970228   102.2
19970301 19970331    60.2
19970401 19970430     0.8
19970501 19970531    42.2
19970601 19970630     3.2
19970701 19970731     3.4
19970801 19970831     0.0
19970901 19970930    25.4
19971001 19971031    84.8
19971101 19971130    67.2
19971201 19971231   108.6
19980101 19980131    13.2
19980201 19980228   215.2
19980301 19980331     0.0
19980401 19980430    59.2
19980501 19980531    23.0
19980601 19980630    41.0
19980701 19980731    52.4
19980801 19980831    94.2
19980901 19980930    53.8
19981001 19981031    57.2
19981101 19981130    59.2
19981201 19981231    12.4
19990101 19990131   107.0
19990201 19990228    36.0
19990301 19990331    42.0
19990401 19990430    17.0
19990501 19990531    20.8
19990601 19990630    67.2
19990701 19990731    13.8
19990801 19990831    17.7
19990901 19990930    15.4
19991001 19991031    91.0
19991101 19991130    85.0
19991201 19991231   130.0
20000101 20000131    62.8
20000201 20000229    64.0
20000301 20000331    42.0
20000401 20000430    31.6
20000501 20000531    42.0
20000601 20000630    20.2
20000701 20000731     5.0
20000801 20000831    30.0
20000901 20000930     0.0
20001001 20001031   139.0
20001101 20001130   155.0
20001201 20001231    13.8
20010101 20010131    28.2
20010201 20010228     0.0
20010301 20010331     0.0
20010401 20010430     6.8
20010501 20010531     0.0
20010601 20010630    20.8
20010701 20010731    51.2
20010801 20010831     7.0
20010901 20010930    12.2
20011001 20011031    30.2
20011101 20011130    98.6
20011201 20011231   107.4
20020101 20020131    74.6
20020201 20020228   115.4
20020301 20020331    21.2
20020401 20020430     3.2
20020501 20020531     4.8
20020601 20020630     8.2
20020701 20020731    21.6
20020801 20020831    16.4
20020901 20020930     0.0
20021001 20021031 99999.9
20021101 20021130 99999.9
20021201 20021231     4.4
20030101 20030131     4.4
20030201 20030228   128.4
20030301 20030331    41.8
20030401 20030430    37.4
20030501 20030531     6.2
20030601 20030630     7.8
20030701 20030731    40.6
20030801 20030831    13.4
20030901 20030930     0.0
20031001 20031031    34.6
20031101 20031130    25.2
20031201 20031231   128.4
20040101 20040131   214.4
20040201 20040229    83.6
20040301 20040331 99999.9
20040401 20040430    85.2
20040501 20040531     0.0
20040601 20040630     0.0
20040701 20040731     8.2
20040801 20040831    11.2
20040901 20040930    20.8
20041001 20041031     6.2
20041101 20041130    64.4
20041201 20041231    96.4
20050101 20050131    34.4
20050201 20050228    13.4
20050301 20050331     5.6
20050401 20050430     0.0
20050501 20050531   123.0
20050601 20050630   118.8
20050701 20050731     0.0
20050801 20050831 99999.9
20050901 20050930 99999.9
20051001 20051031 99999.9
