PRCP       010658 19040801 20171231 missing_value=99999.9 WONNAMINTA                                
19960501 19960531    45.4
19960601 19960630   100.0
19960701 19960731   188.2
19960801 19960831    59.2
19960901 19960930    61.2
19961001 19961031    24.4
19961101 19961130    36.8
19961201 19961231     7.4
19970101 19970131     0.4
19970201 19970228    19.8
19970301 19970331    39.8
19970401 19970430    12.9
19970501 19970531    54.8
19970601 19970630    60.4
19970701 19970731    41.8
19970801 19970831    82.8
19970901 19970930    32.0
19971001 19971031     2.8
19971101 19971130     0.0
19971201 19971231     0.0
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331    40.0
19980401 19980430    46.2
19980501 19980531    32.4
19980601 19980630    85.6
19980701 19980731    45.6
19980801 19980831   129.6
19980901 19980930    51.8
19981001 19981031    26.8
19981101 19981130    25.6
19981201 19981231    12.2
19990101 19990131     6.0
19990201 19990228     0.0
19990301 19990331    20.2
19990401 19990430    16.2
19990501 19990531    58.4
19990601 19990630    97.2
19990701 19990731    66.8
19990801 19990831    97.2
19990901 19990930    73.2
19991001 19991031    48.2
19991101 19991130    10.2
19991201 19991231    37.4
20000101 20000131   119.4
20000201 20000229     0.0
20000301 20000331    18.2
20000401 20000430    26.0
20000501 20000531     7.0
20000601 20000630    55.4
