PRCP       025015 19060801 20171130 missing_value=99999.9 PINNAROO                                  
19980901 19980930    34.6
19981001 19981031    34.4
19981101 19981130    69.4
19981201 19981231    16.2
19990101 19990131     7.2
19990201 19990228    48.0
19990301 19990331    45.1
19990401 19990430     0.3
19990501 19990531    43.2
19990601 19990630    20.8
19990701 19990731    46.4
19990801 19990831    21.6
19990901 19990930    24.8
19991001 19991031    36.4
19991101 19991130    34.8
19991201 19991231    33.2
20000101 20000131     3.8
20000201 20000229    92.1
20000301 20000331    15.7
20000401 20000430    47.4
20000501 20000531    18.6
20000601 20000630    21.4
20000701 20000731    41.0
20000801 20000831    41.0
20000901 20000930    40.0
20001001 20001031    37.0
20001101 20001130    24.2
20001201 20001231    12.0
20010101 20010131    15.4
20010201 20010228     5.0
20010301 20010331    30.0
20010401 20010430     2.7
20010501 20010531    17.9
20010601 20010630    36.9
20010701 20010731    36.1
20010801 20010831    44.7
20010901 20010930    68.8
20011001 20011031    46.0
20011101 20011130    20.7
20011201 20011231     2.0
20020101 20020131    11.4
20020201 20020228     5.8
20020301 20020331    10.4
20020401 20020430    14.0
20020501 20020531    15.3
20020601 20020630    24.8
