PRCP       051033 19230101 20171231 missing_value=99999.9 NYNGAN (MUDALL)                           
20040101 20040131    42.8
20040201 20040229    15.2
20040301 20040331     4.8
20040401 20040430    24.2
20040501 20040531    35.6
20040601 20040630    34.0
20040701 20040731    32.8
20040801 20040831    28.8
20040901 20040930    17.8
20041001 20041031    30.6
20041101 20041130    30.4
20041201 20041231   171.6
20050101 20050131     7.6
20050201 20050228     0.0
20050301 20050331     9.8
20050401 20050430     2.0
20050501 20050531     0.0
20050601 20050630   132.6
20050701 20050731     9.8
20050801 20050831    22.2
20050901 20050930    48.2
20051001 20051031    43.1
20051101 20051130    61.4
20051201 20051231     1.4
20060101 20060131    29.8
20060201 20060228    10.4
20060301 20060331    15.0
20060401 20060430     7.8
20060501 20060531     0.0
20060601 20060630    27.0
20060701 20060731    53.8
20060801 20060831     7.8
20060901 20060930    23.2
20061001 20061031     1.3
20061101 20061130    15.2
20061201 20061231    47.6
20070101 20070131    50.4
20070201 20070228    10.2
20070301 20070331    73.6
20070401 20070430    14.2
20070501 20070531    48.0
20070601 20070630    49.2
20070701 20070731     0.0
20070801 20070831    16.2
20070901 20070930     0.0
20071001 20071031    23.6
20071101 20071130    82.4
20071201 20071231   108.8
20080101 20080131    77.4
20080201 20080229    24.8
20080301 20080331    42.6
20080401 20080430     0.0
20080501 20080531     7.4
20080601 20080630    70.2
20080701 20080731     2.6
20080801 20080831    24.4
20080901 20080930    17.4
20081001 20081031    26.4
20081101 20081130    62.6
20081201 20081231    18.8
20090101 20090131     4.2
20090201 20090228   126.1
20090301 20090331    18.4
20090401 20090430    46.2
20090501 20090531    41.4
20090601 20090630    68.8
20090701 20090731     6.8
20090801 20090831     2.0
20090901 20090930    20.0
20091001 20091031    39.2
20091101 20091130    14.2
20091201 20091231    56.8
20100101 20100131    52.8
20100201 20100228    93.4
20100301 20100331    66.0
20100401 20100430    51.4
20100501 20100531    35.2
20100601 20100630    34.6
20100701 20100731    83.6
20100801 20100831    33.8
20100901 20100930    46.4
20101001 20101031    80.6
20101101 20101130    98.0
20101201 20101231    92.0
20110101 20110131    13.8
20110201 20110228    93.0
20110301 20110331    41.6
20110401 20110430    22.2
20110501 20110531    29.2
