PRCP       008066 19070901 20171231 missing_value=99999.9 KOKARDINE                                 
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331     3.6
19980401 19980430    37.6
19980501 19980531    50.4
19980601 19980630    67.8
19980701 19980731    39.0
19980801 19980831    41.8
19980901 19980930    22.4
19981001 19981031     3.6
19981101 19981130     2.6
19981201 19981231    20.6
19990101 19990131     2.6
19990201 19990228     0.4
19990301 19990331   148.4
19990401 19990430     5.8
19990501 19990531   120.8
19990601 19990630    60.4
19990701 19990731    47.4
19990801 19990831    53.0
19990901 19990930    47.2
19991001 19991031    42.6
19991101 19991130    10.8
19991201 19991231    33.0
20000101 20000131    71.0
20000201 20000229     0.8
20000301 20000331    46.8
20000401 20000430    17.0
20000501 20000531     5.2
20000601 20000630    21.6
20000701 20000731    71.0
20000801 20000831    28.4
20000901 20000930     7.8
20001001 20001031     0.8
20001101 20001130     1.2
20001201 20001231    11.2
20010101 20010131    70.0
20010201 20010228    10.8
20010301 20010331     3.0
20010401 20010430     0.4
20010501 20010531    53.8
20010601 20010630    20.0
20010701 20010731    50.2
20010801 20010831    27.4
20010901 20010930    33.8
20011001 20011031    10.0
20011101 20011130    15.8
20011201 20011231     5.6
20020101 20020131    26.4
20020201 20020228     0.0
20020301 20020331     1.4
20020401 20020430    16.8
20020501 20020531     9.4
20020601 20020630    26.8
20020701 20020731    29.2
20020801 20020831    22.8
20020901 20020930    23.8
20021001 20021031    10.8
20021101 20021130     2.0
20021201 20021231    67.8
20030101 20030131     2.0
20030201 20030228    19.2
20030301 20030331    14.2
20030401 20030430    24.2
20030501 20030531    44.4
20030601 20030630    34.0
20030701 20030731    44.8
