PRCP       003030 18910101 20180131 missing_value=99999.9 BIDYADANGA                                
19810601 19810630     0.0
19810701 19810731     1.0
19810801 19810831     0.0
19810901 19810930     0.0
19811001 19811031     0.0
19811101 19811130     0.0
19811201 19811231    38.0
19820101 19820131   665.0
19820201 19820228   246.5
19820301 19820331    79.0
19820401 19820430     0.0
19820501 19820531    10.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     0.0
19821001 19821031     0.0
19821101 19821130    33.0
19821201 19821231    15.0
19830101 19830131   143.0
19830201 19830228    85.0
19830301 19830331   197.4
19830401 19830430    46.6
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930     0.0
19831001 19831031     0.0
19831101 19831130   170.0
19831201 19831231     4.0
19840101 19840131   293.0
19840201 19840229   132.0
19840301 19840331   209.0
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731     0.0
19840801 19840831     0.0
19840901 19840930    16.8
19841001 19841031     0.0
19841101 19841130     0.0
19841201 19841231    35.0
19850101 19850131    84.0
19850201 19850228    74.1
19850301 19850331   124.2
19850401 19850430    85.7
19850501 19850531     0.0
19850601 19850630     0.0
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031     0.0
19851101 19851130     0.0
19851201 19851231    68.1
19860101 19860131   110.2
19860201 19860228    23.0
19860301 19860331     6.0
19860401 19860430     1.0
19860501 19860531     0.0
19860601 19860630    49.0
19860701 19860731    11.0
19860801 19860831     0.0
19860901 19860930     1.0
19861001 19861031     0.0
19861101 19861130    12.0
