PRCP       041011 19090101 20140228 missing_value=99999.9 CAMBOOYA POST OFFICE                      
19971001 19971031   131.2
19971101 19971130   107.4
19971201 19971231    82.2
19980101 19980131    84.6
19980201 19980228    73.0
19980301 19980331     0.0
19980401 19980430    59.6
19980501 19980531    77.8
19980601 19980630    33.0
19980701 19980731    71.8
19980801 19980831    44.6
19980901 19980930    72.2
19981001 19981031    44.6
19981101 19981130    98.2
19981201 19981231    11.6
19990101 19990131    98.6
19990201 19990228   102.0
19990301 19990331    77.2
19990401 19990430     3.0
19990501 19990531    34.0
19990601 19990630     7.8
19990701 19990731    67.2
19990801 19990831    40.6
19990901 19990930     7.8
19991001 19991031    68.7
19991101 19991130   128.6
19991201 19991231   136.0
20000101 20000131    85.2
20000201 20000229    26.4
20000301 20000331    12.8
20000401 20000430     3.2
20000501 20000531    21.4
20000601 20000630    32.6
20000701 20000731    10.0
20000801 20000831     2.4
20000901 20000930     5.4
20001001 20001031    35.2
20001101 20001130   110.0
20001201 20001231    74.6
20010101 20010131    20.8
20010201 20010228   125.9
20010301 20010331    79.4
20010401 20010430    80.4
20010501 20010531    21.0
20010601 20010630     0.0
20010701 20010731    22.6
20010801 20010831     6.4
20010901 20010930    12.0
20011001 20011031    95.0
20011101 20011130   150.2
20011201 20011231   126.4
20020101 20020131    19.0
20020201 20020228    55.2
20020301 20020331   100.6
20020401 20020430     1.0
20020501 20020531    12.8
20020601 20020630    45.8
20020701 20020731     2.0
20020801 20020831    29.8
20020901 20020930    18.6
20021001 20021031    14.6
20021101 20021130    21.8
20021201 20021231   123.2
20030101 20030131    39.8
20030201 20030228   108.4
20030301 20030331    65.6
20030401 20030430    62.4
20030501 20030531    17.2
20030601 20030630    62.6
20030701 20030731    17.0
20030801 20030831    13.0
20030901 20030930     8.2
20031001 20031031    95.0
20031101 20031130    23.0
20031201 20031231   121.4
20040101 20040131   103.6
20040201 20040229   107.6
20040301 20040331    71.6
20040401 20040430    41.0
20040501 20040531     9.0
