PRCP       010636 19061001 20121231 missing_value=99999.9 THE OAKS                                  
19670801 19670831    35.1
19670901 19670930     9.3
19671001 19671031    13.4
19671101 19671130     9.7
19671201 19671231     3.6
19680101 19680131    17.3
19680201 19680229    23.9
19680301 19680331    77.7
19680401 19680430    49.7
19680501 19680531    22.1
19680601 19680630   104.4
19680701 19680731    36.2
19680801 19680831    29.7
19680901 19680930    36.0
19681001 19681031    17.0
19681101 19681130     2.3
19681201 19681231     0.5
19690101 19690131     0.0
19690201 19690228     7.3
19690301 19690331    16.8
19690401 19690430    26.7
19690501 19690531    26.9
19690601 19690630    63.7
19690701 19690731    31.2
19690801 19690831    18.6
19690901 19690930    36.6
19691001 19691031     3.3
19691101 19691130    34.3
19691201 19691231     5.3
19700101 19700131     2.5
19700201 19700228    43.7
19700301 19700331     4.1
19700401 19700430    32.6
19700501 19700531    49.9
19700601 19700630   111.5
19700701 19700731    38.5
19700801 19700831    29.3
19700901 19700930    62.8
19701001 19701031    40.7
19701101 19701130    13.7
19701201 19701231     8.9
19710101 19710131    21.6
19710201 19710228    19.9
19710301 19710331    68.3
19710401 19710430     6.5
19710501 19710531    40.5
19710601 19710630    26.9
19710701 19710731    42.9
19710801 19710831    44.3
19710901 19710930    69.2
19711001 19711031    24.1
19711101 19711130   107.8
19711201 19711231     4.1
19720101 19720131     0.0
19720201 19720229    25.1
19720301 19720331     0.0
19720401 19720430    10.4
19720501 19720531    23.9
19720601 19720630    54.0
19720701 19720731    72.9
19720801 19720831    56.7
19720901 19720930    15.2
19721001 19721031    10.7
19721101 19721130     0.0
19721201 19721231     1.6
19730101 19730131    54.1
19730201 19730228     0.3
19730301 19730331     7.1
19730401 19730430    22.2
19730501 19730531    39.6
19730601 19730630    77.2
19730701 19730731    82.1
19730801 19730831    40.5
19730901 19730930    56.5
19731001 19731031    24.9
19731101 19731130    31.1
19731201 19731231     0.0
19740101 19740131     2.3
19740201 19740228     1.4
19740301 19740331     1.4
19740401 19740430    41.2
19740501 19740531    49.6
19740601 19740630    39.1
19740701 19740731    85.4
19740801 19740831    63.8
19740901 19740930    25.2
19741001 19741031    49.8
19741101 19741130    39.2
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228     2.2
19750301 19750331    10.2
19750401 19750430    80.4
19750501 19750531    61.8
19750601 19750630    56.8
19750701 19750731    89.8
19750801 19750831    68.0
19750901 19750930    28.6
19751001 19751031    18.8
19751101 19751130    16.2
19751201 19751231     6.4
19760101 19760131    29.6
19760201 19760229    59.4
19760301 19760331     1.4
19760401 19760430    41.2
19760501 19760531    49.6
19760601 19760630    28.0
19760701 19760731    25.4
19760801 19760831    82.0
19760901 19760930    28.8
19761001 19761031    21.0
19761101 19761130    28.4
19761201 19761231     2.6
19770101 19770131     2.0
19770201 19770228     3.4
19770301 19770331     0.2
19770401 19770430     6.4
19770501 19770531    50.2
19770601 19770630    40.4
19770701 19770731    30.6
19770801 19770831    96.8
19770901 19770930    43.0
19771001 19771031   104.8
19771101 19771130    13.0
19771201 19771231    17.2
19780101 19780131    14.8
19780201 19780228    56.2
19780301 19780331     0.0
19780401 19780430    14.8
19780501 19780531    33.2
19780601 19780630   103.8
19780701 19780731    61.6
19780801 19780831    29.4
19780901 19780930    26.6
19781001 19781031    20.6
19781101 19781130     5.8
19781201 19781231    11.0
19790101 19790131    15.4
19790201 19790228    25.8
19790301 19790331    12.6
19790401 19790430     7.0
19790501 19790531    27.0
19790601 19790630    36.8
19790701 19790731    43.2
19790801 19790831    47.4
19790901 19790930    45.0
19791001 19791031     9.0
19791101 19791130    16.0
19791201 19791231     1.4
19800101 19800131     3.2
19800201 19800229    61.6
19800301 19800331     0.8
19800401 19800430    49.6
19800501 19800531    35.0
19800601 19800630    62.8
19800701 19800731    40.0
19800801 19800831    50.8
19800901 19800930    20.6
19801001 19801031    53.4
19801101 19801130     0.6
19801201 19801231    57.6
19810101 19810131     1.2
19810201 19810228    25.8
19810301 19810331     5.6
19810401 19810430    12.2
