PRCP       033082 18980101 20180131 missing_value=99999.9 STRATHMORE                                
19550901 19550930     0.0
19551001 19551031     4.8
19551101 19551130    37.9
19551201 19551231    36.5
19560101 19560131   313.2
19560201 19560229   188.7
19560301 19560331   249.9
19560401 19560430    50.3
19560501 19560531   139.0
19560601 19560630   122.7
19560701 19560731   106.5
19560801 19560831    47.4
19560901 19560930    49.2
19561001 19561031    28.2
19561101 19561130    58.9
19561201 19561231   377.5
19570101 19570131   133.3
19570201 19570228    94.3
19570301 19570331    66.3
19570401 19570430     0.0
19570501 19570531     0.0
19570601 19570630     4.1
19570701 19570731    47.5
19570801 19570831    14.0
19570901 19570930     0.0
19571001 19571031    14.0
19571101 19571130    12.7
19571201 19571231    71.9
19580101 19580131    99.8
19580201 19580228   390.0
19580301 19580331    87.1
19580401 19580430   589.1
19580501 19580531     2.3
19580601 19580630    82.8
19580701 19580731     0.0
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031     0.0
19581101 19581130     0.0
19581201 19581231   149.6
19590101 19590131   105.4
19590201 19590228   194.2
19590301 19590331    20.6
19590401 19590430    35.5
19590501 19590531    24.4
19590601 19590630     0.0
19590701 19590731     0.0
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     0.0
19591101 19591130    20.8
19591201 19591231   365.8
19600101 19600131    56.4
19600201 19600229   150.2
19600301 19600331    38.7
19600401 19600430    17.8
19600501 19600531    43.5
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031     0.0
19601101 19601130    27.7
19601201 19601231    56.4
19610101 19610131    34.8
19610201 19610228   129.8
19610301 19610331    17.3
19610401 19610430     0.0
19610501 19610531    15.5
19610601 19610630     0.0
19610701 19610731     9.7
19610801 19610831    11.4
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130   127.7
19611201 19611231    55.9
19620101 19620131    92.0
19620201 19620228   120.3
19620301 19620331   133.8
19620401 19620430    64.2
19620501 19620531     0.0
19620601 19620630     3.6
19620701 19620731     0.0
19620801 19620831     0.0
19620901 19620930     3.6
19621001 19621031    41.9
19621101 19621130   142.8
19621201 19621231    78.7
19630101 19630131   181.7
19630201 19630228    38.9
19630301 19630331   156.7
19630401 19630430    18.3
19630501 19630531     0.0
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831    58.4
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130     0.0
19631201 19631231    29.4
19640101 19640131   185.6
19640201 19640229    37.4
19640301 19640331   129.6
19640401 19640430    21.3
19640501 19640531     0.0
19640601 19640630    39.2
19640701 19640731    50.3
19640801 19640831     0.0
19640901 19640930    10.9
19641001 19641031    39.3
19641101 19641130    86.8
19641201 19641231   124.5
19650101 19650131   123.9
19650201 19650228    26.7
19650301 19650331   117.9
19650401 19650430    29.8
19650501 19650531     0.0
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130     0.0
19651201 19651231    72.2
19660101 19660131   100.6
19660201 19660228   105.6
19660301 19660331     0.0
19660401 19660430    16.0
19660501 19660531     0.0
19660601 19660630     0.0
19660701 19660731     0.0
19660801 19660831    46.4
19660901 19660930     0.0
19661001 19661031    27.7
19661101 19661130    33.8
19661201 19661231     0.0
19670101 19670131   168.4
19670201 19670228    38.6
19670301 19670331   132.8
19670401 19670430     0.0
19670501 19670531    17.8
19670601 19670630   135.7
19670701 19670731     0.0
