PRCP       003023 19030101 20110131 missing_value=99999.9 ROEBUCK PLAINS                            
19901201 19901231    18.8
19910101 19910131   245.3
19910201 19910228   492.0
19910301 19910331    36.6
19910401 19910430     4.0
19910501 19910531     0.0
19910601 19910630    49.4
19910701 19910731     0.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130    12.0
19911201 19911231    23.0
19920101 19920131     8.8
19920201 19920229    30.0
19920301 19920331    46.5
19920401 19920430    86.0
19920501 19920531    46.0
19920601 19920630    12.4
19920701 19920731     0.0
19920801 19920831     0.0
19920901 19920930     0.0
19921001 19921031     0.0
19921101 19921130    14.2
19921201 19921231     1.0
19930101 19930131   441.3
19930201 19930228   151.7
19930301 19930331     1.8
19930401 19930430     0.0
19930501 19930531    57.6
19930601 19930630    78.8
19930701 19930731     0.0
19930801 19930831     2.0
19930901 19930930     1.0
19931001 19931031     0.0
19931101 19931130     6.8
19931201 19931231   141.7
19940101 19940131    88.7
19940201 19940228   185.3
19940301 19940331    60.8
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     0.6
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     0.0
19941101 19941130     3.4
19941201 19941231   218.4
19950101 19950131    83.0
19950201 19950228   336.5
19950301 19950331    29.9
19950401 19950430    14.8
19950501 19950531     2.2
19950601 19950630     1.0
19950701 19950731     9.4
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031     0.0
19951101 19951130     3.4
19951201 19951231   122.6
19960101 19960131    65.3
19960201 19960229   230.9
19960301 19960331   173.6
19960401 19960430    53.5
19960501 19960531     4.0
19960601 19960630    14.2
19960701 19960731     0.0
19960801 19960831     0.0
19960901 19960930     0.0
19961001 19961031    11.7
19961101 19961130     0.5
19961201 19961231    77.9
19970101 19970131   570.1
19970201 19970228   216.7
19970301 19970331    54.4
19970401 19970430     3.4
19970501 19970531   164.6
19970601 19970630     1.8
19970701 19970731     0.0
19970801 19970831     0.0
19970901 19970930     0.0
19971001 19971031     8.0
19971101 19971130     0.0
19971201 19971231   212.3
19980101 19980131   226.6
19980201 19980228   207.0
19980301 19980331    57.1
19980401 19980430     0.0
19980501 19980531     1.6
19980601 19980630    94.4
19980701 19980731    32.4
19980801 19980831     0.0
