PRCP       098000 19091101 20180131 missing_value=99999.9 CITY OF MELBOURNE BAY                     
19580801 19580831   146.6
19580901 19580930    52.2
19581001 19581031   153.9
19581101 19581130    58.8
19581201 19581231    31.6
19590101 19590131    20.1
19590201 19590228    76.0
19590301 19590331    31.7
19590401 19590430    50.9
19590501 19590531    43.3
19590601 19590630    79.7
19590701 19590731    76.7
19590801 19590831   145.5
19590901 19590930    69.1
19591001 19591031    56.2
19591101 19591130    17.1
19591201 19591231    79.4
19600101 19600131    37.9
19600201 19600229    76.6
19600301 19600331    46.1
19600401 19600430   170.5
19600501 19600531   178.5
19600601 19600630    95.0
19600701 19600731   182.4
19600801 19600831    84.6
19600901 19600930   115.3
19601001 19601031    94.0
19601101 19601130   103.0
19601201 19601231    19.6
19610101 19610131    11.7
19610201 19610228    35.7
19610301 19610331    28.0
19610401 19610430   178.1
19610501 19610531    91.7
19610601 19610630   127.4
19610701 19610731   119.7
19610801 19610831   101.8
19610901 19610930    60.3
19611001 19611031    70.3
19611101 19611130    37.1
19611201 19611231    37.1
19620101 19620131    26.8
19620201 19620228    60.7
19620301 19620331    49.5
19620401 19620430    31.6
19620501 19620531   148.2
19620601 19620630   183.7
19620701 19620731    94.0
19620801 19620831   119.1
19620901 19620930   121.2
19621001 19621031   127.2
19621101 19621130    35.6
19621201 19621231    15.2
19630101 19630131    65.7
19630201 19630228    39.8
19630301 19630331    49.9
19630401 19630430    25.3
19630501 19630531    67.7
19630601 19630630   123.1
19630701 19630731   218.6
19630801 19630831   126.2
19630901 19630930   105.1
19631001 19631031    72.3
19631101 19631130    44.7
19631201 19631231    14.9
19640101 19640131    50.3
19640201 19640229    78.1
19640301 19640331    55.4
19640401 19640430    55.2
19640501 19640531   107.4
19640601 19640630   130.3
19640701 19640731   205.8
19640801 19640831   139.2
19640901 19640930   123.2
19641001 19641031   112.0
19641101 19641130    51.4
19641201 19641231    79.0
19650101 19650131    21.6
19650201 19650228     6.7
19650301 19650331    76.8
19650401 19650430   109.4
19650501 19650531   157.4
19650601 19650630   104.2
19650701 19650731   118.1
19650801 19650831    88.3
19650901 19650930    77.2
19651001 19651031    42.4
19651101 19651130    66.7
19651201 19651231    37.1
19660101 19660131    43.4
19660201 19660228    43.7
19660301 19660331    75.2
19660401 19660430    79.1
19660501 19660531    72.8
19660601 19660630    66.7
19660701 19660731   178.5
19660801 19660831   109.5
19660901 19660930    79.9
19661001 19661031   126.8
19661101 19661130   131.6
19661201 19661231    52.9
19670101 19670131    33.7
19670201 19670228    17.5
19670301 19670331    31.6
19670401 19670430    26.2
19670501 19670531    37.8
19670601 19670630   120.2
19670701 19670731   234.4
19670801 19670831   135.0
19670901 19670930    71.8
19671001 19671031    32.1
19671101 19671130    52.1
19671201 19671231    77.8
19680101 19680131    16.9
19680201 19680229    24.6
19680301 19680331    85.3
19680401 19680430   129.7
19680501 19680531   209.0
19680601 19680630   113.0
19680701 19680731   134.3
19680801 19680831   222.7
19680901 19680930    80.2
19681001 19681031   161.5
19681101 19681130   135.8
19681201 19681231    10.7
19690101 19690131    38.5
19690201 19690228    95.2
19690301 19690331    69.2
19690401 19690430    82.7
19690501 19690531   109.0
19690601 19690630    72.0
19690701 19690731   140.7
19690801 19690831   127.1
19690901 19690930   128.7
19691001 19691031    80.1
19691101 19691130    65.4
19691201 19691231    54.0
19700101 19700131    49.6
19700201 19700228    17.7
19700301 19700331    61.5
19700401 19700430    94.6
19700501 19700531   101.9
19700601 19700630    94.8
19700701 19700731   216.0
19700801 19700831   222.0
19700901 19700930   118.4
19701001 19701031    63.6
19701101 19701130   111.3
19701201 19701231    94.7
19710101 19710131    76.9
19710201 19710228    59.8
19710301 19710331    54.3
19710401 19710430   126.9
19710501 19710531   162.6
19710601 19710630   180.1
19710701 19710731    88.2
19710801 19710831   155.5
19710901 19710930   144.3
19711001 19711031   177.7
19711101 19711130    93.6
19711201 19711231   127.1
19720101 19720131    36.9
19720201 19720229    59.6
19720301 19720331    22.1
19720401 19720430    90.9
19720501 19720531    48.8
19720601 19720630    72.0
19720701 19720731   190.2
19720801 19720831   153.4
19720901 19720930    62.4
19721001 19721031    43.1
19721101 19721130    45.4
19721201 19721231    26.1
