PRCP       059019 19280101 20171231 missing_value=99999.9 THE RACECOURSE                            
19760601 19760630   328.2
19760701 19760731    44.6
19760801 19760831    15.2
19760901 19760930    33.4
19761001 19761031    62.7
19761101 19761130   108.4
19761201 19761231    58.1
19770101 19770131   110.2
19770201 19770228   205.8
19770301 19770331   152.2
19770401 19770430    43.8
19770501 19770531   306.2
19770601 19770630    47.0
19770701 19770731    11.8
19770801 19770831    16.2
19770901 19770930    33.3
19771001 19771031    27.2
19771101 19771130   129.8
19771201 19771231    85.0
19780101 19780131   249.4
19780201 19780228    41.8
19780301 19780331   318.4
19780401 19780430    72.8
19780501 19780531    62.4
19780601 19780630    72.4
19780701 19780731    16.4
19780801 19780831    22.8
19780901 19780930    47.6
19781001 19781031    76.5
19781101 19781130    33.8
19781201 19781231   147.4
19790101 19790131   169.4
19790201 19790228    50.8
19790301 19790331   141.2
19790401 19790430    10.6
19790501 19790531    60.2
19790601 19790630    79.8
19790701 19790731    37.6
19790801 19790831    10.8
19790901 19790930    15.0
19791001 19791031    88.0
19791101 19791130   102.4
19791201 19791231    12.6
19800101 19800131   179.6
19800201 19800229    36.8
19800301 19800331    81.8
19800401 19800430    27.8
19800501 19800531   344.4
19800601 19800630    28.7
19800701 19800731     8.0
19800801 19800831     9.0
19800901 19800930     1.0
19801001 19801031    73.0
19801101 19801130    29.0
19801201 19801231   120.8
19810101 19810131    32.0
19810201 19810228   253.0
19810301 19810331    13.2
19810401 19810430   178.2
19810501 19810531   139.6
19810601 19810630    23.4
19810701 19810731    37.8
19810801 19810831    10.4
19810901 19810930    30.6
19811001 19811031    57.0
19811101 19811130   120.6
19811201 19811231   141.2
19820101 19820131   110.2
19820201 19820228    96.0
19820301 19820331   227.6
19820401 19820430    63.4
19820501 19820531    19.0
19820601 19820630    13.4
19820701 19820731    32.4
19820801 19820831    29.8
19820901 19820930   101.8
19821001 19821031   218.4
19821101 19821130    47.4
19821201 19821231   194.6
19830101 19830131   111.4
19830201 19830228   111.4
19830301 19830331    91.8
19830401 19830430   133.6
19830501 19830531   153.0
19830601 19830630   147.4
19830701 19830731    49.8
19830801 19830831    63.0
19830901 19830930    34.2
19831001 19831031    91.6
19831101 19831130    96.8
19831201 19831231   200.8
19840101 19840131   291.8
19840201 19840229   194.2
19840301 19840331   139.2
19840401 19840430   299.0
19840501 19840531    75.8
19840601 19840630    50.0
19840701 19840731    60.6
19840801 19840831     8.6
19840901 19840930    34.4
19841001 19841031    91.0
19841101 19841130   111.8
19841201 19841231    64.6
19850101 19850131    40.4
19850201 19850228   121.0
19850301 19850331    92.0
19850401 19850430   127.5
19850501 19850531   200.6
19850601 19850630    32.2
19850701 19850731   294.0
19850801 19850831    33.8
19850901 19850930    46.7
19851001 19851031   173.8
19851101 19851130    70.5
19851201 19851231   161.2
19860101 19860131   122.8
19860201 19860228   174.8
19860301 19860331    42.4
19860401 19860430    21.2
19860501 19860531    58.0
19860601 19860630    27.6
19860701 19860731    52.0
19860801 19860831    40.8
19860901 19860930    45.0
19861001 19861031    60.4
19861101 19861130   137.2
19861201 19861231    41.0
19870101 19870131   270.0
19870201 19870228    64.6
19870301 19870331   123.6
19870401 19870430    45.6
19870501 19870531   134.0
19870601 19870630    58.2
19870701 19870731    43.8
19870801 19870831   135.6
19870901 19870930    10.2
19871001 19871031    94.6
19871101 19871130    78.4
19871201 19871231   112.3
19880101 19880131   182.6
19880201 19880229    53.8
19880301 19880331    86.8
19880401 19880430   382.4
19880501 19880531    43.2
19880601 19880630   106.6
19880701 19880731   150.4
19880801 19880831    49.6
19880901 19880930   161.5
19881001 19881031    18.0
19881101 19881130    82.6
19881201 19881231   213.0
19890101 19890131   160.2
19890201 19890228    95.0
19890301 19890331   175.8
19890401 19890430   524.2
19890501 19890531    72.9
19890601 19890630   191.6
19890701 19890731    65.8
19890801 19890831    16.6
19890901 19890930    15.2
19891001 19891031    33.0
19891101 19891130   189.8
19891201 19891231   172.6
19900101 19900131   108.2
19900201 19900228   300.2
19900301 19900331   104.6
19900401 19900430   215.8
19900501 19900531   198.4
19900601 19900630    60.0
19900701 19900731    76.0
19900801 19900831    25.6
19900901 19900930    59.0
19901001 19901031    33.8
19901101 19901130    40.2
19901201 19901231   103.8
19910101 19910131   318.6
19910201 19910228   133.0
19910301 19910331    71.9
19910401 19910430    43.6
19910501 19910531    66.0
19910601 19910630    81.6
19910701 19910731    64.4
19910801 19910831     3.0
19910901 19910930     5.1
19911001 19911031    33.0
19911101 19911130    34.5
19911201 19911231   177.0
19920101 19920131   152.8
19920201 19920229   253.2
19920301 19920331    74.7
19920401 19920430   149.6
19920501 19920531    49.0
19920601 19920630    21.6
19920701 19920731    25.0
19920801 19920831    23.4
19920901 19920930    30.2
19921001 19921031    71.2
19921101 19921130    94.7
19921201 19921231   154.1
19930101 19930131   279.4
19930201 19930228   157.2
19930301 19930331   185.6
19930401 19930430    58.4
19930501 19930531    22.2
19930601 19930630    43.4
19930701 19930731    74.2
19930801 19930831    52.0
19930901 19930930    28.4
19931001 19931031    45.2
19931101 19931130    57.0
19931201 19931231   139.8
19940101 19940131    95.9
19940201 19940228   135.2
19940301 19940331   153.6
19940401 19940430    26.2
19940501 19940531    26.8
19940601 19940630    19.6
19940701 19940731    22.4
19940801 19940831    13.9
19940901 19940930    18.0
19941001 19941031    19.2
19941101 19941130   103.8
19941201 19941231   185.2
19950101 19950131   121.2
19950201 19950228   221.8
19950301 19950331   284.9
19950401 19950430    24.8
19950501 19950531   131.6
19950601 19950630    33.0
19950701 19950731     4.8
19950801 19950831     3.2
19950901 19950930    62.2
19951001 19951031    62.4
19951101 19951130   148.2
19951201 19951231   126.4
19960101 19960131   296.4
19960201 19960229   171.6
19960301 19960331    99.8
19960401 19960430    29.6
19960501 19960531   447.6
19960601 19960630    53.4
19960701 19960731    41.0
19960801 19960831    35.6
19960901 19960930    44.2
19961001 19961031    35.6
19961101 19961130   132.6
19961201 19961231   144.0
19970101 19970131    92.0
19970201 19970228   318.8
19970301 19970331   128.6
19970401 19970430    18.8
19970501 19970531    81.2
19970601 19970630    56.0
19970701 19970731    24.4
19970801 19970831     8.0
