PRCP       094063 18901101 20110630 missing_value=99999.9 SORELL (WHITLEA)                          
19700801 19700831    87.4
19700901 19700930    21.5
19701001 19701031    52.1
19701101 19701130    53.7
19701201 19701231   166.5
19710101 19710131    89.9
19710201 19710228    86.9
19710301 19710331    62.4
19710401 19710430    21.4
19710501 19710531    67.7
19710601 19710630    29.4
19710701 19710731    12.2
19710801 19710831    74.2
19710901 19710930    79.0
19711001 19711031    59.1
19711101 19711130    95.9
19711201 19711231    56.3
19720101 19720131    52.6
19720201 19720229    23.7
19720301 19720331     9.9
19720401 19720430    41.9
19720501 19720531     9.5
19720601 19720630    12.4
19720701 19720731    59.7
19720801 19720831    44.3
19720901 19720930    15.7
19721001 19721031    29.7
19721101 19721130    31.4
19721201 19721231    26.7
19730101 19730131    23.4
19730201 19730228    33.0
19730301 19730331    42.6
19730401 19730430    44.9
19730501 19730531    83.4
19730601 19730630    48.1
19730701 19730731    16.3
19730801 19730831    13.5
19730901 19730930    37.4
19731001 19731031    95.2
19731101 19731130    68.7
19731201 19731231    65.4
19740101 19740131    20.0
19740201 19740228    47.4
19740301 19740331    15.7
19740401 19740430    86.8
19740501 19740531    56.4
19740601 19740630    49.5
19740701 19740731   141.8
19740801 19740831    26.0
19740901 19740930    45.4
19741001 19741031    41.2
19741101 19741130    71.8
19741201 19741231    67.6
19750101 19750131    88.1
19750201 19750228     7.4
19750301 19750331    35.6
19750401 19750430    31.2
19750501 19750531    57.8
19750601 19750630    31.9
19750701 19750731    79.6
19750801 19750831    90.8
19750901 19750930    38.8
19751001 19751031   122.4
19751101 19751130   106.2
19751201 19751231    11.8
19760101 19760131    85.6
19760201 19760229    14.4
19760301 19760331    44.8
19760401 19760430    15.0
19760501 19760531    17.2
19760601 19760630    31.2
19760701 19760731    27.6
19760801 19760831   127.2
19760901 19760930    44.0
19761001 19761031    79.7
19761101 19761130    79.6
19761201 19761231    77.6
19770101 19770131    75.2
19770201 19770228    61.8
19770301 19770331    86.4
19770401 19770430    11.2
19770501 19770531    30.6
19770601 19770630    38.9
19770701 19770731    87.0
19770801 19770831    13.2
19770901 19770930    35.0
19771001 19771031    21.7
19771101 19771130    53.0
19771201 19771231    10.6
19780101 19780131    31.2
19780201 19780228    82.8
19780301 19780331    15.2
19780401 19780430    60.0
19780501 19780531    40.8
19780601 19780630    37.5
19780701 19780731    23.0
19780801 19780831    78.3
19780901 19780930    14.6
19781001 19781031    35.6
19781101 19781130    83.2
19781201 19781231    52.8
19790101 19790131    26.6
19790201 19790228    22.4
19790301 19790331    37.8
19790401 19790430    29.0
19790501 19790531    27.4
19790601 19790630     6.4
19790701 19790731     6.8
19790801 19790831    34.6
19790901 19790930    65.4
19791001 19791031    38.0
19791101 19791130    40.4
19791201 19791231    46.0
19800101 19800131     7.6
19800201 19800229    21.6
19800301 19800331    50.2
19800401 19800430    18.8
19800501 19800531    32.8
19800601 19800630    38.8
19800701 19800731    19.6
19800801 19800831    28.2
19800901 19800930    40.2
19801001 19801031    55.2
19801101 19801130    50.6
19801201 19801231    45.2
19810101 19810131    32.2
19810201 19810228     9.8
19810301 19810331    76.6
19810401 19810430    33.8
19810501 19810531    24.6
19810601 19810630   104.8
19810701 19810731    27.2
19810801 19810831   112.0
19810901 19810930    13.7
19811001 19811031    39.6
19811101 19811130    32.6
19811201 19811231    59.3
19820101 19820131    37.6
19820201 19820228    14.8
19820301 19820331    70.6
19820401 19820430    17.4
19820501 19820531    53.0
19820601 19820630    36.7
19820701 19820731    31.0
19820801 19820831     3.0
19820901 19820930    36.6
19821001 19821031    22.6
19821101 19821130    15.2
19821201 19821231    23.2
19830101 19830131    22.4
19830201 19830228     4.8
19830301 19830331    78.2
19830401 19830430    81.8
19830501 19830531    24.4
19830601 19830630    35.4
19830701 19830731    41.4
19830801 19830831    39.8
19830901 19830930    74.6
19831001 19831031    43.8
19831101 19831130    52.6
19831201 19831231    29.8
19840101 19840131    11.8
19840201 19840229    17.0
19840301 19840331    26.4
19840401 19840430    14.0
19840501 19840531    22.0
19840601 19840630    17.8
19840701 19840731    68.6
19840801 19840831    97.4
19840901 19840930   103.6
19841001 19841031    21.6
19841101 19841130    48.0
19841201 19841231    85.4
19850101 19850131    48.8
19850201 19850228    40.8
19850301 19850331    53.2
19850401 19850430    71.4
19850501 19850531    36.2
19850601 19850630    24.2
19850701 19850731    26.2
19850801 19850831    30.0
19850901 19850930    45.8
19851001 19851031    38.1
19851101 19851130    24.4
19851201 19851231   230.8
19860101 19860131   106.2
19860201 19860228     8.8
19860301 19860331    27.8
19860401 19860430    26.4
19860501 19860531    82.2
19860601 19860630    13.4
19860701 19860731    82.2
