PRCP       032018 19100101 20151231 missing_value=99999.9 GLENEAGLE                                 
19990301 19990331    91.3
19990401 19990430    80.4
19990501 19990531    17.0
19990601 19990630     2.7
19990701 19990731    10.0
19990801 19990831    15.6
19990901 19990930     2.5
19991001 19991031 99999.9
19991101 19991130   160.3
19991201 19991231   185.5
20000101 20000131   192.2
20000201 20000229   492.6
20000301 20000331    85.3
20000401 20000430    90.8
20000501 20000531    20.4
20000601 20000630    55.8
20000701 20000731     0.0
20000801 20000831     3.4
20000901 20000930     0.0
20001001 20001031    37.7
20001101 20001130   136.2
20001201 20001231   276.2
20010101 20010131   127.0
20010201 20010228   294.4
20010301 20010331    51.8
20010401 20010430    35.8
20010501 20010531     0.0
20010601 20010630    35.2
20010701 20010731     3.0
20010801 20010831     3.6
20010901 20010930     3.9
20011001 20011031    35.0
20011101 20011130    35.6
20011201 20011231    87.3
20020101 20020131   130.4
20020201 20020228   200.8
20020301 20020331    23.2
20020401 20020430    36.1
20020501 20020531    29.8
20020601 20020630     3.0
20020701 20020731     0.4
20020801 20020831    20.8
20020901 20020930     0.0
20021001 20021031     0.0
20021101 20021130     6.1
20021201 20021231    46.9
20030101 20030131    70.5
20030201 20030228   231.9
20030301 20030331    92.1
20030401 20030430    14.8
20030501 20030531    45.0
20030601 20030630     8.0
20030701 20030731    19.2
20030801 20030831     1.4
20030901 20030930     0.0
20031001 20031031     0.0
20031101 20031130     6.4
20031201 20031231    36.8
20040101 20040131   118.8
20040201 20040229   184.4
20040301 20040331    54.6
20040401 20040430    55.2
20040501 20040531    12.0
20040601 20040630     8.8
20040701 20040731     5.8
20040801 20040831     0.1
20040901 20040930     0.8
20041001 20041031    16.0
20041101 20041130    34.6
20041201 20041231   189.4
20050101 20050131   150.3
20050201 20050228    85.8
20050301 20050331    41.4
20050401 20050430    25.2
20050501 20050531     2.0
20050601 20050630     7.8
20050701 20050731    13.4
