PRCP       035010 19310101 20101031 missing_value=99999.9 BLAIR ATHOL                               
19890701 19890731    64.0
19890801 19890831     1.8
19890901 19890930     0.0
19891001 19891031    40.4
19891101 19891130   104.0
19891201 19891231    27.5
19900101 19900131    17.6
19900201 19900228     0.4
19900301 19900331   308.4
19900401 19900430    70.6
19900501 19900531   116.4
19900601 19900630    54.2
19900701 19900731     0.0
19900801 19900831     0.0
19900901 19900930     0.2
19901001 19901031    33.4
19901101 19901130    15.2
19901201 19901231   192.3
19910101 19910131   128.6
19910201 19910228   231.6
19910301 19910331    34.6
19910401 19910430    19.5
19910501 19910531    38.1
19910601 19910630     0.2
19910701 19910731    37.8
19910801 19910831     0.0
19910901 19910930     1.4
19911001 19911031     2.4
19911101 19911130    80.8
19911201 19911231   184.8
19920101 19920131    32.4
19920201 19920229    99.9
19920301 19920331     2.4
19920401 19920430    15.8
19920501 19920531    60.7
19920601 19920630     5.8
19920701 19920731     0.2
19920801 19920831    17.6
19920901 19920930    16.4
19921001 19921031     6.7
19921101 19921130    30.3
19921201 19921231    90.4
19930101 19930131    88.2
19930201 19930228    59.4
19930301 19930331    31.4
19930401 19930430     0.0
19930501 19930531     0.0
19930601 19930630     7.0
19930701 19930731    44.6
19930801 19930831    58.4
19930901 19930930    21.0
19931001 19931031     9.2
19931101 19931130   101.8
19931201 19931231    28.6
19940101 19940131     2.8
19940201 19940228    31.2
19940301 19940331   140.8
19940401 19940430     2.2
19940501 19940531     4.8
19940601 19940630    11.8
19940701 19940731     8.3
19940801 19940831     0.6
19940901 19940930     0.0
19941001 19941031    55.8
19941101 19941130     7.8
19941201 19941231    39.6
19950101 19950131    76.6
19950201 19950228   174.2
19950301 19950331     3.8
19950401 19950430    15.2
19950501 19950531    40.8
19950601 19950630     1.0
19950701 19950731     0.0
19950801 19950831    54.6
19950901 19950930    11.8
19951001 19951031    71.8
19951101 19951130    77.2
19951201 19951231    26.6
19960101 19960131   248.8
19960201 19960229     4.6
19960301 19960331     3.0
19960401 19960430    46.0
19960501 19960531     9.0
19960601 19960630    25.0
19960701 19960731     7.8
19960801 19960831    37.6
19960901 19960930     7.0
19961001 19961031    66.6
19961101 19961130    25.4
19961201 19961231    54.8
19970101 19970131    29.2
19970201 19970228   259.4
19970301 19970331    35.2
19970401 19970430     6.2
19970501 19970531    32.8
