PRCP       007049 18990101 20170331 missing_value=99999.9 MILEURA                                   
19551101 19551130     0.0
19551201 19551231     1.5
19560101 19560131     0.5
19560201 19560229     0.0
19560301 19560331     3.1
19560401 19560430     0.0
19560501 19560531    14.5
19560601 19560630    23.6
19560701 19560731    23.3
19560801 19560831    36.3
19560901 19560930     0.0
19561001 19561031     3.8
19561101 19561130     4.3
19561201 19561231     2.8
19570101 19570131    58.4
19570201 19570228     4.8
19570301 19570331    44.0
19570401 19570430     0.0
19570501 19570531     5.9
19570601 19570630    38.8
19570701 19570731     5.1
19570801 19570831     8.9
19570901 19570930     0.0
19571001 19571031     0.0
19571101 19571130     0.0
19571201 19571231     3.8
19580101 19580131    38.3
19580201 19580228     0.0
19580301 19580331   124.8
19580401 19580430     1.0
19580501 19580531    38.5
19580601 19580630     5.1
19580701 19580731    21.3
19580801 19580831    32.8
19580901 19580930     3.8
19581001 19581031     0.0
19581101 19581130     6.4
19581201 19581231     5.1
19590101 19590131     6.3
19590201 19590228     0.0
19590301 19590331     8.4
19590401 19590430     5.0
19590501 19590531     5.1
19590601 19590630    20.1
19590701 19590731    24.3
19590801 19590831     2.8
19590901 19590930     1.8
19591001 19591031     0.0
19591101 19591130     0.0
19591201 19591231     8.6
19600101 19600131    28.7
19600201 19600229   158.1
19600301 19600331    14.0
19600401 19600430     0.0
19600501 19600531     2.3
19600601 19600630     7.5
19600701 19600731    52.6
19600801 19600831     1.5
19600901 19600930     4.6
19601001 19601031     0.0
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131    45.2
19610201 19610228    20.1
19610301 19610331     0.0
19610401 19610430    26.0
19610501 19610531     6.6
19610601 19610630    42.5
19610701 19610731     4.9
19610801 19610831     8.4
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130     0.0
19611201 19611231    14.5
19620101 19620131    20.6
19620201 19620228    54.7
19620301 19620331     8.7
19620401 19620430     1.3
19620501 19620531    39.2
19620601 19620630     2.8
19620701 19620731    11.4
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     4.3
19621101 19621130     0.0
19621201 19621231     7.9
19630101 19630131    74.9
19630201 19630228    69.7
19630301 19630331    20.6
19630401 19630430    19.1
19630501 19630531    60.0
19630601 19630630    25.4
19630701 19630731    66.7
19630801 19630831     4.3
19630901 19630930     1.0
19631001 19631031     0.0
19631101 19631130     1.8
19631201 19631231     2.5
19640101 19640131     0.0
19640201 19640229     7.8
19640301 19640331    53.8
19640401 19640430    26.9
19640501 19640531     0.0
19640601 19640630    45.6
19640701 19640731    22.9
19640801 19640831     2.9
19640901 19640930     3.6
19641001 19641031     0.0
19641101 19641130     0.0
19641201 19641231     0.0
19650101 19650131    23.9
19650201 19650228     7.6
19650301 19650331     8.4
19650401 19650430     0.8
19650501 19650531    23.9
19650601 19650630    90.0
19650701 19650731    13.5
19650801 19650831    61.5
19650901 19650930     0.0
19651001 19651031     4.6
19651101 19651130    79.5
19651201 19651231     1.5
19660101 19660131     5.1
19660201 19660228    15.7
19660301 19660331     1.5
19660401 19660430    61.3
19660501 19660531     4.0
19660601 19660630    35.1
19660701 19660731     3.8
19660801 19660831     8.1
19660901 19660930     0.0
19661001 19661031    16.2
19661101 19661130     0.0
19661201 19661231     0.0
19670101 19670131   116.9
19670201 19670228     0.0
19670301 19670331     0.0
19670401 19670430     0.0
19670501 19670531    25.7
19670601 19670630     9.4
19670701 19670731     3.3
19670801 19670831    10.9
19670901 19670930     0.0
19671001 19671031     1.5
19671101 19671130     0.5
19671201 19671231     1.8
19680101 19680131    57.5
19680201 19680229    12.5
19680301 19680331   132.1
19680401 19680430    31.0
19680501 19680531     6.6
19680601 19680630    90.8
19680701 19680731     7.2
19680801 19680831     0.0
19680901 19680930     8.4
19681001 19681031     0.0
19681101 19681130     0.0
19681201 19681231     0.0
19690101 19690131     0.0
19690201 19690228    40.6
19690301 19690331     0.0
19690401 19690430     1.0
19690501 19690531    52.1
19690601 19690630    11.9
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     0.0
19691101 19691130     0.0
19691201 19691231     0.0
19700101 19700131     0.0
19700201 19700228     6.1
19700301 19700331     3.8
19700401 19700430    18.3
19700501 19700531    51.4
19700601 19700630    19.0
19700701 19700731     6.9
19700801 19700831     0.0
19700901 19700930    19.8
19701001 19701031     1.3
19701101 19701130     9.7
19701201 19701231     1.8
19710101 19710131    60.9
19710201 19710228    57.4
19710301 19710331    25.2
19710401 19710430     0.0
19710501 19710531     8.9
19710601 19710630    38.5
19710701 19710731   103.3
19710801 19710831    18.3
19710901 19710930     0.0
19711001 19711031     9.9
19711101 19711130     3.0
19711201 19711231     4.3
19720101 19720131     3.3
19720201 19720229     0.0
19720301 19720331     8.9
19720401 19720430     0.0
19720501 19720531    14.0
19720601 19720630    61.7
19720701 19720731    54.1
19720801 19720831     3.0
19720901 19720930     1.5
19721001 19721031     0.0
19721101 19721130     5.3
19721201 19721231     0.0
19730101 19730131    25.2
19730201 19730228     0.0
19730301 19730331     0.0
19730401 19730430    19.6
19730501 19730531    44.5
19730601 19730630    81.7
19730701 19730731    61.2
19730801 19730831    16.2
19730901 19730930     0.0
19731001 19731031    19.8
19731101 19731130    17.8
19731201 19731231    26.6
19740101 19740131     4.0
19740201 19740228     2.8
19740301 19740331    58.0
19740401 19740430    17.2
19740501 19740531    17.8
19740601 19740630     4.2
19740701 19740731   155.4
19740801 19740831    25.2
19740901 19740930     0.0
19741001 19741031    15.2
19741101 19741130     0.0
19741201 19741231     1.6
19750101 19750131     0.0
19750201 19750228    72.9
19750301 19750331    15.9
19750401 19750430    23.0
19750501 19750531    31.2
19750601 19750630    13.8
19750701 19750731    17.1
19750801 19750831     4.6
19750901 19750930     0.0
19751001 19751031    38.0
19751101 19751130   104.8
19751201 19751231     3.0
19760101 19760131     6.8
19760201 19760229     0.0
19760301 19760331    16.0
19760401 19760430     0.0
19760501 19760531     6.8
19760601 19760630     2.2
19760701 19760731     3.4
19760801 19760831    11.5
19760901 19760930     9.6
19761001 19761031     3.0
19761101 19761130     0.0
19761201 19761231     0.0
19770101 19770131     4.0
19770201 19770228     0.0
19770301 19770331    18.0
19770401 19770430     0.0
19770501 19770531    32.0
19770601 19770630     6.0
19770701 19770731     0.0
19770801 19770831     2.2
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130     0.0
19771201 19771231     3.2
19780101 19780131     7.2
19780201 19780228    74.0
19780301 19780331    10.0
19780401 19780430    26.9
19780501 19780531     0.0
19780601 19780630     0.0
19780701 19780731    39.8
19780801 19780831    16.0
19780901 19780930     4.2
19781001 19781031     0.0
19781101 19781130     8.6
19781201 19781231     9.6
19790101 19790131     0.0
19790201 19790228     5.0
19790301 19790331    17.0
19790401 19790430     6.0
19790501 19790531     3.0
19790601 19790630     5.5
19790701 19790731     3.0
19790801 19790831     5.2
19790901 19790930     0.0
19791001 19791031     0.0
19791101 19791130     0.0
19791201 19791231     8.0
19800101 19800131    40.6
19800201 19800229    28.2
19800301 19800331     0.0
19800401 19800430    22.0
19800501 19800531    33.2
19800601 19800630   107.3
19800701 19800731    61.0
19800801 19800831     4.0
19800901 19800930     0.0
19801001 19801031     7.0
19801101 19801130     0.0
19801201 19801231     0.0
19810101 19810131     6.5
19810201 19810228    60.8
19810301 19810331     0.0
19810401 19810430     0.0
19810501 19810531    30.3
19810601 19810630    15.4
19810701 19810731     5.5
19810801 19810831    22.6
19810901 19810930     0.0
19811001 19811031     0.0
19811101 19811130     0.0
19811201 19811231    23.0
19820101 19820131    58.4
19820201 19820228    35.7
19820301 19820331     9.2
19820401 19820430    14.5
19820501 19820531    38.8
19820601 19820630    15.4
19820701 19820731     0.1
19820801 19820831    10.6
19820901 19820930    19.5
19821001 19821031     4.0
19821101 19821130     0.0
19821201 19821231     6.0
19830101 19830131     0.0
19830201 19830228     0.0
19830301 19830331    22.4
19830401 19830430     0.0
19830501 19830531     0.0
19830601 19830630    33.9
19830701 19830731    12.6
19830801 19830831    14.0
19830901 19830930     2.0
19831001 19831031     0.0
19831101 19831130    95.0
19831201 19831231    44.0
19840101 19840131    19.0
19840201 19840229    13.0
19840301 19840331    41.6
19840401 19840430     3.0
19840501 19840531    86.8
19840601 19840630     0.0
19840701 19840731     6.5
19840801 19840831    15.0
19840901 19840930    21.0
19841001 19841031    25.3
19841101 19841130     0.0
19841201 19841231     0.0
19850101 19850131     3.0
19850201 19850228    14.0
19850301 19850331     0.0
19850401 19850430     3.0
19850501 19850531    10.0
19850601 19850630     7.0
19850701 19850731    44.3
19850801 19850831    10.8
19850901 19850930     0.0
19851001 19851031     0.0
19851101 19851130     9.0
19851201 19851231     0.0
19860101 19860131    32.0
19860201 19860228    43.0
19860301 19860331    10.0
19860401 19860430     0.0
19860501 19860531     0.0
19860601 19860630   117.5
19860701 19860731    39.0
19860801 19860831     0.0
19860901 19860930    27.5
19861001 19861031     4.0
19861101 19861130     0.0
19861201 19861231     0.0
19870101 19870131    44.0
19870201 19870228    80.1
19870301 19870331     9.5
19870401 19870430     8.0
19870501 19870531     6.2
19870601 19870630    44.0
19870701 19870731    10.0
19870801 19870831     7.0
19870901 19870930     0.0
19871001 19871031     0.0
19871101 19871130     0.0
19871201 19871231     6.5
19880101 19880131     0.0
19880201 19880229    48.0
19880301 19880331     0.0
19880401 19880430    24.0
19880501 19880531    17.0
19880601 19880630     6.0
19880701 19880731    28.0
19880801 19880831     3.5
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130     3.0
19881201 19881231    49.7
19890101 19890131    24.0
19890201 19890228    73.0
19890301 19890331     0.0
19890401 19890430    47.5
19890501 19890531    29.5
19890601 19890630   101.5
19890701 19890731    18.0
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     0.0
19891101 19891130     5.0
19891201 19891231     0.0
19900101 19900131    51.3
19900201 19900228     5.0
19900301 19900331    19.2
19900401 19900430     0.0
19900501 19900531     0.0
19900601 19900630     2.4
19900701 19900731 99999.9
19900801 19900831    27.5
19900901 19900930     0.0
19901001 19901031     1.0
19901101 19901130     0.0
19901201 19901231     0.0
19910101 19910131     6.2
19910201 19910228     0.0
19910301 19910331     5.0
19910401 19910430    12.5
19910501 19910531     0.0
19910601 19910630    32.9
19910701 19910731    40.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130     0.0
19911201 19911231     6.5
19920101 19920131    18.0
19920201 19920229     0.0
19920301 19920331    43.5
19920401 19920430   160.0
19920501 19920531    35.6
19920601 19920630    45.5
19920701 19920731     2.0
19920801 19920831    58.0
19920901 19920930     0.0
19921001 19921031     0.0
19921101 19921130     0.0
19921201 19921231     5.2
19930101 19930131     0.0
19930201 19930228     0.0
19930301 19930331     4.5
19930401 19930430    26.0
19930501 19930531    43.1
19930601 19930630    49.1
19930701 19930731     0.0
19930801 19930831    18.5
19930901 19930930     4.5
19931001 19931031     0.0
19931101 19931130     6.5
19931201 19931231     0.0
19940101 19940131     0.0
19940201 19940228    69.0
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531     8.0
19940601 19940630    20.5
19940701 19940731     7.0
19940801 19940831    12.5
19940901 19940930     0.0
19941001 19941031     0.0
19941101 19941130     0.0
