PRCP       050031 18901001 20180131 missing_value=99999.9 PEAK HILL POST OFFICE                     
19571101 19571130    15.8
19571201 19571231    45.2
19580101 19580131   119.3
19580201 19580228    17.6
19580301 19580331    36.8
19580401 19580430    26.4
19580501 19580531    71.2
19580601 19580630    21.6
19580701 19580731    25.4
19580801 19580831    64.8
19580901 19580930    63.8
19581001 19581031    58.8
19581101 19581130    21.1
19581201 19581231    38.1
19590101 19590131   110.5
19590201 19590228   135.3
19590301 19590331   124.7
19590401 19590430    95.3
19590501 19590531    13.4
19590601 19590630    28.0
19590701 19590731    53.7
19590801 19590831     3.5
19590901 19590930     9.9
19591001 19591031    36.9
19591101 19591130    17.2
19591201 19591231    73.8
19600101 19600131    54.4
19600201 19600229    48.4
19600301 19600331    22.1
19600401 19600430    45.8
19600501 19600531    42.2
19600601 19600630    12.2
19600701 19600731    65.1
19600801 19600831    89.9
19600901 19600930    74.7
19601001 19601031    21.2
19601101 19601130    68.1
19601201 19601231    17.5
19610101 19610131    34.6
19610201 19610228    18.9
19610301 19610331    41.7
19610401 19610430    54.5
19610501 19610531     4.4
19610601 19610630    35.9
19610701 19610731    65.7
19610801 19610831    94.4
19610901 19610930     2.9
19611001 19611031    35.8
19611101 19611130   221.1
19611201 19611231    21.3
19620101 19620131    80.9
19620201 19620228    46.6
19620301 19620331    33.8
19620401 19620430    10.7
19620501 19620531    87.3
19620601 19620630    19.1
19620701 19620731    36.4
19620801 19620831    77.6
19620901 19620930    10.2
19621001 19621031    43.3
19621101 19621130    16.5
19621201 19621231   152.8
19630101 19630131    82.1
19630201 19630228   104.5
19630301 19630331    68.1
19630401 19630430    22.9
19630501 19630531    62.5
19630601 19630630    64.7
19630701 19630731    39.8
19630801 19630831    64.8
19630901 19630930    37.7
19631001 19631031    30.2
19631101 19631130    59.3
19631201 19631231    56.7
19640101 19640131    54.9
19640201 19640229     7.9
19640301 19640331    30.0
19640401 19640430    34.6
19640501 19640531    48.3
19640601 19640630    49.4
19640701 19640731    43.0
19640801 19640831    36.4
19640901 19640930    58.8
19641001 19641031    69.2
19641101 19641130    39.6
19641201 19641231    10.9
19650101 19650131     0.0
19650201 19650228     2.1
19650301 19650331    11.1
19650401 19650430    10.9
19650501 19650531    30.5
19650601 19650630    12.5
19650701 19650731    26.7
19650801 19650831    26.6
19650901 19650930    43.3
