PRCP       018031 19100101 20171231 missing_value=99999.9 GILLES DOWNS                              
20000901 20000930    18.0
20001001 20001031    16.4
20001101 20001130    36.2
20001201 20001231 99999.9
20010101 20010131    40.8
20010201 20010228     6.4
20010301 20010331     7.8
20010401 20010430     1.4
20010501 20010531     8.0
20010601 20010630    92.5
20010701 20010731    23.0
20010801 20010831     0.0
20010901 20010930    69.0
20011001 20011031    20.0
20011101 20011130    32.0
20011201 20011231    19.0
20020101 20020131     0.0
20020201 20020228     0.0
20020301 20020331     0.0
20020401 20020430     0.0
20020501 20020531    32.5
20020601 20020630    16.4
20020701 20020731    19.5
20020801 20020831    15.0
20020901 20020930     6.0
20021001 20021031     5.0
20021101 20021130    18.0
20021201 20021231     6.0
20030101 20030131    12.0
20030201 20030228    44.5
20030301 20030331     6.0
20030401 20030430    10.0
20030501 20030531    27.5
20030601 20030630    13.0
20030701 20030731    15.5
20030801 20030831    51.5
20030901 20030930     5.0
20031001 20031031    15.0
20031101 20031130    28.5
20031201 20031231    20.0
20040101 20040131     4.0
20040201 20040229     3.0
20040301 20040331     3.0
20040401 20040430     1.0
20040501 20040531    16.5
20040601 20040630    33.5
20040701 20040731    17.5
20040801 20040831    28.0
20040901 20040930    14.5
20041001 20041031     0.0
20041101 20041130    13.5
20041201 20041231    19.5
20050101 20050131    14.0
20050201 20050228     2.0
20050301 20050331     3.0
20050401 20050430     6.0
20050501 20050531     4.0
20050601 20050630    32.0
20050701 20050731    26.0
20050801 20050831    20.5
20050901 20050930    26.5
20051001 20051031    45.0
