PRCP       086131 18630101 20180131 missing_value=99999.9 YAN YEAN                                  
19530301 19530331    17.5
19530401 19530430    34.3
19530501 19530531    54.0
19530601 19530630    47.2
19530701 19530731    37.0
19530801 19530831    76.9
19530901 19530930    90.9
19531001 19531031   102.5
19531101 19531130    77.8
19531201 19531231    30.9
19540101 19540131    47.5
19540201 19540228    85.1
19540301 19540331     8.5
19540401 19540430    43.6
19540501 19540531    50.7
19540601 19540630    36.7
19540701 19540731    42.6
19540801 19540831    66.3
19540901 19540930    70.3
19541001 19541031    61.2
19541101 19541130   197.9
19541201 19541231   125.7
19550101 19550131    51.1
19550201 19550228    97.7
19550301 19550331    39.7
19550401 19550430    40.5
19550501 19550531    66.6
19550601 19550630    62.4
19550701 19550731    44.9
19550801 19550831    73.6
19550901 19550930    80.4
19551001 19551031   101.2
19551101 19551130    48.5
19551201 19551231   105.2
19560101 19560131   110.2
19560201 19560229    32.6
19560301 19560331    69.2
19560401 19560430    71.4
19560501 19560531   140.5
19560601 19560630    35.3
19560701 19560731    49.5
19560801 19560831    77.0
19560901 19560930    64.8
19561001 19561031   157.3
19561101 19561130    60.2
19561201 19561231    31.8
19570101 19570131     9.0
19570201 19570228    24.8
19570301 19570331    32.1
19570401 19570430    33.0
19570501 19570531    36.2
19570601 19570630    38.3
19570701 19570731   121.9
19570801 19570831    34.9
19570901 19570930    54.1
19571001 19571031    76.8
19571101 19571130    78.5
19571201 19571231    34.7
19580101 19580131    13.0
19580201 19580228   101.6
19580301 19580331    41.0
19580401 19580430    24.1
19580501 19580531    91.5
19580601 19580630    25.9
19580701 19580731    56.8
19580801 19580831   107.0
19580901 19580930    76.4
19581001 19581031   106.2
19581101 19581130    83.7
