PRCP       016027 19090501 20171130 missing_value=99999.9 MCDOUALL PEAK                             
19940401 19940430     0.0
19940501 19940531     2.4
19940601 19940630    35.6
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     0.0
19941101 19941130     2.4
19941201 19941231    10.8
19950101 19950131    21.4
19950201 19950228    15.8
19950301 19950331     0.0
19950401 19950430     3.4
19950501 19950531     0.8
19950601 19950630    22.2
19950701 19950731     8.8
19950801 19950831     3.8
19950901 19950930     8.6
19951001 19951031    23.6
19951101 19951130    22.4
19951201 19951231    21.2
19960101 19960131     0.0
19960201 19960229     0.0
19960301 19960331     6.0
19960401 19960430     0.0
19960501 19960531     1.0
19960601 19960630    22.6
19960701 19960731    21.4
19960801 19960831    12.4
19960901 19960930    13.6
19961001 19961031     4.9
19961101 19961130    12.6
19961201 19961231    42.9
19970101 19970131     0.0
19970201 19970228    99.8
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531    12.8
19970601 19970630    11.4
19970701 19970731     0.0
19970801 19970831    22.6
19970901 19970930    44.6
19971001 19971031     8.4
19971101 19971130     8.4
19971201 19971231    10.4
19980101 19980131    39.6
19980201 19980228    41.4
19980301 19980331    13.8
19980401 19980430    49.2
19980501 19980531     3.0
19980601 19980630    12.4
19980701 19980731    29.8
19980801 19980831    19.8
19980901 19980930    12.0
19981001 19981031     6.6
19981101 19981130     3.0
19981201 19981231     6.2
19990101 19990131    15.2
19990201 19990228    18.0
19990301 19990331    12.0
19990401 19990430     4.0
19990501 19990531     9.6
19990601 19990630     8.8
19990701 19990731     2.6
19990801 19990831     0.0
19990901 19990930     6.7
19991001 19991031    27.0
19991101 19991130     3.0
19991201 19991231    10.2
20000101 20000131     0.0
20000201 20000229     7.5
20000301 20000331     9.3
20000401 20000430    28.8
20000501 20000531     6.2
20000601 20000630     4.8
20000701 20000731     0.0
20000801 20000831    15.3
20000901 20000930     9.4
20001001 20001031     8.4
20001101 20001130    21.6
20001201 20001231     2.0
20010101 20010131     6.2
20010201 20010228     0.0
20010301 20010331     0.0
20010401 20010430     0.0
20010501 20010531    10.6
20010601 20010630    47.4
20010701 20010731     0.0
20010801 20010831     5.2
20010901 20010930    19.4
20011001 20011031    30.4
20011101 20011130     0.0
20011201 20011231     6.2
20020101 20020131     0.0
20020201 20020228     0.0
20020301 20020331     0.0
20020401 20020430     0.0
20020501 20020531     9.8
20020601 20020630     0.0
20020701 20020731     2.6
20020801 20020831     0.0
20020901 20020930     6.2
20021001 20021031     0.0
20021101 20021130     6.0
20021201 20021231     4.4
20030101 20030131    11.8
20030201 20030228    54.8
20030301 20030331     0.0
20030401 20030430    28.4
20030501 20030531     2.4
20030601 20030630    14.8
20030701 20030731     0.0
20030801 20030831    43.3
20030901 20030930    10.2
20031001 20031031     9.0
20031101 20031130 99999.9
20031201 20031231    19.1
20040101 20040131     0.0
20040201 20040229    18.2
20040301 20040331    10.2
20040401 20040430     0.0
20040501 20040531    15.4
20040601 20040630    72.4
20040701 20040731     6.6
20040801 20040831    22.4
20040901 20040930     6.4
20041001 20041031     6.8
20041101 20041130     6.2
20041201 20041231     0.0
20050101 20050131     6.4
