PRCP       009503 18970701 20140831 missing_value=99999.9 BOYANUP POST OFFICE                       
19600301 19600331    65.8
19600401 19600430    59.0
19600501 19600531   183.5
19600601 19600630   152.6
19600701 19600731   220.9
19600801 19600831    69.1
19600901 19600930    62.4
19601001 19601031    12.3
19601101 19601130     3.3
19601201 19601231     2.5
19610101 19610131    13.5
19610201 19610228     9.9
19610301 19610331    46.8
19610401 19610430   169.2
19610501 19610531    77.4
19610601 19610630   310.3
19610701 19610731   202.0
19610801 19610831   141.4
19610901 19610930    79.6
19611001 19611031    33.3
19611101 19611130    22.6
19611201 19611231    17.5
19620101 19620131     2.1
19620201 19620228    11.9
19620301 19620331     2.5
19620401 19620430    16.0
19620501 19620531   161.4
19620601 19620630   132.4
19620701 19620731   138.6
19620801 19620831   217.4
19620901 19620930    87.7
19621001 19621031    74.5
19621101 19621130    65.9
19621201 19621231    23.3
19630101 19630131    27.2
19630201 19630228     6.6
19630301 19630331     1.5
19630401 19630430    36.5
19630501 19630531   221.8
19630601 19630630   292.5
19630701 19630731   264.3
19630801 19630831   248.4
19630901 19630930   157.3
19631001 19631031    44.2
19631101 19631130    16.2
19631201 19631231     0.0
19640101 19640131     0.0
19640201 19640229     2.3
19640301 19640331    10.2
19640401 19640430    51.0
19640501 19640531    42.2
19640601 19640630   397.2
19640701 19640731   339.4
19640801 19640831   234.5
19640901 19640930    56.7
19641001 19641031    87.7
19641101 19641130    26.6
19641201 19641231    40.6
19650101 19650131     3.6
19650201 19650228     3.8
19650301 19650331    59.3
19650401 19650430    66.1
19650501 19650531   193.8
19650601 19650630   200.2
19650701 19650731   203.8
19650801 19650831   176.4
19650901 19650930    74.1
19651001 19651031   123.2
19651101 19651130    79.5
19651201 19651231    42.7
19660101 19660131    16.7
19660201 19660228     4.1
19660301 19660331     7.9
19660401 19660430    45.5
19660501 19660531    85.7
19660601 19660630   271.2
19660701 19660731   197.6
19660801 19660831   112.0
19660901 19660930   109.7
19661001 19661031    43.0
19661101 19661130    24.7
19661201 19661231    32.0
19670101 19670131     6.9
19670201 19670228     4.9
19670301 19670331     6.6
19670401 19670430    60.9
19670501 19670531   197.2
19670601 19670630   307.0
19670701 19670731   321.3
19670801 19670831   138.7
19670901 19670930    38.7
19671001 19671031    40.9
19671101 19671130    35.9
19671201 19671231    22.2
19680101 19680131    50.4
19680201 19680229     2.5
19680301 19680331    75.3
19680401 19680430    66.3
19680501 19680531    51.1
19680601 19680630   232.0
19680701 19680731   156.1
19680801 19680831    77.1
19680901 19680930    89.1
19681001 19681031    68.4
19681101 19681130     9.4
19681201 19681231     5.4
19690101 19690131     9.1
19690201 19690228     0.0
19690301 19690331    33.3
19690401 19690430   119.3
19690501 19690531    65.5
19690601 19690630   183.7
19690701 19690731    85.6
19690801 19690831    75.3
19690901 19690930    34.3
19691001 19691031     6.2
19691101 19691130    37.6
19691201 19691231    14.8
19700101 19700131     6.4
19700201 19700228    91.6
19700301 19700331     8.9
19700401 19700430    56.6
19700501 19700531   117.9
19700601 19700630   252.3
19700701 19700731   193.0
19700801 19700831    85.4
19700901 19700930    75.0
19701001 19701031    57.9
19701101 19701130    23.4
19701201 19701231     4.5
19710101 19710131     9.9
19710201 19710228    24.7
19710301 19710331    93.5
19710401 19710430    12.4
19710501 19710531   164.9
19710601 19710630   139.2
19710701 19710731   162.4
19710801 19710831    89.9
19710901 19710930   155.6
19711001 19711031   100.0
19711101 19711130    47.8
19711201 19711231     4.0
19720101 19720131     0.8
19720201 19720229     0.8
19720301 19720331     8.1
19720401 19720430    31.6
19720501 19720531   130.6
19720601 19720630   125.1
19720701 19720731   124.4
19720801 19720831   160.9
19720901 19720930    49.5
19721001 19721031    68.8
19721101 19721130    15.5
19721201 19721231     1.5
19730101 19730131     5.5
19730201 19730228     1.3
19730301 19730331     1.0
19730401 19730430    66.7
19730501 19730531   178.5
19730601 19730630   189.3
19730701 19730731   224.7
19730801 19730831   152.1
19730901 19730930   127.9
19731001 19731031    66.8
19731101 19731130    22.5
19731201 19731231     0.3
19740101 19740131     0.0
19740201 19740228    10.0
19740301 19740331     0.0
19740401 19740430    50.2
19740501 19740531   303.2
19740601 19740630   147.6
19740701 19740731   288.0
19740801 19740831   143.2
19740901 19740930    59.5
19741001 19741031   107.8
19741101 19741130    15.6
19741201 19741231     1.6
19750101 19750131     0.0
19750201 19750228     2.6
19750301 19750331    24.0
19750401 19750430    31.8
19750501 19750531   104.8
19750601 19750630   184.6
19750701 19750731   182.0
19750801 19750831    81.0
19750901 19750930    78.3
19751001 19751031    41.6
19751101 19751130    15.2
19751201 19751231     1.4
19760101 19760131    70.4
19760201 19760229     8.4
19760301 19760331     4.0
19760401 19760430    85.6
19760501 19760531   110.8
19760601 19760630   107.4
19760701 19760731   104.0
19760801 19760831   176.2
19760901 19760930    73.6
19761001 19761031    61.4
19761101 19761130    82.4
19761201 19761231    14.2
19770101 19770131    12.6
19770201 19770228     1.6
19770301 19770331     2.8
19770401 19770430     1.6
19770501 19770531    91.6
19770601 19770630   117.2
19770701 19770731    99.0
19770801 19770831   197.2
19770901 19770930    56.6
19771001 19771031   112.0
19771101 19771130    23.2
19771201 19771231     2.8
19780101 19780131     0.6
19780201 19780228    18.0
19780301 19780331    10.0
19780401 19780430    11.4
19780501 19780531   214.0
19780601 19780630   152.0
19780701 19780731   143.4
19780801 19780831    40.6
19780901 19780930   121.2
19781001 19781031    45.8
19781101 19781130    28.6
19781201 19781231    21.6
19790101 19790131     1.7
19790201 19790228     1.9
19790301 19790331    19.6
19790401 19790430    57.7
19790501 19790531    73.3
19790601 19790630   124.4
19790701 19790731   131.7
19790801 19790831    58.7
19790901 19790930    63.9
19791001 19791031    58.6
19791101 19791130    77.6
19791201 19791231     3.6
19800101 19800131     0.0
19800201 19800229    42.5
19800301 19800331     5.2
19800401 19800430   100.4
19800501 19800531    87.9
19800601 19800630   144.7
19800701 19800731   186.6
19800801 19800831   122.2
19800901 19800930   104.3
19801001 19801031    71.7
19801101 19801130    42.2
19801201 19801231    30.4
19810101 19810131     0.0
19810201 19810228     0.8
19810301 19810331    19.4
19810401 19810430    37.9
19810501 19810531   141.9
19810601 19810630   153.2
19810701 19810731   127.8
19810801 19810831   119.8
19810901 19810930    86.0
19811001 19811031    32.9
19811101 19811130    68.8
19811201 19811231    13.8
