PRCP       036026 18850101 20180131 missing_value=99999.9 ISISFORD POST OFFICE                      
19590201 19590228    22.9
19590301 19590331    55.4
19590401 19590430   146.3
19590501 19590531    80.5
19590601 19590630     0.0
19590701 19590731    16.5
19590801 19590831     1.3
19590901 19590930     1.3
19591001 19591031     5.3
19591101 19591130     0.0
19591201 19591231    54.1
19600101 19600131    93.1
19600201 19600229   157.9
19600301 19600331    30.5
19600401 19600430     3.6
19600501 19600531    51.5
19600601 19600630    17.7
19600701 19600731    30.2
19600801 19600831     9.7
19600901 19600930    30.5
19601001 19601031     5.3
19601101 19601130    66.1
19601201 19601231   152.0
19610101 19610131    51.0
19610201 19610228   147.2
19610301 19610331     2.0
19610401 19610430    17.8
19610501 19610531     0.0
19610601 19610630     2.1
19610701 19610731    24.1
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031    14.7
19611101 19611130    98.6
19611201 19611231    36.3
19620101 19620131   129.3
19620201 19620228   125.1
19620301 19620331    42.7
19620401 19620430    27.4
19620501 19620531     5.9
19620601 19620630    19.8
19620701 19620731    31.7
19620801 19620831     0.0
19620901 19620930    14.2
19621001 19621031    36.0
19621101 19621130    18.1
19621201 19621231   153.0
19630101 19630131   210.7
19630201 19630228    21.6
19630301 19630331   248.3
19630401 19630430   111.0
19630501 19630531    18.2
19630601 19630630     6.6
19630701 19630731     0.0
19630801 19630831    53.6
19630901 19630930     2.8
19631001 19631031    40.9
19631101 19631130    19.3
19631201 19631231     6.6
19640101 19640131    19.3
19640201 19640229     8.2
19640301 19640331    72.1
19640401 19640430    33.3
19640501 19640531     1.5
19640601 19640630     5.1
19640701 19640731     0.0
19640801 19640831     5.8
19640901 19640930    64.4
19641001 19641031    32.9
19641101 19641130     3.8
19641201 19641231    34.0
19650101 19650131     3.6
19650201 19650228     1.8
19650301 19650331   102.1
19650401 19650430    40.5
19650501 19650531     0.0
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     2.3
19651101 19651130     4.3
19651201 19651231   141.6
19660101 19660131   145.6
19660201 19660228    23.3
19660301 19660331     0.0
19660401 19660430     0.0
19660501 19660531    21.1
19660601 19660630    10.2
19660701 19660731     0.0
19660801 19660831    76.0
19660901 19660930    23.1
19661001 19661031     4.8
19661101 19661130    28.6
19661201 19661231     9.4
19670101 19670131     4.3
19670201 19670228    17.6
19670301 19670331   132.5
19670401 19670430     0.0
19670501 19670531     3.0
19670601 19670630    33.1
19670701 19670731     0.0
19670801 19670831     8.6
19670901 19670930     0.0
19671001 19671031     4.8
19671101 19671130    20.3
19671201 19671231    61.2
19680101 19680131     8.9
19680201 19680229    79.0
19680301 19680331    19.0
19680401 19680430    81.5
19680501 19680531    65.4
19680601 19680630     0.3
19680701 19680731    58.2
19680801 19680831     2.8
19680901 19680930     2.4
19681001 19681031     2.3
19681101 19681130     3.1
19681201 19681231    10.0
19690101 19690131    31.0
19690201 19690228    25.2
19690301 19690331   115.0
19690401 19690430     0.0
19690501 19690531    32.2
19690601 19690630     1.0
19690701 19690731     1.3
19690801 19690831     0.5
19690901 19690930     0.0
19691001 19691031    26.5
19691101 19691130     9.2
19691201 19691231    40.5
19700101 19700131    24.8
19700201 19700228    13.9
19700301 19700331    31.5
19700401 19700430    24.2
19700501 19700531     0.0
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    51.6
19701001 19701031    15.8
19701101 19701130     6.6
19701201 19701231    48.8
19710101 19710131    33.6
19710201 19710228    56.4
19710301 19710331    90.6
19710401 19710430    61.1
19710501 19710531     9.7
19710601 19710630     0.5
19710701 19710731    21.4
19710801 19710831    27.9
19710901 19710930     7.6
19711001 19711031    26.0
19711101 19711130    37.8
19711201 19711231   179.9
19720101 19720131    40.1
19720201 19720229     3.6
19720301 19720331    53.0
19720401 19720430     0.0
19720501 19720531    27.4
19720601 19720630     2.8
19720701 19720731     0.0
19720801 19720831     1.3
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    87.4
19721201 19721231    42.4
19730101 19730131   120.6
19730201 19730228   240.8
19730301 19730331    61.9
19730401 19730430    68.3
19730501 19730531     5.1
19730601 19730630    12.0
19730701 19730731    37.0
19730801 19730831     6.1
19730901 19730930    42.7
19731001 19731031    31.9
19731101 19731130    81.0
19731201 19731231    39.8
19740101 19740131   215.4
19740201 19740228     4.8
19740301 19740331    55.6
19740401 19740430    35.6
19740501 19740531    29.4
19740601 19740630     4.8
19740701 19740731     0.0
19740801 19740831    23.0
19740901 19740930    30.0
19741001 19741031    23.0
19741101 19741130    30.0
19741201 19741231    36.8
19750101 19750131   101.6
19750201 19750228    33.0
19750301 19750331    73.8
19750401 19750430     6.0
19750501 19750531     2.0
19750601 19750630    12.0
19750701 19750731     5.0
19750801 19750831    11.0
19750901 19750930     9.0
19751001 19751031    49.4
19751101 19751130     1.0
19751201 19751231    56.2
19760101 19760131   121.0
19760201 19760229   182.0
19760301 19760331   104.6
19760401 19760430     1.8
19760501 19760531    28.0
19760601 19760630     7.0
19760701 19760731    10.9
19760801 19760831     1.4
