PRCP       095016 19100701 20180131 missing_value=99999.9 OSTERLEY                                  
19891101 19891130    13.0
19891201 19891231    62.4
19900101 19900131    64.0
19900201 19900228    87.6
19900301 19900331    32.0
19900401 19900430    20.0
19900501 19900531    59.8
19900601 19900630    57.8
19900701 19900731   108.0
19900801 19900831    42.0
19900901 19900930    53.8
19901001 19901031    49.2
19901101 19901130    46.2
19901201 19901231    80.8
19910101 19910131    56.0
19910201 19910228     2.4
19910301 19910331    39.8
19910401 19910430    29.8
19910501 19910531    17.2
19910601 19910630    60.8
19910701 19910731    73.6
19910801 19910831   156.6
19910901 19910930    52.4
19911001 19911031   103.6
19911101 19911130    92.6
19911201 19911231   110.8
19920101 19920131    81.8
19920201 19920229    29.4
19920301 19920331    14.8
19920401 19920430    50.4
19920501 19920531    36.2
19920601 19920630    56.8
19920701 19920731   101.6
19920801 19920831   108.0
19920901 19920930    56.2
19921001 19921031    63.6
19921101 19921130    79.2
19921201 19921231    25.4
19930101 19930131    46.8
19930201 19930228    50.6
19930301 19930331    34.4
19930401 19930430 99999.9
19930501 19930531    47.2
19930601 19930630    87.0
19930701 19930731    39.2
19930801 19930831    77.6
19930901 19930930 99999.9
19931001 19931031    65.8
19931101 19931130    92.8
19931201 19931231   107.2
19940101 19940131    45.0
19940201 19940228    22.6
19940301 19940331    12.6
19940401 19940430    52.4
19940501 19940531   128.8
19940601 19940630    39.6
19940701 19940731    59.6
19940801 19940831   118.0
19940901 19940930    86.3
19941001 19941031    75.4
19941101 19941130   129.2
19941201 19941231     8.6
19950101 19950131   110.4
19950201 19950228    24.8
19950301 19950331    48.8
19950401 19950430    60.4
19950501 19950531    29.2
19950601 19950630    19.6
19950701 19950731    46.0
19950801 19950831   106.0
19950901 19950930    52.4
19951001 19951031    38.6
19951101 19951130    62.2
19951201 19951231    84.2
19960101 19960131 99999.9
19960201 19960229    73.6
19960301 19960331    78.0
19960401 19960430   113.6
19960501 19960531    23.4
19960601 19960630    53.0
19960701 19960731    49.2
19960801 19960831    80.4
19960901 19960930   115.8
19961001 19961031    52.6
19961101 19961130    87.6
19961201 19961231    16.4
19970101 19970131    73.0
19970201 19970228    44.8
