PRCP       012029 19010101 20180131 missing_value=99999.9 FRASER RANGE                              
19850701 19850731    42.6
19850801 19850831    42.6
19850901 19850930    27.8
19851001 19851031    15.4
19851101 19851130    52.4
19851201 19851231     6.0
19860101 19860131     2.5
19860201 19860228    15.0
19860301 19860331    23.0
19860401 19860430    15.4
19860501 19860531   151.7
19860601 19860630    76.8
19860701 19860731    54.8
19860801 19860831    31.6
19860901 19860930    28.8
19861001 19861031    16.0
19861101 19861130    52.8
19861201 19861231    27.4
19870101 19870131   102.4
19870201 19870228     2.0
19870301 19870331    12.2
19870401 19870430    26.4
19870501 19870531    31.0
19870601 19870630    30.6
19870701 19870731    11.6
19870801 19870831    11.6
19870901 19870930    13.0
19871001 19871031    10.0
19871101 19871130    60.0
19871201 19871231    15.0
19880101 19880131    21.6
19880201 19880229    11.6
19880301 19880331    32.7
19880401 19880430    51.7
19880501 19880531    91.3
19880601 19880630    27.2
19880701 19880731    37.8
19880801 19880831    28.6
19880901 19880930    11.0
19881001 19881031     6.5
19881101 19881130    12.0
19881201 19881231    58.8
19890101 19890131     7.4
19890201 19890228     8.4
19890301 19890331    15.8
19890401 19890430    41.9
19890501 19890531    57.8
19890601 19890630    86.0
19890701 19890731    23.5
19890801 19890831    11.2
19890901 19890930     3.2
19891001 19891031    25.0
19891101 19891130    25.6
19891201 19891231     3.6
19900101 19900131    33.8
19900201 19900228     4.8
19900301 19900331    39.2
19900401 19900430    27.6
19900501 19900531    91.4
19900601 19900630    30.6
19900701 19900731    36.6
19900801 19900831    21.8
19900901 19900930    45.4
19901001 19901031     9.6
19901101 19901130 99999.9
19901201 19901231    14.0
19910101 19910131     1.2
19910201 19910228     0.0
19910301 19910331     3.0
19910401 19910430     6.5
19910501 19910531    17.6
19910601 19910630    68.2
19910701 19910731    30.8
19910801 19910831    13.8
19910901 19910930    10.4
19911001 19911031    18.2
19911101 19911130    36.0
19911201 19911231    83.6
19920101 19920131     9.2
19920201 19920229    37.2
19920301 19920331   136.6
19920401 19920430    39.0
19920501 19920531    80.2
19920601 19920630    63.2
19920701 19920731    11.5
19920801 19920831    90.2
19920901 19920930    51.1
19921001 19921031    16.2
19921101 19921130    25.5
19921201 19921231    43.2
19930101 19930131     9.2
19930201 19930228    45.2
19930301 19930331    80.7
19930401 19930430    22.8
19930501 19930531    42.6
19930601 19930630    38.2
19930701 19930731    15.0
19930801 19930831    68.8
19930901 19930930    19.0
19931001 19931031    18.8
19931101 19931130    90.8
19931201 19931231    16.6
19940101 19940131 99999.9
19940201 19940228 99999.9
19940301 19940331 99999.9
19940401 19940430 99999.9
19940501 19940531 99999.9
19940601 19940630 99999.9
19940701 19940731 99999.9
19940801 19940831 99999.9
19940901 19940930 99999.9
19941001 19941031 99999.9
19941101 19941130 99999.9
19941201 19941231 99999.9
19950101 19950131    20.2
19950201 19950228   188.2
19950301 19950331    15.0
19950401 19950430    43.4
19950501 19950531    35.1
19950601 19950630    36.4
19950701 19950731    69.0
19950801 19950831     6.0
19950901 19950930     5.2
19951001 19951031    13.4
19951101 19951130     9.4
19951201 19951231    42.4
19960101 19960131     4.4
19960201 19960229    16.2
19960301 19960331    27.4
19960401 19960430    58.0
19960501 19960531     8.2
19960601 19960630    57.6
19960701 19960731    58.9
19960801 19960831    22.6
19960901 19960930    50.7
19961001 19961031    11.2
