PRCP       031011 19100101 20180131 missing_value=99999.9 CAIRNS AERO                               
19891201 19891231   170.2
19900101 19900131   128.0
19900201 19900228    30.4
19900301 19900331   640.8
19900401 19900430   289.8
19900501 19900531   218.8
19900601 19900630    79.4
19900701 19900731    10.2
19900801 19900831     0.0
19900901 19900930    82.6
19901001 19901031     5.4
19901101 19901130     3.2
19901201 19901231   353.6
19910101 19910131   766.6
19910201 19910228   741.0
19910301 19910331    61.6
19910401 19910430   135.2
19910501 19910531    99.6
19910601 19910630    22.2
19910701 19910731    59.8
19910801 19910831     4.8
19910901 19910930     0.2
19911001 19911031     5.2
19911101 19911130    52.0
19911201 19911231    97.8
19920101 19920131   127.6
19920201 19920229   323.4
19920301 19920331   165.4
19920401 19920430   246.0
19920501 19920531   199.4
19920601 19920630     3.4
19920701 19920731    34.4
19920801 19920831    31.0
19920901 19920930    27.6
19921001 19921031    13.4
19921101 19921130     7.2
19921201 19921231   368.0
19930101 19930131   485.0
19930201 19930228   236.0
19930301 19930331    27.8
19930401 19930430   239.4
19930501 19930531    91.6
19930601 19930630    58.8
19930701 19930731    58.0
19930801 19930831    32.8
19930901 19930930    74.4
19931001 19931031    24.6
19931101 19931130    87.0
19931201 19931231   158.8
19940101 19940131   479.0
19940201 19940228   842.4
19940301 19940331    62.0
19940401 19940430   211.6
19940501 19940531    50.8
19940601 19940630    57.2
19940701 19940731    95.4
19940801 19940831    37.6
19940901 19940930    37.0
19941001 19941031    60.2
19941101 19941130     7.6
19941201 19941231    49.6
19950101 19950131   121.0
19950201 19950228   700.0
19950301 19950331   601.2
19950401 19950430    23.8
19950501 19950531   159.0
19950601 19950630    72.8
19950701 19950731     7.4
19950801 19950831   140.2
19950901 19950930     4.4
19951001 19951031    99.4
19951101 19951130    90.6
19951201 19951231    55.0
19960101 19960131   368.4
19960201 19960229   326.8
19960301 19960331   515.2
19960401 19960430   206.2
19960501 19960531    86.2
19960601 19960630    57.2
19960701 19960731    45.8
19960801 19960831     9.6
19960901 19960930     7.4
19961001 19961031   158.8
19961101 19961130    60.0
19961201 19961231   241.4
19970101 19970131   424.2
19970201 19970228   377.6
19970301 19970331   321.4
19970401 19970430    79.2
19970501 19970531    30.6
19970601 19970630    38.4
19970701 19970731    14.8
19970801 19970831    37.4
19970901 19970930    42.8
19971001 19971031    44.4
19971101 19971130   167.4
19971201 19971231   321.6
19980101 19980131   349.6
19980201 19980228   367.2
19980301 19980331   142.6
19980401 19980430   134.8
19980501 19980531    84.8
19980601 19980630    30.0
19980701 19980731    24.8
19980801 19980831    40.8
19980901 19980930    86.4
19981001 19981031    48.4
19981101 19981130   168.4
19981201 19981231   187.0
19990101 19990131   273.0
19990201 19990228   652.6
19990301 19990331   690.4
19990401 19990430   267.0
19990501 19990531    15.6
19990601 19990630    33.4
19990701 19990731    41.0
19990801 19990831    49.0
19990901 19990930    71.4
19991001 19991031    28.2
19991101 19991130   233.4
19991201 19991231   179.6
20000101 20000131   112.8
20000201 20000229  1287.0
20000301 20000331   472.4
20000401 20000430   405.2
20000501 20000531    61.0
20000601 20000630    22.0
20000701 20000731     4.4
20000801 20000831    55.6
20000901 20000930     5.2
20001001 20001031    47.8
20001101 20001130   245.2
20001201 20001231   430.2
20010101 20010131   269.8
20010201 20010228   801.8
20010301 20010331   126.6
20010401 20010430   167.2
20010501 20010531     3.2
20010601 20010630    45.8
20010701 20010731     7.8
20010801 20010831     5.6
20010901 20010930    18.8
20011001 20011031    52.6
20011101 20011130   112.4
20011201 20011231    56.2
20020101 20020131   135.6
20020201 20020228   220.6
20020301 20020331    67.6
20020401 20020430   101.0
20020501 20020531    64.8
20020601 20020630     3.2
20020701 20020731     5.0
20020801 20020831    20.4
20020901 20020930     7.2
20021001 20021031     0.0
20021101 20021130    17.6
20021201 20021231    78.0
20030101 20030131   178.0
20030201 20030228   213.2
20030301 20030331   222.6
20030401 20030430   258.4
20030501 20030531    90.2
20030601 20030630    35.0
20030701 20030731    34.6
20030801 20030831    13.6
20030901 20030930     2.4
20031001 20031031     8.2
20031101 20031130    18.6
20031201 20031231   204.4
20040101 20040131   331.2
20040201 20040229   716.2
20040301 20040331  1102.4
20040401 20040430   163.2
20040501 20040531    37.2
20040601 20040630    20.4
20040701 20040731    28.8
20040801 20040831     9.8
20040901 20040930     6.6
20041001 20041031    21.4
20041101 20041130    97.4
20041201 20041231   243.0
20050101 20050131   524.4
20050201 20050228   108.2
20050301 20050331   412.8
20050401 20050430   171.6
20050501 20050531    19.8
20050601 20050630    33.0
20050701 20050731    63.6
20050801 20050831    59.6
20050901 20050930     3.8
