PRCP       080065 18930101 20180131 missing_value=99999.9 YARROWEYAH                                
19720601 19720630     6.6
19720701 19720731    14.7
19720801 19720831    56.1
19720901 19720930     6.1
19721001 19721031    13.3
19721101 19721130    26.7
19721201 19721231     0.0
19730101 19730131    43.2
19730201 19730228   132.6
19730301 19730331    70.9
19730401 19730430    79.8
19730501 19730531    41.5
19730601 19730630    74.5
19730701 19730731    31.7
19730801 19730831   119.3
19730901 19730930    51.8
19731001 19731031   108.0
19731101 19731130    34.8
19731201 19731231    38.2
19740101 19740131   208.6
19740201 19740228    37.4
19740301 19740331    23.0
19740401 19740430   102.0
19740501 19740531   111.2
19740601 19740630    15.0
19740701 19740731    47.0
19740801 19740831    52.4
19740901 19740930    61.2
19741001 19741031    72.8
19741101 19741130    48.8
19741201 19741231    10.2
19750101 19750131    12.2
19750201 19750228    13.0
19750301 19750331    30.0
19750401 19750430     9.8
19750501 19750531    29.8
19750601 19750630     3.6
19750701 19750731    48.0
19750801 19750831    60.6
19750901 19750930    96.0
19751001 19751031   162.0
19751101 19751130    17.2
19751201 19751231   106.2
19760101 19760131    20.8
19760201 19760229    23.2
19760301 19760331     6.6
19760401 19760430     6.2
19760501 19760531     3.6
19760601 19760630    11.0
19760701 19760731    24.6
19760801 19760831    22.6
19760901 19760930    51.0
19761001 19761031    58.4
19761101 19761130    39.4
19761201 19761231    22.8
19770101 19770131    30.9
19770201 19770228    55.6
19770301 19770331    15.2
19770401 19770430    17.2
19770501 19770531    43.0
19770601 19770630    52.6
19770701 19770731    17.6
19770801 19770831     4.8
19770901 19770930    30.2
19771001 19771031     9.2
19771101 19771130    19.2
19771201 19771231     1.0
19780101 19780131    69.2
19780201 19780228     1.2
19780301 19780331    51.0
19780401 19780430    34.0
19780501 19780531    65.8
19780601 19780630    40.6
19780701 19780731    69.0
19780801 19780831    20.2
19780901 19780930    74.8
19781001 19781031    38.6
19781101 19781130    54.2
19781201 19781231   107.8
19790101 19790131    28.0
19790201 19790228     2.4
19790301 19790331    11.0
19790401 19790430    29.4
19790501 19790531    49.4
19790601 19790630    37.4
19790701 19790731     6.4
19790801 19790831    48.8
19790901 19790930    67.8
19791001 19791031    66.8
