PRCP       017031 18850801 20141231 missing_value=99999.9 MARREE                                    
19460701 19460731     0.8
19460801 19460831     0.3
19460901 19460930    56.4
19461001 19461031     1.0
19461101 19461130    13.8
19461201 19461231    18.1
19470101 19470131     0.0
19470201 19470228     9.0
19470301 19470331    38.3
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630    11.2
19470701 19470731     6.8
19470801 19470831    12.3
19470901 19470930    12.0
19471001 19471031    10.9
19471101 19471130    11.4
19471201 19471231     4.8
19480101 19480131     2.8
19480201 19480229    70.1
19480301 19480331     0.0
19480401 19480430     2.3
19480501 19480531     0.0
19480601 19480630     6.1
19480701 19480731     4.6
19480801 19480831     5.4
19480901 19480930     1.8
19481001 19481031     2.5
19481101 19481130     1.0
19481201 19481231   107.5
19490101 19490131     0.0
19490201 19490228    27.9
19490301 19490331    16.0
19490401 19490430     0.0
19490501 19490531    21.6
19490601 19490630    13.7
19490701 19490731     0.8
19490801 19490831     0.0
19490901 19490930    35.5
19491001 19491031    38.7
19491101 19491130     2.8
19491201 19491231     2.0
19500101 19500131     0.8
19500201 19500228    75.8
19500301 19500331   153.4
19500401 19500430     0.3
19500501 19500531    39.9
19500601 19500630    27.1
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031    25.5
19501101 19501130    38.6
19501201 19501231    47.3
19510101 19510131     0.0
19510201 19510228     0.0
19510301 19510331     6.9
19510401 19510430     5.7
19510501 19510531     1.0
19510601 19510630    30.6
19510701 19510731     7.6
19510801 19510831     1.3
19510901 19510930    27.2
19511001 19511031     0.0
19511101 19511130     1.6
19511201 19511231     4.9
19520101 19520131     4.6
19520201 19520229     0.5
19520301 19520331    10.1
19520401 19520430     1.6
19520501 19520531    38.8
19520601 19520630    11.2
19520701 19520731    25.4
19520801 19520831    11.9
19520901 19520930     1.0
19521001 19521031    23.1
19521101 19521130     4.7
19521201 19521231     2.3
19530101 19530131    63.0
19530201 19530228    24.7
19530301 19530331     0.0
19530401 19530430     9.9
19530501 19530531     0.5
19530601 19530630     1.5
19530701 19530731     0.0
19530801 19530831    20.5
19530901 19530930     4.6
19531001 19531031     2.9
19531101 19531130     9.4
19531201 19531231    42.6
19540101 19540131    42.0
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    21.1
19540501 19540531     0.0
19540601 19540630     6.9
19540701 19540731     1.3
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031    18.0
19541101 19541130    34.8
19541201 19541231    31.8
19550101 19550131     2.8
19550201 19550228    47.0
19550301 19550331   147.1
19550401 19550430     0.8
19550501 19550531    54.2
19550601 19550630    15.0
19550701 19550731    19.1
19550801 19550831    12.7
19550901 19550930    27.0
19551001 19551031    16.3
19551101 19551130    10.4
19551201 19551231     0.0
19560101 19560131    41.9
19560201 19560229    29.3
19560301 19560331    36.5
19560401 19560430    20.9
19560501 19560531    13.0
19560601 19560630    21.5
19560701 19560731    36.1
19560801 19560831     0.0
19560901 19560930     1.5
19561001 19561031    35.8
19561101 19561130     3.0
19561201 19561231     0.3
19570101 19570131     2.3
19570201 19570228    57.7
19570301 19570331     9.7
19570401 19570430     0.8
19570501 19570531     0.0
19570601 19570630    26.4
19570701 19570731    12.0
19570801 19570831     2.6
19570901 19570930     0.0
19571001 19571031     3.0
19571101 19571130     1.8
19571201 19571231    25.2
19580101 19580131     0.0
19580201 19580228     3.6
19580301 19580331    16.3
19580401 19580430     0.5
19580501 19580531    33.3
19580601 19580630    16.2
19580701 19580731    27.4
19580801 19580831    43.2
19580901 19580930     0.5
19581001 19581031    53.7
19581101 19581130    67.8
19581201 19581231     2.8
19590101 19590131     5.1
19590201 19590228     0.0
