PRCP       014401 19161201 20180131 missing_value=99999.9 WARRUWI                                   
19870301 19870331    38.2
19870401 19870430   263.0
19870501 19870531    47.4
19870601 19870630     0.0
19870701 19870731     2.8
19870801 19870831     0.0
19870901 19870930     0.0
19871001 19871031     0.0
19871101 19871130    30.2
19871201 19871231   364.0
19880101 19880131   141.9
19880201 19880229   143.6
19880301 19880331   358.2
19880401 19880430    30.8
19880501 19880531     1.4
19880601 19880630     0.0
19880701 19880731     0.0
19880801 19880831     0.0
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130    79.0
19881201 19881231   285.6
19890101 19890131   383.8
19890201 19890228   155.2
19890301 19890331   424.0
19890401 19890430   214.8
19890501 19890531    17.6
19890601 19890630     0.0
19890701 19890731     1.7
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031    15.4
19891101 19891130    66.0
19891201 19891231   205.6
19900101 19900131   265.6
19900201 19900228    72.0
19900301 19900331   216.8
19900401 19900430    39.6
19900501 19900531    47.0
19900601 19900630     2.8
19900701 19900731     0.0
19900801 19900831     0.2
19900901 19900930     0.0
19901001 19901031     0.0
19901101 19901130     0.4
19901201 19901231   104.8
19910101 19910131   283.7
19910201 19910228   501.8
19910301 19910331    56.4
19910401 19910430   130.8
19910501 19910531     1.0
19910601 19910630     0.6
19910701 19910731     1.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130    56.9
19911201 19911231   132.8
19920101 19920131   228.5
19920201 19920229   395.4
19920301 19920331    91.4
19920401 19920430   405.2
19920501 19920531    28.2
19920601 19920630     0.0
19920701 19920731     0.0
19920801 19920831     0.0
19920901 19920930     4.0
19921001 19921031    41.2
19921101 19921130     3.0
19921201 19921231   117.7
19930101 19930131   310.2
19930201 19930228   239.6
19930301 19930331   140.8
19930401 19930430    24.4
19930501 19930531     7.4
19930601 19930630     0.0
19930701 19930731     0.0
19930801 19930831     0.0
19930901 19930930    15.8
19931001 19931031     0.0
19931101 19931130    78.2
19931201 19931231   311.6
19940101 19940131 99999.9
19940201 19940228   294.2
19940301 19940331   182.7
19940401 19940430   105.4
19940501 19940531    25.9
19940601 19940630     0.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     0.6
19941101 19941130    18.8
19941201 19941231   229.4
19950101 19950131   245.7
19950201 19950228   234.5
19950301 19950331   307.9
19950401 19950430   213.2
19950501 19950531     0.6
19950601 19950630     0.0
19950701 19950731     0.0
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031     6.4
19951101 19951130    33.2
19951201 19951231 99999.9
19960101 19960131 99999.9
19960201 19960229    34.5
19960301 19960331   119.4
19960401 19960430   455.6
19960501 19960531    12.6
19960601 19960630     0.3
19960701 19960731     0.0
19960801 19960831     0.0
19960901 19960930     0.0
19961001 19961031    10.8
19961101 19961130    46.2
19961201 19961231   265.4
19970101 19970131   542.1
19970201 19970228   219.0
19970301 19970331   164.2
19970401 19970430    17.0
19970501 19970531     5.4
19970601 19970630     0.8
19970701 19970731     0.0
19970801 19970831     0.0
19970901 19970930     0.0
19971001 19971031    34.0
19971101 19971130     3.0
19971201 19971231   285.2
19980101 19980131   252.6
19980201 19980228   144.6
19980301 19980331   156.9
19980401 19980430   131.9
19980501 19980531     4.1
19980601 19980630     3.7
19980701 19980731     0.0
19980801 19980831     2.2
19980901 19980930     7.6
19981001 19981031     3.2
19981101 19981130    58.1
19981201 19981231   367.7
19990101 19990131   315.2
19990201 19990228   268.8
19990301 19990331   411.5
19990401 19990430   211.6
19990501 19990531     0.0
19990601 19990630     0.0
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930     0.0
19991001 19991031     2.0
19991101 19991130   161.0
19991201 19991231   343.0
20000101 20000131   194.4
20000201 20000229   336.0
20000301 20000331   265.1
20000401 20000430   145.4
20000501 20000531    37.8
20000601 20000630    30.4
20000701 20000731     0.0
20000801 20000831     1.6
20000901 20000930     0.0
20001001 20001031    49.4
20001101 20001130    54.6
20001201 20001231   513.8
20010101 20010131   141.0
20010201 20010228   261.0
20010301 20010331    61.8
20010401 20010430    41.8
20010501 20010531     1.0
20010601 20010630     2.6
20010701 20010731    18.8
20010801 20010831     0.0
20010901 20010930     0.0
20011001 20011031    11.0
20011101 20011130    53.8
20011201 20011231    57.0
20020101 20020131    52.6
20020201 20020228   174.4
20020301 20020331    92.4
20020401 20020430    80.0
20020501 20020531     6.0
20020601 20020630     0.0
20020701 20020731     0.2
20020801 20020831     0.0
20020901 20020930     1.0
20021001 20021031     0.0
20021101 20021130    23.0
20021201 20021231    60.6
20030101 20030131   210.4
20030201 20030228   203.8
20030301 20030331    94.8
20030401 20030430    16.2
20030501 20030531     0.0
20030601 20030630     1.2
20030701 20030731     0.2
20030801 20030831     0.0
20030901 20030930     0.0
20031001 20031031     0.6
20031101 20031130    44.4
20031201 20031231   159.9
20040101 20040131   164.2
20040201 20040229   301.6
20040301 20040331   498.0
20040401 20040430   108.6
20040501 20040531    86.0
20040601 20040630    11.0
20040701 20040731     0.0
20040801 20040831     0.0
20040901 20040930     0.0
20041001 20041031     1.2
20041101 20041130    36.0
20041201 20041231    64.0
20050101 20050131 99999.9
20050201 20050228   109.6
20050301 20050331   319.6
20050401 20050430 99999.9
20050501 20050531     6.0
20050601 20050630     0.2
20050701 20050731     0.0
20050801 20050831     0.6
20050901 20050930     0.0
20051001 20051031     4.6
20051101 20051130    21.2
20051201 20051231   156.8
20060101 20060131   208.4
20060201 20060228   137.6
20060301 20060331   159.2
20060401 20060430   175.0
20060501 20060531     4.0
20060601 20060630     0.0
20060701 20060731     0.0
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031     0.0
20061101 20061130     0.8
20061201 20061231    56.0
20070101 20070131   261.8
20070201 20070228   130.4
20070301 20070331   238.0
20070401 20070430    57.8
20070501 20070531     8.0
20070601 20070630     0.0
20070701 20070731     0.0
20070801 20070831     1.6
20070901 20070930     0.0
20071001 20071031     8.4
20071101 20071130    31.4
20071201 20071231   232.0
20080101 20080131    88.6
20080201 20080229   224.2
20080301 20080331   202.0
20080401 20080430    29.0
20080501 20080531     0.0
20080601 20080630     0.0
20080701 20080731     0.0
20080801 20080831     0.0
20080901 20080930     0.4
20081001 20081031     0.2
20081101 20081130    28.6
20081201 20081231   278.6
20090101 20090131   183.6
20090201 20090228   223.6
20090301 20090331    77.0
20090401 20090430    42.0
20090501 20090531     4.2
20090601 20090630    15.2
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930     0.2
20091001 20091031     0.0
20091101 20091130    19.2
20091201 20091231   251.6
20100101 20100131   398.8
20100201 20100228    82.2
20100301 20100331   111.2
20100401 20100430   109.8
20100501 20100531    28.0
20100601 20100630     0.0
20100701 20100731     0.0
20100801 20100831     2.2
20100901 20100930    10.4
20101001 20101031    79.8
20101101 20101130    81.2
20101201 20101231   244.4
20110101 20110131   161.2
20110201 20110228   540.8
20110301 20110331   371.6
20110401 20110430    97.6
20110501 20110531     0.8
20110601 20110630    13.0
20110701 20110731     0.0
20110801 20110831     0.0
20110901 20110930     0.0
20111001 20111031     2.2
20111101 20111130   116.6
20111201 20111231   559.8
20120101 20120131    84.0
20120201 20120229    58.8
20120301 20120331   181.2
20120401 20120430    16.0
20120501 20120531     1.4
20120601 20120630     0.0
20120701 20120731     0.0
20120801 20120831     0.0
20120901 20120930     0.0
20121001 20121031     0.0
