PRCP       044168 19040101 20151231 missing_value=99999.9 BAYRICK                                   
19800901 19800930     0.0
19801001 19801031    73.6
19801101 19801130    16.2
19801201 19801231    70.4
19810101 19810131    21.6
19810201 19810228    47.0
19810301 19810331    94.1
19810401 19810430    32.0
19810501 19810531    85.5
19810601 19810630    80.2
19810701 19810731    57.0
19810801 19810831     0.0
19810901 19810930     0.0
19811001 19811031    30.8
19811101 19811130   109.8
19811201 19811231     6.1
19820101 19820131    29.0
19820201 19820228    15.4
19820301 19820331   134.6
19820401 19820430     3.4
19820501 19820531    45.0
19820601 19820630     1.2
19820701 19820731     4.6
19820801 19820831     0.0
19820901 19820930     1.3
19821001 19821031     0.2
19821101 19821130     2.0
19821201 19821231    42.6
19830101 19830131    15.2
19830201 19830228    57.4
19830301 19830331    39.1
19830401 19830430    94.7
19830501 19830531   206.4
19830601 19830630    65.4
19830701 19830731    10.8
19830801 19830831    28.4
19830901 19830930    16.0
19831001 19831031     7.0
19831101 19831130   118.4
19831201 19831231    16.0
19840101 19840131   251.8
19840201 19840229    27.8
19840301 19840331    62.1
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630    55.6
19840701 19840731    30.8
19840801 19840831    18.7
19840901 19840930     3.3
19841001 19841031    22.2
19841101 19841130     3.6
19841201 19841231    40.4
19850101 19850131    63.8
19850201 19850228    23.5
19850301 19850331     1.0
19850401 19850430     0.0
19850501 19850531     0.0
19850601 19850630    55.6
19850701 19850731    30.8
19850801 19850831    18.7
19850901 19850930     6.4
19851001 19851031     8.4
19851101 19851130    67.6
19851201 19851231    46.4
19860101 19860131    22.6
19860201 19860228    82.9
19860301 19860331     0.0
19860401 19860430     4.0
19860501 19860531    31.0
19860601 19860630     1.4
19860701 19860731    50.0
19860801 19860831    50.8
19860901 19860930    15.8
19861001 19861031    26.8
19861101 19861130    44.2
19861201 19861231    20.4
19870101 19870131   156.9
19870201 19870228    64.5
19870301 19870331    34.0
19870401 19870430    28.6
19870501 19870531     1.2
19870601 19870630    75.0
19870701 19870731     4.8
19870801 19870831    26.8
19870901 19870930     3.4
19871001 19871031    43.0
19871101 19871130    49.2
19871201 19871231    23.5
19880101 19880131    33.5
19880201 19880229    21.5
19880301 19880331     8.2
19880401 19880430    30.2
19880501 19880531    31.0
19880601 19880630     5.6
19880701 19880731    70.4
19880801 19880831    37.4
19880901 19880930    16.5
19881001 19881031     4.2
19881101 19881130    12.5
19881201 19881231    37.3
19890101 19890131    14.0
19890201 19890228    68.5
19890301 19890331   216.4
19890401 19890430    73.5
19890501 19890531   101.0
19890601 19890630    46.6
19890701 19890731     9.2
19890801 19890831     1.0
19890901 19890930     0.5
19891001 19891031    48.5
19891101 19891130     6.3
19891201 19891231    54.4
19900101 19900131    11.7
19900201 19900228    48.0
19900301 19900331   212.3
19900401 19900430   366.4
19900501 19900531    67.3
19900601 19900630    10.3
19900701 19900731     5.9
19900801 19900831     5.8
19900901 19900930     4.2
19901001 19901031    29.6
19901101 19901130     5.7
19901201 19901231    12.6
19910101 19910131    97.8
19910201 19910228    91.3
19910301 19910331    21.5
19910401 19910430     0.0
19910501 19910531    12.7
19910601 19910630     0.2
19910701 19910731    34.8
19910801 19910831     0.0
19910901 19910930     0.5
19911001 19911031    25.8
19911101 19911130    11.8
19911201 19911231    31.9
19920101 19920131    37.2
19920201 19920229   104.5
19920301 19920331     7.4
19920401 19920430    20.2
19920501 19920531    47.5
19920601 19920630     0.4
19920701 19920731     3.6
19920801 19920831    27.7
19920901 19920930    33.2
19921001 19921031    20.8
19921101 19921130    25.4
19921201 19921231   114.6
19930101 19930131     9.9
19930201 19930228    13.2
19930301 19930331    12.1
19930401 19930430     9.7
19930501 19930531     2.2
19930601 19930630    21.7
19930701 19930731    89.5
19930801 19930831    48.5
19930901 19930930    41.3
19931001 19931031    14.4
19931101 19931130    43.1
19931201 19931231    97.6
19940101 19940131    15.4
19940201 19940228   180.9
19940301 19940331    54.0
19940401 19940430     4.0
19940501 19940531     0.7
19940601 19940630    20.4
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     4.0
19941001 19941031    16.9
19941101 19941130    68.5
19941201 19941231     7.0
19950101 19950131    76.4
19950201 19950228    95.8
19950301 19950331    10.0
19950401 19950430    11.0
19950501 19950531     2.0
19950601 19950630     2.7
19950701 19950731     2.7
19950801 19950831     5.0
19950901 19950930    24.3
19951001 19951031    21.6
19951101 19951130    89.6
19951201 19951231    41.4
19960101 19960131    97.2
19960201 19960229    21.9
19960301 19960331    28.4
19960401 19960430    19.0
19960501 19960531    27.7
19960601 19960630    30.5
19960701 19960731    30.6
19960801 19960831    19.9
19960901 19960930    47.8
19961001 19961031    43.8
19961101 19961130    31.0
19961201 19961231    54.4
19970101 19970131   229.2
19970201 19970228   147.8
19970301 19970331    17.4
19970401 19970430     2.6
19970501 19970531    42.2
19970601 19970630     7.0
19970701 19970731     1.2
19970801 19970831     6.2
19970901 19970930    58.6
19971001 19971031    25.8
19971101 19971130    75.4
19971201 19971231    55.8
19980101 19980131    55.6
19980201 19980228    77.4
19980301 19980331     0.0
19980401 19980430   112.8
19980501 19980531    84.4
19980601 19980630    42.8
19980701 19980731    56.2
19980801 19980831     9.2
19980901 19980930    73.8
19981001 19981031    24.6
19981101 19981130    54.0
19981201 19981231   124.4
19990101 19990131   161.6
19990201 19990228    90.4
19990301 19990331    62.6
19990401 19990430    29.6
19990501 19990531    69.6
19990601 19990630    39.8
19990701 19990731     8.8
19990801 19990831    12.8
19990901 19990930    20.4
19991001 19991031    39.0
19991101 19991130   121.6
