PRCP       078078 18830101 20180131 missing_value=99999.9 KANIVA                                    
19560501 19560531    65.3
19560601 19560630    86.4
19560701 19560731    64.2
19560801 19560831    71.1
19560901 19560930    51.4
19561001 19561031    63.0
19561101 19561130    14.0
19561201 19561231    13.5
19570101 19570131     1.5
19570201 19570228    40.0
19570301 19570331    21.9
19570401 19570430    17.3
19570501 19570531    28.7
19570601 19570630    35.3
19570701 19570731    46.1
19570801 19570831    46.3
19570901 19570930    35.6
19571001 19571031    46.3
19571101 19571130    33.4
19571201 19571231    11.3
19580101 19580131     0.0
19580201 19580228     0.8
19580301 19580331    11.0
19580401 19580430     9.1
19580501 19580531   114.9
19580601 19580630    10.0
19580701 19580731    75.1
19580801 19580831    82.1
19580901 19580930    46.1
19581001 19581031   100.5
19581101 19581130    36.1
19581201 19581231     2.6
19590101 19590131     3.1
19590201 19590228    31.3
19590301 19590331    34.0
19590401 19590430     1.6
19590501 19590531    38.2
19590601 19590630    14.3
19590701 19590731    25.0
19590801 19590831    74.1
19590901 19590930    28.8
19591001 19591031    25.5
19591101 19591130    18.8
19591201 19591231    18.8
19600101 19600131    35.1
19600201 19600229    48.1
19600301 19600331    20.4
19600401 19600430    64.7
19600501 19600531   137.8
19600601 19600630    29.5
19600701 19600731    39.6
19600801 19600831    39.0
19600901 19600930    92.0
19601001 19601031    24.6
19601101 19601130    30.0
19601201 19601231    28.8
19610101 19610131     2.3
19610201 19610228    15.0
19610301 19610331     6.8
19610401 19610430    88.0
19610501 19610531    15.0
19610601 19610630    43.2
19610701 19610731    62.6
19610801 19610831    28.6
19610901 19610930    46.3
19611001 19611031    18.1
19611101 19611130    24.9
19611201 19611231   103.4
19620101 19620131    10.2
19620201 19620228    21.8
19620301 19620331    16.8
19620401 19620430     9.1
19620501 19620531    77.6
19620601 19620630    84.3
19620701 19620731    29.5
19620801 19620831    50.4
19620901 19620930    82.5
19621001 19621031    67.0
19621101 19621130    15.8
19621201 19621231    27.9
19630101 19630131    87.1
19630201 19630228     7.6
19630301 19630331     8.9
19630401 19630430    10.4
19630501 19630531    49.0
19630601 19630630    63.4
19630701 19630731    57.5
19630801 19630831    49.3
19630901 19630930    56.9
19631001 19631031    19.0
19631101 19631130     2.1
19631201 19631231     5.8
19640101 19640131     5.0
19640201 19640229    12.5
19640301 19640331    11.4
19640401 19640430    51.8
19640501 19640531    24.1
19640601 19640630    70.3
19640701 19640731   102.4
19640801 19640831    56.0
19640901 19640930    83.9
19641001 19641031    70.1
19641101 19641130    99.4
19641201 19641231    29.3
19650101 19650131     4.1
19650201 19650228     0.0
19650301 19650331     6.4
19650401 19650430    20.4
19650501 19650531    65.5
19650601 19650630    17.6
19650701 19650731    67.9
19650801 19650831    54.6
19650901 19650930    21.8
19651001 19651031    11.4
19651101 19651130    39.1
19651201 19651231    15.5
19660101 19660131    10.3
19660201 19660228    20.4
19660301 19660331    10.1
19660401 19660430     9.6
19660501 19660531    21.8
19660601 19660630    48.0
19660701 19660731    75.6
19660801 19660831    20.4
19660901 19660930    42.2
19661001 19661031    58.5
19661101 19661130    13.6
19661201 19661231    51.5
19670101 19670131     7.1
19670201 19670228    43.4
19670301 19670331     2.6
19670401 19670430     6.3
19670501 19670531    15.5
19670601 19670630     6.4
19670701 19670731    43.3
19670801 19670831    43.6
19670901 19670930    22.0
19671001 19671031     3.8
19671101 19671130     9.5
19671201 19671231    26.0
19680101 19680131    17.8
19680201 19680229    13.9
19680301 19680331    28.9
19680401 19680430    36.5
19680501 19680531    80.1
19680601 19680630    49.9
19680701 19680731    50.6
19680801 19680831    76.1
19680901 19680930    20.9
19681001 19681031    70.4
19681101 19681130    58.2
19681201 19681231    10.5
19690101 19690131    15.8
19690201 19690228    52.2
19690301 19690331    48.8
19690401 19690430    27.0
19690501 19690531    21.0
19690601 19690630    10.9
19690701 19690731    65.0
19690801 19690831    60.2
19690901 19690930    34.5
19691001 19691031    30.0
19691101 19691130    17.3
19691201 19691231    30.8
19700101 19700131    19.8
19700201 19700228     1.3
19700301 19700331    22.8
19700401 19700430    85.6
19700501 19700531    47.3
19700601 19700630    48.0
19700701 19700731    34.3
19700801 19700831    66.6
19700901 19700930    30.1
19701001 19701031    22.6
19701101 19701130    97.3
19701201 19701231    31.6
19710101 19710131     5.4
19710201 19710228     9.4
19710301 19710331    22.0
19710401 19710430    96.2
19710501 19710531    69.9
19710601 19710630    59.3
19710701 19710731    20.8
19710801 19710831    58.3
19710901 19710930    50.3
19711001 19711031    52.9
19711101 19711130    51.8
19711201 19711231    30.3
19720101 19720131    27.0
19720201 19720229    48.7
19720301 19720331     1.3
19720401 19720430    39.2
19720501 19720531    17.6
19720601 19720630    24.6
19720701 19720731    63.6
19720801 19720831    56.5
19720901 19720930    18.8
19721001 19721031    15.5
19721101 19721130    33.6
19721201 19721231     0.3
19730101 19730131    34.6
19730201 19730228    73.4
19730301 19730331    31.3
19730401 19730430    39.9
19730501 19730531    68.6
19730601 19730630    61.6
19730701 19730731    52.2
19730801 19730831    72.0
19730901 19730930    83.8
19731001 19731031   109.8
19731101 19731130    15.8
19731201 19731231    61.7
19740101 19740131   101.0
19740201 19740228    24.0
19740301 19740331    68.8
19740401 19740430    75.4
19740501 19740531    94.2
19740601 19740630    30.0
19740701 19740731    63.4
19740801 19740831    64.8
19740901 19740930    72.2
19741001 19741031    93.4
19741101 19741130    16.2
19741201 19741231    16.0
19750101 19750131    30.6
19750201 19750228     0.6
19750301 19750331    33.7
19750401 19750430    16.0
19750501 19750531    53.2
19750601 19750630    13.0
19750701 19750731    59.2
19750801 19750831    44.2
19750901 19750930    53.0
19751001 19751031   172.4
19751101 19751130    30.4
19751201 19751231    17.8
19760101 19760131    10.8
19760201 19760229    26.0
19760301 19760331     9.2
19760401 19760430    22.6
19760501 19760531    12.8
19760601 19760630    41.2
19760701 19760731    26.6
19760801 19760831    39.6
19760901 19760930    75.8
19761001 19761031    38.4
19761101 19761130    58.6
19761201 19761231    27.4
19770101 19770131    26.8
19770201 19770228     9.4
19770301 19770331    31.4
19770401 19770430     9.6
19770501 19770531    41.8
19770601 19770630    52.0
19770701 19770731    22.0
19770801 19770831    28.2
19770901 19770930    20.2
19771001 19771031    26.2
19771101 19771130    49.6
19771201 19771231     3.6
19780101 19780131    11.4
19780201 19780228     5.8
19780301 19780331    11.2
19780401 19780430    64.4
19780501 19780531    42.4
19780601 19780630    41.6
19780701 19780731    69.4
19780801 19780831    43.0
19780901 19780930    83.0
19781001 19781031    21.0
19781101 19781130    55.8
19781201 19781231    13.8
