PRCP       020005 19110501 20160930 missing_value=99999.9 ERUDINA                                   
19750501 19750531     3.4
19750601 19750630     0.0
19750701 19750731     9.6
19750801 19750831    16.4
19750901 19750930    28.6
19751001 19751031    79.2
19751101 19751130     0.2
19751201 19751231    59.8
19760101 19760131    61.6
19760201 19760229   112.6
19760301 19760331     0.8
19760401 19760430    60.8
19760501 19760531     0.0
19760601 19760630     5.4
19760701 19760731    10.2
19760801 19760831     0.0
19760901 19760930    12.4
19761001 19761031    44.4
19761101 19761130     5.6
19761201 19761231     7.0
19770101 19770131     4.4
19770201 19770228     8.4
19770301 19770331     0.0
19770401 19770430     0.0
19770501 19770531     4.2
19770601 19770630     7.2
19770701 19770731     0.4
19770801 19770831     0.0
19770901 19770930     4.0
19771001 19771031    13.4
19771101 19771130    26.2
19771201 19771231    12.4
19780101 19780131     3.2
19780201 19780228     0.0
19780301 19780331    23.2
19780401 19780430     0.0
19780501 19780531    20.6
19780601 19780630    40.6
19780701 19780731    15.8
19780801 19780831    10.2
19780901 19780930    22.6
19781001 19781031    70.2
19781101 19781130    31.6
19781201 19781231     0.2
19790101 19790131    39.0
19790201 19790228    43.0
19790301 19790331     3.0
19790401 19790430     5.6
19790501 19790531    52.0
19790601 19790630    11.8
19790701 19790731     4.4
19790801 19790831    38.0
19790901 19790930    28.6
19791001 19791031     2.2
19791101 19791130    10.0
19791201 19791231     7.4
19800101 19800131     9.2
19800201 19800229     8.6
19800301 19800331     0.4
19800401 19800430    69.2
19800501 19800531    24.6
19800601 19800630     9.0
19800701 19800731    26.0
19800801 19800831    11.4
19800901 19800930     0.8
19801001 19801031    32.0
19801101 19801130     3.8
19801201 19801231     7.2
19810101 19810131    46.4
19810201 19810228    31.2
19810301 19810331     0.8
19810401 19810430     1.0
19810501 19810531    41.0
19810601 19810630     9.6
19810701 19810731    30.8
19810801 19810831     3.6
19810901 19810930    11.4
19811001 19811031     4.1
19811101 19811130    23.0
19811201 19811231     8.2
19820101 19820131    35.8
19820201 19820228     7.4
19820301 19820331     6.6
19820401 19820430     0.4
19820501 19820531     6.4
19820601 19820630     2.8
19820701 19820731     0.6
19820801 19820831     0.0
19820901 19820930     9.4
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231     1.0
19830101 19830131     0.8
19830201 19830228    23.8
19830301 19830331     6.8
19830401 19830430    68.8
19830501 19830531     2.0
19830601 19830630     1.4
19830701 19830731     8.4
19830801 19830831    16.6
19830901 19830930    13.8
