PRCP       056023 19121201 20180131 missing_value=99999.9 OLD KOREELAH (MCPHERSON)                  
20001201 20001231    56.0
20010101 20010131    57.6
20010201 20010228   200.0
20010301 20010331   125.4
20010401 20010430    50.2
20010501 20010531    45.8
20010601 20010630    10.8
20010701 20010731    35.4
20010801 20010831    25.4
20010901 20010930    20.2
20011001 20011031    81.2
20011101 20011130   140.8
20011201 20011231    58.0
20020101 20020131    14.8
20020201 20020228    28.2
20020301 20020331   181.6
20020401 20020430    32.6
20020501 20020531    10.4
20020601 20020630    96.2
20020701 20020731     6.2
20020801 20020831    47.4
20020901 20020930    20.2
20021001 20021031    17.2
20021101 20021130    36.4
20021201 20021231   137.0
20030101 20030131    15.8
20030201 20030228   166.4
20030301 20030331    67.6
20030401 20030430    55.8
20030501 20030531    46.8
20030601 20030630    56.2
20030701 20030731    27.2
20030801 20030831     9.6
20030901 20030930     6.4
20031001 20031031    77.4
20031101 20031130     7.4
20031201 20031231   158.6
20040101 20040131   236.2
20040201 20040229   129.0
20040301 20040331   211.2
20040401 20040430    54.2
20040501 20040531    11.8
20040601 20040630     1.6
20040701 20040731    14.8
20040801 20040831    23.0
20040901 20040930    33.2
20041001 20041031    83.2
20041101 20041130   114.8
20041201 20041231    97.6
20050101 20050131    62.6
20050201 20050228    16.0
20050301 20050331    31.2
20050401 20050430    18.4
20050501 20050531    52.6
20050601 20050630   101.4
20050701 20050731    15.0
20050801 20050831    17.6
20050901 20050930    36.6
20051001 20051031   106.0
20051101 20051130    40.6
20051201 20051231    86.0
20060101 20060131   100.6
20060201 20060228    78.0
20060301 20060331    84.2
20060401 20060430    71.2
20060501 20060531    23.2
20060601 20060630    17.4
20060701 20060731    55.6
20060801 20060831    23.8
20060901 20060930    56.4
20061001 20061031     1.8
20061101 20061130    89.2
20061201 20061231    23.6
20070101 20070131    80.2
20070201 20070228    96.8
20070301 20070331    79.6
20070401 20070430    18.4
20070501 20070531    14.4
20070601 20070630    72.8
20070701 20070731     0.0
20070801 20070831    90.0
20070901 20070930    49.0
20071001 20071031    80.2
20071101 20071130   108.8
20071201 20071231    95.6
20080101 20080131   343.2
20080201 20080229   142.4
20080301 20080331    36.4
20080401 20080430    44.8
20080501 20080531    16.2
20080601 20080630    56.6
