PRCP       029032 19090101 20171231 missing_value=99999.9 LORRAINE                                  
19910101 19910131   818.0
19910201 19910228   254.6
19910301 19910331     0.0
19910401 19910430 99999.9
19910501 19910531     0.0
19910601 19910630     5.0
19910701 19910731     0.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     3.0
19911101 19911130 99999.9
19911201 19911231    45.0
19920101 19920131    18.0
19920201 19920229   163.3
19920301 19920331    10.5
19920401 19920430     0.0
19920501 19920531     6.4
19920601 19920630     0.0
19920701 19920731     0.0
19920801 19920831     0.0
19920901 19920930     0.4
19921001 19921031     1.8
19921101 19921130     1.6
19921201 19921231     7.5
19930101 19930131    47.3
19930201 19930228   382.4
19930301 19930331    79.5
19930401 19930430     0.0
19930501 19930531     0.0
19930601 19930630     0.0
19930701 19930731    33.0
19930801 19930831     0.0
19930901 19930930     0.0
19931001 19931031    16.0
19931101 19931130    36.0
19931201 19931231    81.3
19940101 19940131    40.0
19940201 19940228    66.3
19940301 19940331    75.1
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     0.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     0.0
19941101 19941130    47.0
19941201 19941231    77.1
19950101 19950131   153.2
19950201 19950228    93.8
19950301 19950331     0.0
19950401 19950430     0.0
19950501 19950531     0.0
19950601 19950630     0.0
19950701 19950731     0.0
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031    24.5
19951101 19951130    32.1
19951201 19951231    78.2
19960101 19960131    37.4
19960201 19960229    29.0
19960301 19960331    79.2
19960401 19960430     0.0
19960501 19960531     0.0
19960601 19960630     0.0
19960701 19960731     0.0
19960801 19960831     0.0
19960901 19960930     0.0
19961001 19961031    12.0
19961101 19961130     8.0
19961201 19961231    38.9
19970101 19970131   193.6
19970201 19970228    78.6
19970301 19970331    36.7
19970401 19970430     0.0
19970501 19970531     8.0
19970601 19970630     4.5
19970701 19970731     0.0
19970801 19970831     0.0
19970901 19970930     0.0
19971001 19971031     4.0
19971101 19971130    64.7
19971201 19971231   222.4
19980101 19980131    35.7
19980201 19980228   332.5
19980301 19980331    93.8
19980401 19980430    59.8
19980501 19980531     0.0
19980601 19980630    10.0
19980701 19980731     0.0
19980801 19980831     0.0
19980901 19980930    24.7
19981001 19981031     0.0
19981101 19981130    97.4
19981201 19981231   121.8
19990101 19990131   136.1
19990201 19990228     0.0
19990301 19990331   100.0
19990401 19990430    34.1
19990501 19990531     0.0
19990601 19990630     0.0
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930     0.0
19991001 19991031     4.5
19991101 19991130    32.2
19991201 19991231   252.7
20000101 20000131    51.0
20000201 20000229   299.2
20000301 20000331    52.3
20000401 20000430    82.7
20000501 20000531    21.2
20000601 20000630    17.5
20000701 20000731     0.0
20000801 20000831     0.0
20000901 20000930     0.0
20001001 20001031    87.8
20001101 20001130   120.2
20001201 20001231   511.5
20010101 20010131   116.5
20010201 20010228   105.2
20010301 20010331    13.3
20010401 20010430     0.0
20010501 20010531     0.0
20010601 20010630     0.0
20010701 20010731     0.0
20010801 20010831     0.0
20010901 20010930     0.0
20011001 20011031    14.8
20011101 20011130    68.8
20011201 20011231   101.8
20020101 20020131   124.6
20020201 20020228    74.0
20020301 20020331    12.4
20020401 20020430    16.5
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.0
20021001 20021031     0.0
20021101 20021130    19.0
20021201 20021231    33.5
20030101 20030131   161.0
20030201 20030228   187.7
20030301 20030331    18.6
20030401 20030430     0.0
20030501 20030531     0.0
20030601 20030630     0.0
20030701 20030731     0.0
20030801 20030831     0.0
20030901 20030930     3.2
20031001 20031031     0.0
20031101 20031130    23.0
20031201 20031231    61.2
20040101 20040131   234.4
20040201 20040229   157.2
20040301 20040331     0.0
20040401 20040430     0.0
20040501 20040531     0.0
20040601 20040630     0.0
20040701 20040731     0.0
20040801 20040831     0.0
20040901 20040930     0.0
20041001 20041031     0.0
20041101 20041130    31.0
