PRCP       061000 18940601 20130531 missing_value=99999.9 ABERDEEN (MAIN RD)                        
19611201 19611231   133.9
19620101 19620131   116.7
19620201 19620228    86.0
19620301 19620331     7.6
19620401 19620430    63.3
19620501 19620531   183.4
19620601 19620630     0.8
19620701 19620731    27.8
19620801 19620831    45.1
19620901 19620930    43.3
19621001 19621031   100.5
19621101 19621130    11.2
19621201 19621231   110.1
19630101 19630131   214.8
19630201 19630228    71.4
19630301 19630331    98.0
19630401 19630430    41.6
19630501 19630531   142.2
19630601 19630630    64.1
19630701 19630731    23.1
19630801 19630831    68.5
19630901 19630930    75.3
19631001 19631031    26.4
19631101 19631130    40.2
19631201 19631231    77.0
19640101 19640131    97.2
19640201 19640229    25.2
19640301 19640331    39.8
19640401 19640430   174.8
19640501 19640531    54.4
19640601 19640630   111.2
19640701 19640731    23.4
19640801 19640831    10.6
19640901 19640930    37.4
19641001 19641031    87.7
19641101 19641130     2.3
19641201 19641231    29.2
19650101 19650131    18.8
19650201 19650228     4.1
19650301 19650331     5.1
19650401 19650430    27.1
19650501 19650531     6.1
19650601 19650630     9.5
19650701 19650731    54.8
19650801 19650831    19.5
19650901 19650930    22.1
19651001 19651031    57.6
19651101 19651130    13.9
19651201 19651231   129.1
19660101 19660131     5.3
19660201 19660228    43.4
19660301 19660331    37.4
19660401 19660430     7.4
19660501 19660531    12.2
19660601 19660630    32.3
19660701 19660731     5.3
19660801 19660831    47.3
19660901 19660930    25.7
19661001 19661031    97.6
19661101 19661130    79.3
19661201 19661231    29.3
19670101 19670131    22.0
19670201 19670228    42.4
19670301 19670331    90.7
19670401 19670430    32.1
19670501 19670531    27.3
19670601 19670630    70.8
19670701 19670731    11.8
19670801 19670831    58.5
19670901 19670930    50.1
19671001 19671031   111.3
19671101 19671130    10.1
19671201 19671231    30.0
19680101 19680131   226.5
19680201 19680229    29.2
19680301 19680331    35.3
19680401 19680430     2.5
19680501 19680531   129.7
19680601 19680630     9.7
19680701 19680731    14.5
19680801 19680831    84.7
19680901 19680930    44.7
19681001 19681031    21.3
19681101 19681130    25.2
19681201 19681231    76.0
19690101 19690131    29.9
19690201 19690228   109.3
19690301 19690331    82.8
19690401 19690430    59.7
19690501 19690531    37.4
19690601 19690630    64.7
19690701 19690731    52.6
19690801 19690831    50.4
19690901 19690930    41.3
19691001 19691031    69.4
19691101 19691130    62.3
19691201 19691231    15.7
19700101 19700131   129.9
19700201 19700228    40.3
19700301 19700331    29.5
19700401 19700430    24.2
19700501 19700531     5.6
19700601 19700630    15.5
19700701 19700731     0.0
19700801 19700831    17.1
19700901 19700930    80.6
19701001 19701031    41.9
19701101 19701130    98.0
19701201 19701231   153.0
19710101 19710131   152.3
19710201 19710228   187.5
19710301 19710331    11.6
19710401 19710430    16.8
19710501 19710531    27.7
19710601 19710630     4.9
19710701 19710731    24.7
19710801 19710831    50.0
19710901 19710930    33.6
19711001 19711031     2.0
19711101 19711130    31.8
19711201 19711231   102.9
19720101 19720131   147.8
19720201 19720229    12.4
19720301 19720331    86.4
19720401 19720430    43.1
19720501 19720531    21.2
19720601 19720630    20.9
19720701 19720731     0.0
19720801 19720831    23.4
19720901 19720930    20.1
19721001 19721031   120.8
19721101 19721130    76.7
19721201 19721231    37.0
19730101 19730131    51.3
19730201 19730228   116.1
19730301 19730331     7.1
19730401 19730430     8.6
19730501 19730531    18.0
19730601 19730630    33.6
19730701 19730731    28.0
19730801 19730831    53.8
19730901 19730930    36.3
19731001 19731031    83.5
19731101 19731130   114.1
19731201 19731231    49.2
19740101 19740131   161.3
19740201 19740228    28.0
19740301 19740331     5.3
19740401 19740430    90.6
19740501 19740531    64.4
19740601 19740630    29.6
19740701 19740731    17.8
19740801 19740831    23.7
19740901 19740930     8.6
19741001 19741031    61.0
19741101 19741130    44.4
19741201 19741231    36.0
19750101 19750131    42.9
19750201 19750228   123.7
19750301 19750331    30.8
19750401 19750430    21.8
19750501 19750531     3.8
19750601 19750630    67.6
19750701 19750731    13.0
19750801 19750831    24.8
19750901 19750930    31.2
19751001 19751031    54.8
19751101 19751130    57.6
19751201 19751231    39.0
19760101 19760131   232.0
19760201 19760229   105.6
19760301 19760331   106.6
19760401 19760430    29.1
19760501 19760531    12.2
19760601 19760630    66.8
19760701 19760731    60.6
19760801 19760831     3.4
19760901 19760930    22.6
19761001 19761031    87.8
19761101 19761130    38.4
19761201 19761231    27.8
19770101 19770131    64.6
19770201 19770228    83.6
19770301 19770331   135.2
19770401 19770430    34.0
19770501 19770531   109.8
19770601 19770630    25.0
19770701 19770731     3.7
19770801 19770831    20.0
19770901 19770930    39.0
19771001 19771031    11.8
19771101 19771130    33.7
19771201 19771231    28.0
19780101 19780131   153.1
19780201 19780228    28.2
19780301 19780331   198.0
19780401 19780430    22.6
19780501 19780531    66.9
19780601 19780630    86.3
19780701 19780731    23.6
19780801 19780831     7.6
19780901 19780930    51.0
19781001 19781031    16.6
19781101 19781130    63.3
19781201 19781231    58.2
19790101 19790131    37.0
19790201 19790228     4.0
19790301 19790331   107.6
19790401 19790430    33.6
19790501 19790531   136.1
19790601 19790630    58.4
19790701 19790731    11.3
19790801 19790831    10.4
19790901 19790930    48.0
19791001 19791031    26.4
19791101 19791130    31.2
19791201 19791231     7.4
19800101 19800131    40.0
19800201 19800229    34.6
19800301 19800331    31.8
19800401 19800430     0.0
19800501 19800531    44.2
19800601 19800630    45.6
19800701 19800731    15.2
19800801 19800831    18.4
19800901 19800930     0.0
19801001 19801031    33.4
19801101 19801130     5.6
19801201 19801231    52.6
19810101 19810131    18.0
19810201 19810228   121.3
19810301 19810331     2.2
19810401 19810430    23.0
19810501 19810531    78.3
19810601 19810630    48.0
19810701 19810731    51.7
19810801 19810831     8.8
19810901 19810930    14.6
19811001 19811031    77.2
19811101 19811130    66.7
19811201 19811231    59.0
19820101 19820131    46.0
19820201 19820228    50.0
19820301 19820331   142.7
19820401 19820430     3.4
19820501 19820531     3.2
19820601 19820630     9.0
19820701 19820731    10.4
19820801 19820831     0.0
19820901 19820930    31.8
19821001 19821031    24.4
19821101 19821130    19.8
19821201 19821231    21.1
19830101 19830131    56.8
19830201 19830228    12.4
19830301 19830331    55.8
19830401 19830430    60.3
19830501 19830531    67.8
19830601 19830630    17.5
19830701 19830731    39.8
19830801 19830831    16.0
19830901 19830930    40.6
19831001 19831031    89.8
19831101 19831130    49.8
19831201 19831231    78.4
19840101 19840131   215.2
19840201 19840229    45.2
19840301 19840331    34.4
19840401 19840430    49.8
19840501 19840531    27.2
19840601 19840630    22.5
19840701 19840731    81.4
19840801 19840831    15.2
19840901 19840930    30.0
19841001 19841031    53.6
19841101 19841130   136.6
19841201 19841231    48.4
19850101 19850131     1.4
19850201 19850228    47.2
19850301 19850331    42.2
19850401 19850430    50.2
19850501 19850531    29.8
19850601 19850630    37.6
19850701 19850731    28.0
19850801 19850831    49.2
19850901 19850930    50.8
19851001 19851031   159.7
19851101 19851130    45.0
19851201 19851231    86.3
19860101 19860131    68.2
19860201 19860228    16.8
19860301 19860331     0.0
19860401 19860430     2.0
19860501 19860531    18.4
19860601 19860630     7.2
19860701 19860731    58.9
19860801 19860831    63.4
19860901 19860930    61.2
19861001 19861031    66.4
19861101 19861130    69.8
19861201 19861231    19.2
19870101 19870131    90.6
19870201 19870228     5.0
19870301 19870331    98.0
19870401 19870430     3.4
19870501 19870531    68.0
19870601 19870630    33.2
19870701 19870731    12.4
19870801 19870831   110.6
19870901 19870930    12.2
19871001 19871031    43.6
19871101 19871130    59.0
19871201 19871231   100.0
19880101 19880131   123.6
19880201 19880229   103.0
19880301 19880331     7.0
19880401 19880430    95.0
19880501 19880531    68.7
19880601 19880630    35.0
19880701 19880731    51.4
19880801 19880831    59.0
19880901 19880930    78.0
19881001 19881031     3.0
19881101 19881130    85.8
19881201 19881231    66.2
19890101 19890131    60.8
19890201 19890228    15.0
19890301 19890331    98.2
19890401 19890430   124.2
19890501 19890531    69.4
19890601 19890630    97.0
19890701 19890731    36.8
19890801 19890831     7.6
19890901 19890930     1.5
19891001 19891031    21.4
19891101 19891130    37.6
19891201 19891231    52.3
