PRCP       012013 18970101 20180131 missing_value=99999.9 BULONG                                    
19780601 19780630    29.2
19780701 19780731    43.0
19780801 19780831    34.4
19780901 19780930    24.2
19781001 19781031     2.0
19781101 19781130     0.0
19781201 19781231     7.6
19790101 19790131     4.0
19790201 19790228    41.0
19790301 19790331     4.0
19790401 19790430    12.4
19790501 19790531    37.2
19790601 19790630    10.4
19790701 19790731     2.0
19790801 19790831    28.6
19790901 19790930    12.0
19791001 19791031     0.0
19791101 19791130    12.4
19791201 19791231     9.8
19800101 19800131    13.2
19800201 19800229    17.2
19800301 19800331     0.0
19800401 19800430     8.2
19800501 19800531    77.0
19800601 19800630    71.2
19800701 19800731    85.0
19800801 19800831     7.0
19800901 19800930     0.0
19801001 19801031     0.0
19801101 19801130    18.4
19801201 19801231     0.0
19810101 19810131    13.5
19810201 19810228    11.2
19810301 19810331     1.8
19810401 19810430     6.4
19810501 19810531    46.0
19810601 19810630    24.4
19810701 19810731    18.0
19810801 19810831    26.0
19810901 19810930     0.0
19811001 19811031     6.0
19811101 19811130    33.0
19811201 19811231    22.6
19820101 19820131    29.4
19820201 19820228     0.0
19820301 19820331    30.8
19820401 19820430     0.0
19820501 19820531    15.6
19820601 19820630    28.0
19820701 19820731     4.0
19820801 19820831    45.8
19820901 19820930    11.8
19821001 19821031    70.2
19821101 19821130    24.7
19821201 19821231    11.0
19830101 19830131     0.0
19830201 19830228     5.0
19830301 19830331     1.6
19830401 19830430     7.0
19830501 19830531     4.6
19830601 19830630    27.8
19830701 19830731    29.4
19830801 19830831    43.0
19830901 19830930    13.9
19831001 19831031    25.0
19831101 19831130     8.6
19831201 19831231    47.8
19840101 19840131     4.0
19840201 19840229     8.2
19840301 19840331    90.4
19840401 19840430    15.6
19840501 19840531    30.8
19840601 19840630     2.0
19840701 19840731    52.9
19840801 19840831    24.4
19840901 19840930    71.8
19841001 19841031    27.2
19841101 19841130     4.0
19841201 19841231     7.4
19850101 19850131     1.0
19850201 19850228    55.5
19850301 19850331     9.5
19850401 19850430     0.0
19850501 19850531    42.2
19850601 19850630     6.8
19850701 19850731    44.0
19850801 19850831    21.3
19850901 19850930    18.2
19851001 19851031     8.6
19851101 19851130    24.1
19851201 19851231     2.6
19860101 19860131     0.0
19860201 19860228     9.6
19860301 19860331    15.9
19860401 19860430     7.6
19860501 19860531   104.9
19860601 19860630    76.6
19860701 19860731    16.6
19860801 19860831    15.8
19860901 19860930    31.6
19861001 19861031    16.2
19861101 19861130     5.8
19861201 19861231    15.6
19870101 19870131   143.9
19870201 19870228     6.6
19870301 19870331     2.0
19870401 19870430     9.6
19870501 19870531    20.5
19870601 19870630    40.9
19870701 19870731    11.4
19870801 19870831    21.0
19870901 19870930     4.6
19871001 19871031     8.4
19871101 19871130    14.6
19871201 19871231    21.0
19880101 19880131     2.6
19880201 19880229    20.4
19880301 19880331     2.6
19880401 19880430    28.2
19880501 19880531    66.4
19880601 19880630    19.4
19880701 19880731    31.4
19880801 19880831    13.0
19880901 19880930     0.4
19881001 19881031     0.6
19881101 19881130     7.0
19881201 19881231    99.0
19890101 19890131     1.8
19890201 19890228     4.0
19890301 19890331     7.2
19890401 19890430    47.2
19890501 19890531    58.4
19890601 19890630    33.8
19890701 19890731     7.0
19890801 19890831     0.0
19890901 19890930     0.6
19891001 19891031     3.1
19891101 19891130     0.0
19891201 19891231     7.2
19900101 19900131    65.4
19900201 19900228     6.4
19900301 19900331    19.0
19900401 19900430    19.8
19900501 19900531    19.2
19900601 19900630    22.4
19900701 19900731    39.2
19900801 19900831    55.9
19900901 19900930     5.0
19901001 19901031    36.8
19901101 19901130     0.0
19901201 19901231    12.2
19910101 19910131     0.4
19910201 19910228     0.0
19910301 19910331     0.8
19910401 19910430    47.4
19910501 19910531    14.2
19910601 19910630    65.6
19910701 19910731    49.2
19910801 19910831     7.6
19910901 19910930     4.6
19911001 19911031     4.6
19911101 19911130     2.0
19911201 19911231    24.0
19920101 19920131     1.2
19920201 19920229    35.2
19920301 19920331   117.0
19920401 19920430    88.1
19920501 19920531    70.2
19920601 19920630    72.8
19920701 19920731     4.2
19920801 19920831    96.4
19920901 19920930    50.4
19921001 19921031    26.2
19921101 19921130    15.6
19921201 19921231    10.4
