PRCP       044002 18890301 20170731 missing_value=99999.9 AUGATHELLA POST OFFICE                    
19640401 19640430    30.2
19640501 19640531    30.5
19640601 19640630    16.7
19640701 19640731     0.0
19640801 19640831     3.0
19640901 19640930   154.2
19641001 19641031    22.7
19641101 19641130   103.2
19641201 19641231    54.7
19650101 19650131    10.4
19650201 19650228     2.6
19650301 19650331     7.9
19650401 19650430    39.2
19650501 19650531     3.6
19650601 19650630     2.8
19650701 19650731     6.3
19650801 19650831     4.6
19650901 19650930    32.0
19651001 19651031    23.8
19651101 19651130    10.4
19651201 19651231    85.4
19660101 19660131   116.0
19660201 19660228    52.6
19660301 19660331     0.8
19660401 19660430     0.3
19660501 19660531     3.3
19660601 19660630    44.4
19660701 19660731    12.2
19660801 19660831   120.3
19660901 19660930    36.8
19661001 19661031     8.9
19661101 19661130     6.7
19661201 19661231     3.3
19670101 19670131    21.0
19670201 19670228    65.7
19670301 19670331    84.9
19670401 19670430     0.0
19670501 19670531    14.0
19670601 19670630    74.8
19670701 19670731     5.3
19670801 19670831     8.9
19670901 19670930     0.0
19671001 19671031    36.1
19671101 19671130    21.4
19671201 19671231    90.2
19680101 19680131    61.5
19680201 19680229    99.1
19680301 19680331    38.0
19680401 19680430    72.9
19680501 19680531    41.1
19680601 19680630     4.1
19680701 19680731    43.7
19680801 19680831    13.7
19680901 19680930    14.0
19681001 19681031     5.8
19681101 19681130     0.0
19681201 19681231    34.3
19690101 19690131    62.6
19690201 19690228     0.0
19690301 19690331   136.0
19690401 19690430     0.0
19690501 19690531    35.3
19690601 19690630    25.9
19690701 19690731    13.7
19690801 19690831    10.2
19690901 19690930     3.0
19691001 19691031    39.6
19691101 19691130    35.3
19691201 19691231   106.7
19700101 19700131   105.4
19700201 19700228    34.3
19700301 19700331    40.9
19700401 19700430    15.0
19700501 19700531     0.0
19700601 19700630     0.8
19700701 19700731     0.0
19700801 19700831     4.1
19700901 19700930    40.9
19701001 19701031    13.7
19701101 19701130    23.7
19701201 19701231    67.1
19710101 19710131    88.6
19710201 19710228    44.9
19710301 19710331    51.5
19710401 19710430    34.0
19710501 19710531     3.3
19710601 19710630     1.3
19710701 19710731    24.9
19710801 19710831    24.6
19710901 19710930    60.2
19711001 19711031    11.8
19711101 19711130    26.1
19711201 19711231   237.2
19720101 19720131    79.6
19720201 19720229    11.7
19720301 19720331    19.8
19720401 19720430     0.5
19720501 19720531    25.1
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831    11.4
19720901 19720930     9.7
19721001 19721031    13.2
19721101 19721130    95.7
19721201 19721231    45.7
19730101 19730131    40.3
19730201 19730228   229.7
19730301 19730331    24.2
19730401 19730430    42.8
19730501 19730531     7.4
19730601 19730630     8.1
19730701 19730731    51.8
19730801 19730831    35.0
19730901 19730930   144.8
19731001 19731031    15.8
19731101 19731130    77.2
19731201 19731231    11.9
19740101 19740131   297.0
19740201 19740228     6.2
19740301 19740331    23.0
19740401 19740430    72.6
19740501 19740531    17.4
19740601 19740630     4.8
19740701 19740731     0.0
19740801 19740831    68.8
19740901 19740930    27.0
19741001 19741031    34.6
19741101 19741130    59.0
19741201 19741231    21.4
19750101 19750131    69.0
19750201 19750228    59.8
19750301 19750331   128.0
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630    34.6
19750701 19750731    30.6
19750801 19750831    21.8
19750901 19750930    35.8
19751001 19751031    61.0
19751101 19751130     2.0
19751201 19751231   141.0
19760101 19760131    97.2
19760201 19760229   151.8
19760301 19760331    46.0
19760401 19760430     0.0
19760501 19760531    35.0
19760601 19760630    17.0
19760701 19760731    25.6
19760801 19760831     0.3
19760901 19760930    75.8
