PRCP       050004 19110401 20170731 missing_value=99999.9 BOGAN GATE POST OFFICE                    
19790901 19790930    35.7
19791001 19791031    30.0
19791101 19791130     7.2
19791201 19791231     0.0
19800101 19800131    38.2
19800201 19800229    31.4
19800301 19800331    12.2
19800401 19800430    27.2
19800501 19800531    91.6
19800601 19800630    44.6
19800701 19800731    43.2
19800801 19800831     3.6
19800901 19800930     5.6
19801001 19801031    30.0
19801101 19801130    13.4
19801201 19801231    13.8
19810101 19810131    42.8
19810201 19810228   112.6
19810301 19810331     3.4
19810401 19810430    27.0
19810501 19810531    56.4
19810601 19810630    47.4
19810701 19810731    67.6
19810801 19810831    15.6
19810901 19810930    16.2
19811001 19811031    51.8
19811101 19811130    49.8
19811201 19811231    10.2
19820101 19820131    12.8
19820201 19820228    31.8
19820301 19820331   101.2
19820401 19820430     5.0
19820501 19820531     4.6
19820601 19820630    24.4
19820701 19820731     3.2
19820801 19820831     0.0
19820901 19820930    11.6
19821001 19821031     4.2
19821101 19821130     3.0
19821201 19821231     3.0
19830101 19830131    32.8
19830201 19830228    66.2
19830301 19830331    23.2
19830401 19830430    33.6
19830501 19830531    94.2
19830601 19830630    20.2
19830701 19830731    40.0
19830801 19830831    57.2
19830901 19830930    36.2
19831001 19831031    79.0
19831101 19831130   128.6
19831201 19831231    77.2
19840101 19840131   188.2
19840201 19840229    45.8
19840301 19840331    28.4
19840401 19840430    31.0
19840501 19840531     9.6
19840601 19840630     2.0
19840701 19840731    88.8
19840801 19840831    41.3
19840901 19840930    45.8
19841001 19841031    72.0
19841101 19841130    19.0
19841201 19841231     5.2
19850101 19850131    11.0
19850201 19850228     5.0
19850301 19850331    36.8
19850401 19850430    54.4
19850501 19850531    40.2
19850601 19850630    33.0
19850701 19850731     7.0
19850801 19850831    78.6
19850901 19850930    18.2
19851001 19851031    46.6
19851101 19851130    52.0
19851201 19851231    52.0
19860101 19860131    25.0
19860201 19860228     0.0
19860301 19860331     6.0
19860401 19860430    23.2
19860501 19860531    31.0
19860601 19860630     5.4
19860701 19860731    47.6
19860801 19860831    55.4
19860901 19860930    34.0
19861001 19861031    53.6
19861101 19861130    28.4
19861201 19861231    14.0
19870101 19870131    20.8
19870201 19870228    19.0
19870301 19870331   144.6
19870401 19870430     5.0
19870501 19870531    33.0
19870601 19870630    34.2
19870701 19870731    39.0
19870801 19870831    69.0
19870901 19870930    13.0
19871001 19871031    19.0
19871101 19871130    11.0
19871201 19871231    65.8
19880101 19880131     6.0
19880201 19880229    35.0
19880301 19880331     8.0
19880401 19880430    71.0
19880501 19880531    21.4
19880601 19880630    50.0
19880701 19880731    78.4
19880801 19880831    27.5
19880901 19880930   109.2
19881001 19881031    16.0
19881101 19881130    55.6
19881201 19881231   144.2
19890101 19890131    41.0
19890201 19890228     4.2
19890301 19890331    55.0
19890401 19890430   124.0
19890501 19890531    72.0
19890601 19890630    33.0
19890701 19890731    46.4
19890801 19890831    29.0
19890901 19890930     9.0
19891001 19891031    32.0
19891101 19891130    45.0
19891201 19891231    30.0
19900101 19900131    56.4
19900201 19900228    86.9
19900301 19900331     5.0
19900401 19900430   306.5
19900501 19900531    51.0
19900601 19900630    33.0
19900701 19900731    69.0
19900801 19900831    66.0
19900901 19900930    29.8
19901001 19901031    31.0
19901101 19901130    19.0
19901201 19901231    12.0
19910101 19910131    62.0
19910201 19910228     6.0
19910301 19910331    31.0
19910401 19910430    15.0
19910501 19910531    23.0
19910601 19910630    35.7
19910701 19910731    35.0
19910801 19910831    50.0
19910901 19910930    20.0
19911001 19911031    12.0
19911101 19911130    12.6
19911201 19911231    74.0
19920101 19920131    67.0
19920201 19920229   195.0
19920301 19920331     7.0
19920401 19920430    38.0
19920501 19920531     8.0
19920601 19920630    19.0
19920701 19920731    27.0
