PRCP       075050 19100101 20151031 missing_value=99999.9 NARADHAN (URALBA)                         
19830201 19830228    48.6
19830301 19830331    68.7
19830401 19830430    43.2
19830501 19830531   100.4
19830601 19830630    21.0
19830701 19830731    50.4
19830801 19830831    72.6
19830901 19830930    40.4
19831001 19831031    33.4
19831101 19831130    43.2
19831201 19831231    62.4
19840101 19840131   225.4
19840201 19840229    25.6
19840301 19840331     7.0
19840401 19840430    44.2
19840501 19840531     6.2
19840601 19840630     0.0
19840701 19840731    66.0
19840801 19840831    38.6
19840901 19840930    31.4
19841001 19841031   122.0
19841101 19841130    74.6
19841201 19841231     0.8
19850101 19850131     7.6
19850201 19850228    20.8
19850301 19850331    20.6
19850401 19850430    20.4
19850501 19850531    54.2
19850601 19850630    21.6
19850701 19850731     5.4
19850801 19850831    85.1
19850901 19850930    19.6
19851001 19851031    63.0
19851101 19851130    54.1
19851201 19851231    43.6
19860101 19860131    12.0
19860201 19860228     3.8
19860301 19860331     5.0
19860401 19860430     6.0
19860501 19860531    40.8
19860601 19860630    13.6
19860701 19860731    62.8
19860801 19860831    49.9
19860901 19860930    30.0
19861001 19861031    66.4
19861101 19861130    40.6
19861201 19861231    27.0
19870101 19870131    26.8
19870201 19870228    49.0
19870301 19870331    47.4
19870401 19870430     9.7
19870501 19870531    51.9
19870601 19870630    52.6
19870701 19870731    10.4
19870801 19870831    51.6
19870901 19870930    19.2
19871001 19871031    29.8
19871101 19871130    24.0
19871201 19871231    54.7
19880101 19880131     5.9
19880201 19880229    11.4
19880301 19880331    27.1
19880401 19880430    72.0
19880501 19880531    61.6
19880601 19880630    64.2
19880701 19880731    85.5
19880801 19880831    37.3
19880901 19880930    79.6
19881001 19881031    14.0
19881101 19881130    26.8
19881201 19881231   113.4
19890101 19890131    14.0
19890201 19890228    26.2
19890301 19890331   155.0
19890401 19890430    78.1
19890501 19890531    69.6
19890601 19890630    64.1
19890701 19890731    53.4
19890801 19890831    40.8
19890901 19890930    15.9
19891001 19891031    17.6
19891101 19891130    25.2
19891201 19891231     4.5
19900101 19900131    39.3
19900201 19900228    10.2
19900301 19900331     0.9
19900401 19900430   167.9
19900501 19900531    54.8
19900601 19900630    47.6
19900701 19900731    69.8
19900801 19900831    72.4
19900901 19900930    25.6
19901001 19901031    36.1
19901101 19901130     2.3
19901201 19901231    23.2
19910101 19910131    56.0
19910201 19910228     0.0
19910301 19910331     7.8
19910401 19910430     4.4
19910501 19910531    21.0
19910601 19910630    62.9
19910701 19910731    32.4
19910801 19910831    29.6
19910901 19910930    42.6
19911001 19911031     0.6
19911101 19911130     6.6
19911201 19911231    50.2
19920101 19920131    27.8
19920201 19920229    25.2
19920301 19920331     0.8
19920401 19920430    33.5
19920501 19920531    34.4
19920601 19920630    20.8
19920701 19920731    32.8
19920801 19920831    68.2
19920901 19920930    30.4
19921001 19921031   100.6
19921101 19921130    46.2
19921201 19921231   126.2
19930101 19930131    47.0
19930201 19930228    28.6
19930301 19930331    89.2
19930401 19930430     6.4
19930501 19930531    39.2
19930601 19930630     3.4
19930701 19930731   132.2
19930801 19930831    23.0
19930901 19930930    89.0
19931001 19931031   103.4
19931101 19931130    23.8
19931201 19931231    63.6
19940101 19940131     4.6
19940201 19940228    87.2
19940301 19940331    43.4
19940401 19940430     5.0
19940501 19940531     4.8
19940601 19940630    29.0
19940701 19940731    21.6
19940801 19940831     5.0
19940901 19940930    15.4
19941001 19941031    18.4
19941101 19941130    71.0
19941201 19941231    26.2
19950101 19950131   129.8
19950201 19950228    16.6
19950301 19950331     0.0
19950401 19950430     8.6
19950501 19950531   104.2
19950601 19950630    48.6
19950701 19950731    45.0
19950801 19950831     3.4
19950901 19950930    30.0
19951001 19951031    36.6
19951101 19951130    61.8
19951201 19951231    23.0
19960101 19960131    59.0
19960201 19960229    10.8
19960301 19960331    20.0
19960401 19960430     2.6
19960501 19960531    27.2
19960601 19960630    35.2
19960701 19960731    80.8
19960801 19960831    30.0
19960901 19960930    30.8
19961001 19961031    45.2
19961101 19961130    39.6
19961201 19961231    38.2
19970101 19970131    51.0
19970201 19970228     0.8
19970301 19970331     2.0
19970401 19970430     0.0
19970501 19970531    34.3
19970601 19970630    47.8
19970701 19970731    20.2
19970801 19970831    36.6
19970901 19970930    61.8
19971001 19971031    33.0
19971101 19971130    27.6
19971201 19971231     5.8
19980101 19980131    47.4
19980201 19980228    16.8
19980301 19980331     0.4
19980401 19980430    72.2
19980501 19980531    21.8
19980601 19980630    54.4
19980701 19980731    70.8
19980801 19980831    82.4
19980901 19980930    86.2
19981001 19981031    33.4
19981101 19981130    38.0
19981201 19981231     4.8
19990101 19990131    33.5
19990201 19990228    36.6
19990301 19990331    45.6
19990401 19990430    15.4
19990501 19990531    50.9
19990601 19990630    23.0
19990701 19990731    58.2
19990801 19990831    69.8
19990901 19990930    44.2
19991001 19991031    93.4
19991101 19991130    28.6
19991201 19991231   130.0
20000101 20000131     8.6
20000201 20000229    45.2
20000301 20000331    50.4
20000401 20000430    51.5
20000501 20000531    94.6
20000601 20000630    33.2
20000701 20000731    21.7
20000801 20000831    54.9
20000901 20000930    11.6
20001001 20001031    34.8
20001101 20001130   114.2
20001201 20001231     2.2
20010101 20010131     9.2
20010201 20010228    42.2
20010301 20010331    40.4
20010401 20010430    11.6
20010501 20010531    11.6
20010601 20010630    51.7
20010701 20010731    21.8
20010801 20010831    22.3
20010901 20010930    35.2
20011001 20011031    48.0
20011101 20011130    14.0
20011201 20011231     6.4
20020101 20020131     3.2
20020201 20020228    15.8
20020301 20020331    14.0
20020401 20020430    25.8
20020501 20020531    19.7
20020601 20020630    18.3
20020701 20020731    16.4
20020801 20020831    20.6
20020901 20020930    43.4
20021001 20021031     0.0
20021101 20021130     0.0
20021201 20021231     1.6
20030101 20030131    22.6
20030201 20030228    89.8
20030301 20030331     0.0
20030401 20030430    17.2
20030501 20030531     7.6
20030601 20030630    38.4
20030701 20030731    63.1
20030801 20030831    68.4
20030901 20030930    15.0
20031001 20031031    42.0
20031101 20031130    17.2
20031201 20031231    70.4
20040101 20040131     8.2
20040201 20040229    12.2
20040301 20040331     0.0
20040401 20040430     6.0
20040501 20040531    21.4
20040601 20040630    58.0
20040701 20040731    21.1
20040801 20040831    45.6
20040901 20040930    14.4
20041001 20041031    15.6
20041101 20041130    40.0
20041201 20041231    35.7
20050101 20050131     5.6
20050201 20050228    17.8
20050301 20050331     6.4
20050401 20050430     6.4
20050501 20050531     0.0
20050601 20050630    87.3
20050701 20050731    72.0
20050801 20050831    61.3
20050901 20050930    55.0
