PRCP       007011 19020501 20160430 missing_value=99999.9 BURNERBINMAH                              
19760601 19760630     5.2
19760701 19760731    12.3
19760801 19760831    15.0
19760901 19760930    14.0
19761001 19761031    23.5
19761101 19761130     0.0
19761201 19761231     0.0
19770101 19770131     0.0
19770201 19770228     4.0
19770301 19770331     0.0
19770401 19770430    18.0
19770501 19770531    22.6
19770601 19770630    33.6
19770701 19770731     0.4
19770801 19770831    14.8
19770901 19770930     1.4
19771001 19771031    25.0
19771101 19771130     0.0
19771201 19771231    16.1
19780101 19780131    36.5
19780201 19780228    40.1
19780301 19780331     0.0
19780401 19780430     9.5
19780501 19780531     0.0
19780601 19780630    11.2
19780701 19780731    47.0
19780801 19780831    52.2
19780901 19780930    20.3
19781001 19781031     2.2
19781101 19781130     1.4
19781201 19781231    28.6
19790101 19790131     0.0
19790201 19790228     5.6
19790301 19790331     0.0
19790401 19790430    12.5
19790501 19790531    10.6
19790601 19790630    17.4
19790701 19790731     0.0
19790801 19790831    24.4
19790901 19790930     5.0
19791001 19791031     0.0
19791101 19791130    12.4
19791201 19791231    12.8
19800101 19800131     0.0
19800201 19800229    12.0
19800301 19800331     0.0
19800401 19800430    15.0
19800501 19800531   114.8
19800601 19800630    83.6
19800701 19800731     6.6
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031     2.6
19801101 19801130     1.2
19801201 19801231     0.0
19810101 19810131     7.8
19810201 19810228    22.5
19810301 19810331     1.6
19810401 19810430     1.4
19810501 19810531    22.4
19810601 19810630    76.2
19810701 19810731    17.6
19810801 19810831    33.2
19810901 19810930     2.4
19811001 19811031     4.0
19811101 19811130     0.0
19811201 19811231    36.0
19820101 19820131    33.1
19820201 19820228     0.0
19820301 19820331    33.6
19820401 19820430     5.8
19820501 19820531    26.8
19820601 19820630    23.8
19820701 19820731     9.3
19820801 19820831     7.8
19820901 19820930    13.2
19821001 19821031    14.6
19821101 19821130    20.4
19821201 19821231    11.2
19830101 19830131     0.0
19830201 19830228     0.0
19830301 19830331     0.0
19830401 19830430     0.0
19830501 19830531     0.0
19830601 19830630    40.4
19830701 19830731    25.4
19830801 19830831    30.0
19830901 19830930    19.0
19831001 19831031     8.6
19831101 19831130    16.0
19831201 19831231    45.8
19840101 19840131     9.0
19840201 19840229    30.0
19840301 19840331    70.6
19840401 19840430    36.8
19840501 19840531    54.2
19840601 19840630    10.3
19840701 19840731    51.3
19840801 19840831    12.0
19840901 19840930    29.9
19841001 19841031    19.1
19841101 19841130     5.6
19841201 19841231    11.0
19850101 19850131     0.0
19850201 19850228    53.5
19850301 19850331     2.9
19850401 19850430    17.5
19850501 19850531    32.2
19850601 19850630    15.2
19850701 19850731    60.1
19850801 19850831    17.9
19850901 19850930     9.7
19851001 19851031     1.0
19851101 19851130     0.0
19851201 19851231     0.0
19860101 19860131    28.8
19860201 19860228    20.8
19860301 19860331    22.1
19860401 19860430     1.0
19860501 19860531    10.4
19860601 19860630    74.7
19860701 19860731    29.9
19860801 19860831    23.6
19860901 19860930     7.0
19861001 19861031    29.6
19861101 19861130     0.5
19861201 19861231     0.0
19870101 19870131     5.5
19870201 19870228    37.0
19870301 19870331    14.5
19870401 19870430     1.6
19870501 19870531    17.4
19870601 19870630    24.6
19870701 19870731    16.5
19870801 19870831    12.4
19870901 19870930     1.6
19871001 19871031     7.6
19871101 19871130    28.2
19871201 19871231    14.8
19880101 19880131     0.5
19880201 19880229     0.5
19880301 19880331     8.0
19880401 19880430    27.0
19880501 19880531    60.3
19880601 19880630    20.2
19880701 19880731    45.9
19880801 19880831    32.7
19880901 19880930     4.4
19881001 19881031     0.4
19881101 19881130    13.0
19881201 19881231    39.3
19890101 19890131    21.7
19890201 19890228    41.7
19890301 19890331     0.8
19890401 19890430    31.5
19890501 19890531    63.3
19890601 19890630    17.8
19890701 19890731    10.2
19890801 19890831     3.2
19890901 19890930     2.5
19891001 19891031     0.3
19891101 19891130     1.9
19891201 19891231     0.0
19900101 19900131    64.3
19900201 19900228    33.2
19900301 19900331    12.5
19900401 19900430    52.9
19900501 19900531    14.8
19900601 19900630    27.0
19900701 19900731    32.7
19900801 19900831    43.0
19900901 19900930     2.1
19901001 19901031     8.0
19901101 19901130     2.4
19901201 19901231     0.0
19910101 19910131    22.6
19910201 19910228     0.5
19910301 19910331    13.0
19910401 19910430     5.0
19910501 19910531    31.5
19910601 19910630    33.3
19910701 19910731    35.0
19910801 19910831     4.8
19910901 19910930     6.7
19911001 19911031     6.5
19911101 19911130    12.8
19911201 19911231     9.5
19920101 19920131     0.0
19920201 19920229     5.2
19920301 19920331   119.2
19920401 19920430   126.4
19920501 19920531    30.3
19920601 19920630    50.5
19920701 19920731     6.5
19920801 19920831    95.0
19920901 19920930    56.0
19921001 19921031    23.0
19921101 19921130    10.0
19921201 19921231    15.0
19930101 19930131     0.0
19930201 19930228     0.0
19930301 19930331     7.0
19930401 19930430    67.5
19930501 19930531    53.8
19930601 19930630    59.7
19930701 19930731    28.0
19930801 19930831    36.9
19930901 19930930    10.3
19931001 19931031     5.0
19931101 19931130    13.0
19931201 19931231    13.4
19940101 19940131     2.0
19940201 19940228    41.6
19940301 19940331     0.6
19940401 19940430     0.0
19940501 19940531    24.5
19940601 19940630    17.0
19940701 19940731    17.4
19940801 19940831    42.5
19940901 19940930     6.1
19941001 19941031     3.5
19941101 19941130     0.0
19941201 19941231    31.0
19950101 19950131    17.0
19950201 19950228   224.2
19950301 19950331     7.9
19950401 19950430    37.3
19950501 19950531    12.6
19950601 19950630    28.5
19950701 19950731    71.5
19950801 19950831     4.0
19950901 19950930     8.7
19951001 19951031     3.0
19951101 19951130     9.2
19951201 19951231    27.0
19960101 19960131     0.0
19960201 19960229    56.0
19960301 19960331     1.0
19960401 19960430    45.0
19960501 19960531     2.0
19960601 19960630    68.2
19960701 19960731   111.0
19960801 19960831    36.2
19960901 19960930    17.0
19961001 19961031     8.6
19961101 19961130    27.0
19961201 19961231    32.0
19970101 19970131     0.0
19970201 19970228    92.8
19970301 19970331    17.8
19970401 19970430    82.0
19970501 19970531    23.4
19970601 19970630    18.4
19970701 19970731    35.8
19970801 19970831    37.0
19970901 19970930    17.8
19971001 19971031    15.4
19971101 19971130     6.0
19971201 19971231     0.0
19980101 19980131     0.0
19980201 19980228     0.0
