PRCP       025004 19100101 20171231 missing_value=99999.9 GALGA                                     
19900401 19900430    15.1
19900501 19900531    15.5
19900601 19900630    36.4
19900701 19900731    57.4
19900801 19900831    43.2
19900901 19900930    24.6
19901001 19901031    18.4
19901101 19901130    13.3
19901201 19901231    14.8
19910101 19910131    10.3
19910201 19910228     0.0
19910301 19910331     9.5
19910401 19910430    14.9
19910501 19910531     5.0
19910601 19910630    64.4
19910701 19910731    47.7
19910801 19910831    27.9
19910901 19910930    17.4
19911001 19911031     0.3
19911101 19911130    24.6
19911201 19911231     0.1
19920101 19920131     3.0
19920201 19920229    10.0
19920301 19920331    18.7
19920401 19920430    67.6
19920501 19920531    54.2
19920601 19920630    24.1
19920701 19920731    19.8
19920801 19920831    75.8
19920901 19920930    76.5
19921001 19921031    57.0
19921101 19921130    61.0
19921201 19921231   104.2
19930101 19930131    21.5
19930201 19930228     1.7
19930301 19930331     7.4
19930401 19930430     2.8
19930501 19930531    23.3
19930601 19930630    15.9
19930701 19930731    41.4
19930801 19930831    24.3
19930901 19930930    50.8
19931001 19931031    41.5
19931101 19931130    38.9
19931201 19931231    27.3
19940101 19940131    18.4
19940201 19940228    17.2
19940301 19940331     0.0
19940401 19940430     0.7
19940501 19940531     3.4
19940601 19940630    66.2
19940701 19940731    13.0
19940801 19940831     4.6
19940901 19940930    11.4
19941001 19941031    19.8
19941101 19941130    26.7
19941201 19941231     5.8
19950101 19950131    40.0
19950201 19950228    20.4
19950301 19950331     4.6
19950401 19950430    34.4
19950501 19950531    25.1
19950601 19950630    53.8
19950701 19950731    44.4
19950801 19950831     8.7
19950901 19950930    22.4
19951001 19951031    76.9
19951101 19951130     4.4
19951201 19951231     7.2
19960101 19960131    28.8
19960201 19960229    13.8
19960301 19960331    55.8
19960401 19960430     5.8
19960501 19960531    16.7
19960601 19960630    54.0
19960701 19960731    41.6
19960801 19960831    44.2
19960901 19960930    55.6
19961001 19961031    15.4
19961101 19961130    12.1
19961201 19961231    10.0
19970101 19970131    21.8
19970201 19970228    32.5
19970301 19970331     0.9
19970401 19970430     1.3
19970501 19970531    40.0
19970601 19970630    10.0
19970701 19970731     4.9
19970801 19970831    38.6
19970901 19970930    56.6
19971001 19971031    33.2
19971101 19971130    19.4
19971201 19971231    27.8
19980101 19980131    19.8
19980201 19980228    27.8
19980301 19980331     5.1
19980401 19980430    41.4
19980501 19980531    17.6
19980601 19980630    36.8
19980701 19980731    27.8
19980801 19980831    32.0
19980901 19980930    21.6
19981001 19981031    29.2
19981101 19981130    57.8
19981201 19981231    13.8
19990101 19990131     6.6
19990201 19990228    21.0
19990301 19990331    33.4
19990401 19990430     1.2
19990501 19990531    27.8
19990601 19990630    10.8
19990701 19990731    40.8
19990801 19990831    42.4
19990901 19990930    28.4
19991001 19991031    66.8
19991101 19991130    29.2
19991201 19991231    22.8
20000101 20000131     2.0
20000201 20000229    72.8
20000301 20000331    27.0
20000401 20000430    52.2
20000501 20000531    24.0
20000601 20000630    30.0
20000701 20000731    21.0
20000801 20000831    19.0
20000901 20000930    38.3
20001001 20001031    19.8
20001101 20001130     5.4
20001201 20001231     8.4
20010101 20010131    37.2
20010201 20010228    13.6
20010301 20010331    14.0
20010401 20010430    10.2
20010501 20010531    23.0
20010601 20010630    21.8
20010701 20010731    36.2
20010801 20010831    31.6
20010901 20010930    58.4
20011001 20011031    55.6
20011101 20011130    37.0
20011201 20011231 99999.9
20020101 20020131 99999.9
20020201 20020228 99999.9
20020301 20020331 99999.9
20020401 20020430 99999.9
20020501 20020531 99999.9
20020601 20020630 99999.9
20020701 20020731 99999.9
20020801 20020831 99999.9
20020901 20020930 99999.9
20021001 20021031 99999.9
20021101 20021130 99999.9
20021201 20021231 99999.9
20030101 20030131 99999.9
20030201 20030228 99999.9
20030301 20030331 99999.9
20030401 20030430 99999.9
20030501 20030531 99999.9
20030601 20030630    26.5
20030701 20030731    15.2
20030801 20030831    56.5
20030901 20030930    19.0
20031001 20031031    43.1
20031101 20031130    19.0
20031201 20031231 99999.9
20040101 20040131     5.0
20040201 20040229     3.4
20040301 20040331    14.1
20040401 20040430     2.3
20040501 20040531    22.3
20040601 20040630    35.4
20040701 20040731    24.3
20040801 20040831    43.3
20040901 20040930    25.8
20041001 20041031    12.4
20041101 20041130 99999.9
20041201 20041231 99999.9
20050101 20050131 99999.9
20050201 20050228 99999.9
20050301 20050331 99999.9
20050401 20050430 99999.9
20050501 20050531 99999.9
20050601 20050630 99999.9
20050701 20050731 99999.9
20050801 20050831 99999.9
20050901 20050930 99999.9
