PRCP       031055 19080101 20180131 missing_value=99999.9 SOUTH MOSSMAN ALCHERA DVE                 
19731201 19731231   638.6
19740101 19740131   411.2
19740201 19740228   869.9
19740301 19740331   860.7
19740401 19740430   103.6
19740501 19740531    87.2
19740601 19740630    18.7
19740701 19740731     0.8
19740801 19740831    27.6
19740901 19740930    46.2
19741001 19741031    40.8
19741101 19741130    85.2
19741201 19741231   167.1
19750101 19750131   268.2
19750201 19750228   526.0
19750301 19750331   353.0
19750401 19750430   189.0
19750501 19750531    29.6
19750601 19750630    56.5
19750701 19750731    62.8
19750801 19750831    55.8
19750901 19750930   125.9
19751001 19751031   101.8
19751101 19751130    74.4
19751201 19751231   583.4
19760101 19760131   276.2
19760201 19760229   595.2
19760301 19760331   396.0
19760401 19760430   343.4
19760501 19760531    18.8
19760601 19760630    11.6
19760701 19760731    10.2
19760801 19760831    39.4
19760901 19760930     7.8
19761001 19761031    88.4
19761101 19761130   142.0
19761201 19761231   358.4
19770101 19770131   445.6
19770201 19770228   592.8
19770301 19770331   351.3
19770401 19770430   348.1
19770501 19770531   132.8
19770601 19770630    20.6
19770701 19770731    22.3
19770801 19770831    71.9
19770901 19770930    32.4
19771001 19771031    19.0
19771101 19771130    76.6
19771201 19771231   143.2
19780101 19780131   510.0
19780201 19780228   270.4
19780301 19780331   105.2
19780401 19780430   202.3
19780501 19780531   124.4
19780601 19780630    18.4
19780701 19780731     9.8
19780801 19780831    61.2
19780901 19780930    18.8
19781001 19781031   158.5
19781101 19781130   127.6
19781201 19781231   154.7
19790101 19790131  1754.2
19790201 19790228   821.0
19790301 19790331   488.6
19790401 19790430   253.4
19790501 19790531    36.7
19790601 19790630   127.2
19790701 19790731    21.1
19790801 19790831    12.2
19790901 19790930    21.4
19791001 19791031    84.6
19791101 19791130    35.4
19791201 19791231    47.6
19800101 19800131   112.4
19800201 19800229   505.0
19800301 19800331   358.1
19800401 19800430   198.2
19800501 19800531   159.7
19800601 19800630    73.0
19800701 19800731    25.2
19800801 19800831    68.2
19800901 19800930     2.6
19801001 19801031    17.1
19801101 19801130    74.8
19801201 19801231   128.1
19810101 19810131  1493.3
19810201 19810228   587.9
