PRCP       020053 19100101 20171231 missing_value=99999.9 TEPCO                                     
19860201 19860228     2.4
19860301 19860331     0.0
19860401 19860430     0.8
19860501 19860531    33.0
19860601 19860630     2.2
19860701 19860731    22.2
19860801 19860831    39.2
19860901 19860930    11.2
19861001 19861031    49.7
19861101 19861130     8.2
19861201 19861231    30.8
19870101 19870131    13.0
19870201 19870228    25.6
19870301 19870331    27.2
19870401 19870430     4.9
19870501 19870531     7.0
19870601 19870630    33.2
19870701 19870731     4.2
19870801 19870831    29.8
19870901 19870930    18.6
19871001 19871031    17.6
19871101 19871130     7.4
19871201 19871231    23.8
19880101 19880131    24.4
19880201 19880229     0.0
19880301 19880331   100.0
19880401 19880430    12.0
19880501 19880531    97.9
19880601 19880630    24.4
19880701 19880731    14.3
19880801 19880831     1.0
19880901 19880930     3.9
19881001 19881031     1.8
19881101 19881130     7.2
19881201 19881231    31.4
19890101 19890131     4.0
19890201 19890228     0.0
19890301 19890331   197.6
19890401 19890430    79.2
19890501 19890531    60.0
19890601 19890630    14.6
19890701 19890731    37.8
19890801 19890831     4.6
19890901 19890930     1.5
19891001 19891031     4.2
19891101 19891130    19.4
19891201 19891231    13.4
19900101 19900131    34.0
19900201 19900228     3.6
19900301 19900331     1.4
19900401 19900430    11.4
19900501 19900531    52.6
19900601 19900630    12.0
19900701 19900731    39.4
19900801 19900831     4.6
19900901 19900930    16.0
19901001 19901031     6.2
19901101 19901130     0.0
19901201 19901231     1.0
19910101 19910131    22.8
19910201 19910228     0.0
19910301 19910331     1.0
19910401 19910430     5.8
19910501 19910531     0.2
19910601 19910630    77.1
19910701 19910731    20.9
19910801 19910831     3.0
19910901 19910930     0.9
19911001 19911031     0.0
19911101 19911130    15.8
19911201 19911231     0.0
19920101 19920131     4.2
19920201 19920229    50.2
19920301 19920331     3.6
19920401 19920430    12.4
19920501 19920531    30.0
19920601 19920630    15.6
19920701 19920731     1.4
19920801 19920831    30.2
19920901 19920930    36.2
19921001 19921031    53.8
19921101 19921130    57.2
19921201 19921231   150.0
19930101 19930131    76.0
19930201 19930228    12.4
19930301 19930331     9.4
19930401 19930430     0.6
19930501 19930531     4.9
19930601 19930630     5.2
19930701 19930731    31.3
19930801 19930831     3.2
19930901 19930930    54.2
19931001 19931031    57.6
19931101 19931130     6.0
19931201 19931231    92.0
19940101 19940131     0.0
19940201 19940228    38.4
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630    22.1
19940701 19940731     4.2
19940801 19940831     0.0
19940901 19940930    12.2
19941001 19941031     9.6
19941101 19941130     2.2
19941201 19941231     2.2
19950101 19950131    16.9
19950201 19950228    21.0
19950301 19950331     3.2
19950401 19950430     4.1
19950501 19950531    40.1
19950601 19950630    27.2
19950701 19950731     8.4
19950801 19950831     0.4
19950901 19950930    27.8
19951001 19951031    60.6
19951101 19951130    11.8
19951201 19951231    14.4
19960101 19960131     7.0
19960201 19960229     6.4
19960301 19960331   121.6
19960401 19960430     0.0
19960501 19960531     4.0
19960601 19960630    15.9
19960701 19960731    29.6
19960801 19960831    22.5
19960901 19960930    40.4
19961001 19961031    15.6
19961101 19961130    16.6
19961201 19961231    15.8
19970101 19970131    57.0
19970201 19970228    91.8
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531    38.6
19970601 19970630     2.4
19970701 19970731     0.0
19970801 19970831    27.5
19970901 19970930    29.7
19971001 19971031    17.6
19971101 19971130    12.8
19971201 19971231     4.5
19980101 19980131    34.8
19980201 19980228    13.0
19980301 19980331     5.0
19980401 19980430     6.4
19980501 19980531     0.0
19980601 19980630     3.8
19980701 19980731    28.6
19980801 19980831     4.0
19980901 19980930    38.2
19981001 19981031     5.8
19981101 19981130    19.2
19981201 19981231     5.2
19990101 19990131     0.0
19990201 19990228    16.4
19990301 19990331    25.0
19990401 19990430     0.0
19990501 19990531     5.4
19990601 19990630    14.6
19990701 19990731    23.4
19990801 19990831     6.6
19990901 19990930    13.0
19991001 19991031    31.6
19991101 19991130    29.2
19991201 19991231    16.7
20000101 20000131     5.2
20000201 20000229    50.4
20000301 20000331     8.0
20000401 20000430    78.6
20000501 20000531     5.6
20000601 20000630     3.4
20000701 20000731    15.8
20000801 20000831    18.3
20000901 20000930    17.0
20001001 20001031    41.2
20001101 20001130    36.0
20001201 20001231    11.0
20010101 20010131     3.2
20010201 20010228    24.6
20010301 20010331     0.0
20010401 20010430     1.8
20010501 20010531     3.0
20010601 20010630    37.7
20010701 20010731    26.0
20010801 20010831     7.0
20010901 20010930    43.3
20011001 20011031    32.7
20011101 20011130     0.4
20011201 20011231     2.0
20020101 20020131     3.7
20020201 20020228     8.0
20020301 20020331     0.0
20020401 20020430    10.4
20020501 20020531     8.0
20020601 20020630     2.2
20020701 20020731     7.6
20020801 20020831     0.0
20020901 20020930     4.2
20021001 20021031     0.0
20021101 20021130    11.1
20021201 20021231    24.9
20030101 20030131     0.0
20030201 20030228    26.4
20030301 20030331     0.0
20030401 20030430     3.2
20030501 20030531    20.3
20030601 20030630     1.4
20030701 20030731    25.6
20030801 20030831    24.8
20030901 20030930     0.0
20031001 20031031    32.2
20031101 20031130    23.0
20031201 20031231    19.0
20040101 20040131     0.0
20040201 20040229     4.2
20040301 20040331     0.0
20040401 20040430     0.0
20040501 20040531     7.0
20040601 20040630    23.4
20040701 20040731     3.8
20040801 20040831    34.0
20040901 20040930     2.0
20041001 20041031    29.8
20041101 20041130    13.2
20041201 20041231    18.4
20050101 20050131    23.0
20050201 20050228     0.0
20050301 20050331     6.2
20050401 20050430     1.2
20050501 20050531     1.2
20050601 20050630    35.2
20050701 20050731    40.4
20050801 20050831     4.4
20050901 20050930    39.0
20051001 20051031    25.4
20051101 20051130    21.0
20051201 20051231     5.0
