PRCP       039037 18810101 20171130 missing_value=99999.9 FAIRYMEAD SUGAR MILL                      
19320201 19320229     3.3
19320301 19320331     0.0
19320401 19320430    58.1
19320501 19320531    61.2
19320601 19320630     0.0
19320701 19320731     5.1
19320801 19320831     0.0
19320901 19320930    20.3
19321001 19321031   202.7
19321101 19321130    17.0
19321201 19321231    16.5
19330101 19330131   178.5
19330201 19330228   111.3
19330301 19330331    14.2
19330401 19330430   177.4
19330501 19330531    37.6
19330601 19330630    53.9
19330701 19330731   116.2
19330801 19330831    33.7
19330901 19330930    24.3
19331001 19331031   117.9
19331101 19331130   146.5
19331201 19331231   229.9
19340101 19340131    50.3
19340201 19340228   517.2
19340301 19340331    40.9
19340401 19340430   254.7
19340501 19340531    23.4
19340601 19340630    58.2
19340701 19340731    42.0
19340801 19340831     0.0
19340901 19340930    18.0
19341001 19341031    96.2
19341101 19341130   265.3
19341201 19341231    98.5
19350101 19350131    64.0
19350201 19350228   105.8
19350301 19350331    24.9
19350401 19350430   173.4
19350501 19350531    72.3
19350601 19350630    18.7
19350701 19350731   140.0
19350801 19350831    16.3
19350901 19350930    65.2
19351001 19351031    33.0
19351101 19351130     0.0
19351201 19351231   282.7
19360101 19360131   133.8
19360201 19360229    40.1
19360301 19360331   183.1
19360401 19360430    27.5
19360501 19360531   107.0
19360601 19360630   120.9
19360701 19360731    15.6
19360801 19360831    15.7
19360901 19360930     1.5
19361001 19361031    27.9
19361101 19361130    76.9
19361201 19361231    75.9
19370101 19370131    71.1
19370201 19370228   158.7
19370301 19370331   302.6
19370401 19370430    18.0
19370501 19370531     9.1
19370601 19370630    21.9
19370701 19370731    25.9
19370801 19370831    43.9
19370901 19370930     1.5
19371001 19371031    52.1
19371101 19371130    71.3
19371201 19371231   101.1
19380101 19380131   241.8
19380201 19380228    49.7
19380301 19380331   223.3
19380401 19380430    66.1
19380501 19380531   278.1
19380601 19380630    50.1
19380701 19380731   102.3
19380801 19380831    33.0
19380901 19380930    11.2
19381001 19381031    74.5
19381101 19381130   124.3
19381201 19381231     6.0
19390101 19390131   238.1
19390201 19390228    64.8
19390301 19390331   246.3
19390401 19390430    91.5
19390501 19390531    14.7
19390601 19390630    95.6
19390701 19390731    35.9
19390801 19390831    85.8
19390901 19390930     0.0
19391001 19391031    56.4
19391101 19391130    79.4
19391201 19391231   231.7
19400101 19400131    33.0
19400201 19400229   207.0
19400301 19400331   154.2
19400401 19400430    32.7
19400501 19400531     7.9
19400601 19400630     3.3
19400701 19400731     6.6
19400801 19400831    32.0
19400901 19400930    18.5
19401001 19401031    19.1
19401101 19401130    49.9
19401201 19401231   210.6
19410101 19410131   219.5
19410201 19410228    92.2
19410301 19410331   186.4
19410401 19410430    85.3
19410501 19410531   177.3
19410601 19410630    71.9
19410701 19410731     0.0
19410801 19410831     7.4
19410901 19410930     0.0
19411001 19411031    22.9
19411101 19411130    39.4
19411201 19411231     5.6
19420101 19420131   240.5
19420201 19420228   212.9
19420301 19420331    92.2
19420401 19420430   169.7
19420501 19420531    60.2
19420601 19420630    20.3
19420701 19420731    38.9
19420801 19420831     0.0
19420901 19420930    55.6
19421001 19421031    23.6
19421101 19421130    53.3
19421201 19421231   184.9
19430101 19430131   342.1
19430201 19430228   224.5
19430301 19430331    23.6
19430401 19430430    70.6
19430501 19430531    58.2
19430601 19430630    27.2
19430701 19430731     0.0
19430801 19430831    26.5
19430901 19430930    73.4
19431001 19431031   257.7
19431101 19431130    68.9
19431201 19431231   107.7
19440101 19440131   207.2
19440201 19440229   225.2
19440301 19440331    67.4
19440401 19440430    11.9
19440501 19440531    57.4
19440601 19440630    27.5
19440701 19440731    61.9
19440801 19440831    55.1
19440901 19440930    28.4
19441001 19441031    17.6
19441101 19441130    44.0
19441201 19441231   103.6
19450101 19450131   161.3
19450201 19450228   132.9
19450301 19450331    30.1
19450401 19450430    12.3
19450501 19450531    71.7
19450601 19450630    27.3
