PRCP       005014 18860701 20180131 missing_value=99999.9 MOUNT FLORANCE                            
19470101 19470131    61.7
19470201 19470228   186.2
19470301 19470331    68.1
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630    12.7
19470701 19470731     0.0
19470801 19470831    16.5
19470901 19470930     0.0
19471001 19471031     0.0
19471101 19471130     0.0
19471201 19471231    21.6
19480101 19480131    55.1
19480201 19480229   188.5
19480301 19480331    15.3
19480401 19480430    86.3
19480501 19480531     0.0
19480601 19480630     2.5
19480701 19480731     0.0
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130     0.0
19481201 19481231     7.1
19490101 19490131    18.5
19490201 19490228    71.0
19490301 19490331     0.0
19490401 19490430    14.5
19490501 19490531    37.1
19490601 19490630     2.8
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031     0.0
19491101 19491130     5.1
19491201 19491231    33.2
19500101 19500131   132.9
19500201 19500228    17.3
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    47.0
19500601 19500630    42.5
19500701 19500731     5.1
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031     2.0
19501101 19501130     0.0
19501201 19501231    12.9
19510101 19510131    38.2
19510201 19510228   124.1
19510301 19510331    18.6
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630    84.6
19510701 19510731     7.6
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130     0.0
19511201 19511231     9.7
19520101 19520131   120.4
19520201 19520229    51.9
19520301 19520331    41.4
19520401 19520430     0.0
19520501 19520531    55.4
19520601 19520630     0.0
19520701 19520731    39.6
19520801 19520831    10.2
19520901 19520930     0.0
19521001 19521031     0.0
19521101 19521130     0.0
19521201 19521231     0.0
19530101 19530131    52.7
19530201 19530228     0.0
19530301 19530331    31.2
19530401 19530430    26.9
19530501 19530531    52.6
19530601 19530630     7.2
19530701 19530731     4.8
19530801 19530831     0.0
19530901 19530930     0.0
19531001 19531031     0.0
19531101 19531130     0.0
19531201 19531231    27.5
19540101 19540131   112.1
19540201 19540228     2.5
19540301 19540331     0.0
19540401 19540430    65.5
19540501 19540531    22.4
19540601 19540630     3.0
19540701 19540731    26.9
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031    41.2
19541101 19541130    52.1
19541201 19541231    33.0
19550101 19550131   182.6
19550201 19550228   134.6
19550301 19550331     2.8
19550401 19550430    39.4
19550501 19550531    88.4
19550601 19550630    48.4
19550701 19550731     3.6
19550801 19550831    33.3
19550901 19550930     6.6
19551001 19551031     0.0
19551101 19551130     8.9
19551201 19551231    12.7
19560101 19560131     4.0
19560201 19560229    58.8
19560301 19560331   201.9
19560401 19560430     3.3
19560501 19560531    14.7
19560601 19560630    14.7
19560701 19560731    16.3
19560801 19560831     0.0
19560901 19560930     8.1
19561001 19561031     0.0
19561101 19561130     0.0
19561201 19561231    29.7
19570101 19570131    74.7
19570201 19570228   108.3
19570301 19570331     0.0
19570401 19570430     1.8
19570501 19570531     0.0
19570601 19570630     9.9
19570701 19570731     6.4
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     7.1
19571101 19571130     3.3
19571201 19571231    69.1
19580101 19580131   157.7
19580201 19580228     6.1
19580301 19580331   111.0
19580401 19580430     0.0
19580501 19580531     0.0
19580601 19580630    30.7
19580701 19580731    57.8
19580801 19580831    15.0
19580901 19580930     0.0
19581001 19581031     0.0
19581101 19581130   101.0
19581201 19581231    13.2
19590101 19590131    25.5
19590201 19590228    12.9
19590301 19590331     0.0
19590401 19590430    76.2
19590501 19590531     0.0
19590601 19590630     4.8
19590701 19590731    98.3
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     0.0
19591101 19591130     0.0
19591201 19591231     5.4
19600101 19600131   148.0
19600201 19600229   125.3
19600301 19600331     0.0
19600401 19600430    18.9
19600501 19600531    40.6
19600601 19600630    13.2
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031     0.0
19601101 19601130     2.0
19601201 19601231     9.1
19610101 19610131   394.3
19610201 19610228   207.5
19610301 19610331    71.7
19610401 19610430     0.0
19610501 19610531     9.6
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130     0.0
19611201 19611231     0.0
19620101 19620131    88.5
19620201 19620228    46.0
19620301 19620331     5.1
19620401 19620430     0.0
19620501 19620531    10.2
19620601 19620630     0.0
19620701 19620731     0.0
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     0.0
19621101 19621130    21.1
19621201 19621231    35.6
19630101 19630131   127.4
19630201 19630228   186.4
19630301 19630331    33.1
19630401 19630430    46.5
19630501 19630531    77.0
19630601 19630630    26.7
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130     0.0
19631201 19631231    27.4
19640101 19640131    51.9
