PRCP       040013 19100101 20161231 missing_value=99999.9 COWAL                                     
19650401 19650430    57.1
19650501 19650531    48.0
19650601 19650630   224.7
19650701 19650731    92.0
19650801 19650831    62.8
19650901 19650930    43.4
19651001 19651031    80.3
19651101 19651130    21.1
19651201 19651231   102.6
19660101 19660131    87.3
19660201 19660228   167.9
19660301 19660331   129.1
19660401 19660430    93.9
19660501 19660531    17.3
19660601 19660630    99.6
19660701 19660731    36.2
19660801 19660831    75.4
19660901 19660930    18.2
19661001 19661031    69.8
19661101 19661130    35.7
19661201 19661231   158.5
19670101 19670131   381.7
19670201 19670228   129.2
19670301 19670331   135.9
19670401 19670430    57.3
19670501 19670531   126.3
19670601 19670630   304.3
19670701 19670731    55.0
19670801 19670831    28.0
19670901 19670930     1.8
19671001 19671031   101.6
19671101 19671130   128.9
19671201 19671231   101.5
19680101 19680131   451.5
19680201 19680229   293.4
19680301 19680331    79.2
19680401 19680430    30.2
19680501 19680531    65.0
19680601 19680630     2.1
19680701 19680731    35.0
19680801 19680831    55.4
19680901 19680930     6.6
19681001 19681031     3.1
19681101 19681130   119.3
19681201 19681231    91.7
19690101 19690131     4.9
19690201 19690228    57.1
19690301 19690331    31.5
19690401 19690430    30.3
19690501 19690531   127.0
19690601 19690630    12.9
19690701 19690731    30.3
19690801 19690831    32.3
19690901 19690930     8.6
19691001 19691031   210.5
19691101 19691130   146.1
19691201 19691231   178.2
19700101 19700131   173.8
19700201 19700228   111.3
19700301 19700331    67.5
19700401 19700430    34.7
19700501 19700531    17.5
19700601 19700630    30.3
19700701 19700731    17.1
19700801 19700831    26.4
19700901 19700930    81.1
19701001 19701031    90.5
19701101 19701130   109.2
19701201 19701231   253.9
19710101 19710131   316.3
19710201 19710228   590.4
19710301 19710331    38.4
19710401 19710430    28.5
19710501 19710531    12.1
19710601 19710630    14.2
19710701 19710731    20.3
19710801 19710831   121.9
19710901 19710930    55.7
19711001 19711031    37.9
19711101 19711130    76.7
19711201 19711231   286.3
19720101 19720131   233.0
19720201 19720229   417.4
19720301 19720331    61.5
19720401 19720430   188.5
19720501 19720531    93.3
19720601 19720630    30.5
19720701 19720731     0.6
19720801 19720831    13.5
19720901 19720930     2.3
19721001 19721031   178.9
19721101 19721130   193.6
19721201 19721231    43.3
19730101 19730131   311.5
19730201 19730228   181.7
19730301 19730331    80.6
19730401 19730430    52.7
19730501 19730531    13.0
19730601 19730630    62.5
19730701 19730731   457.6
19730801 19730831    20.4
19730901 19730930    47.1
19731001 19731031    37.4
19731101 19731130   124.6
19731201 19731231   241.7
19740101 19740131   610.9
19740201 19740228    84.0
19740301 19740331   248.8
19740401 19740430    40.2
19740501 19740531   104.8
19740601 19740630    19.8
19740701 19740731    13.6
19740801 19740831    53.2
19740901 19740930    78.0
19741001 19741031   120.2
19741101 19741130   183.7
19741201 19741231    26.6
19750101 19750131   121.6
19750201 19750228   146.0
19750301 19750331    65.2
19750401 19750430    74.6
19750501 19750531     1.4
19750601 19750630    49.6
19750701 19750731    70.4
19750801 19750831    47.0
19750901 19750930    55.2
19751001 19751031    68.6
19751101 19751130    94.2
19751201 19751231   119.8
19760101 19760131   238.4
19760201 19760229   192.6
19760301 19760331   324.0
19760401 19760430   132.6
19760501 19760531    63.0
19760601 19760630    11.4
19760701 19760731    60.2
19760801 19760831     6.2
19760901 19760930    56.4
19761001 19761031    74.6
19761101 19761130   224.2
19761201 19761231    94.8
19770101 19770131    77.6
19770201 19770228   134.4
19770301 19770331   147.2
19770401 19770430    19.0
19770501 19770531    84.2
19770601 19770630    27.2
19770701 19770731    47.6
19770801 19770831    41.0
19770901 19770930     1.6
19771001 19771031    39.2
19771101 19771130    95.4
19771201 19771231    22.4
19780101 19780131   144.4
19780201 19780228    56.0
19780301 19780331   217.8
19780401 19780430    22.6
19780501 19780531    60.2
19780601 19780630    24.8
19780701 19780731    97.0
19780801 19780831    76.6
19780901 19780930    70.0
19781001 19781031    19.8
19781101 19781130   170.4
19781201 19781231   154.0
19790101 19790131   133.4
19790201 19790228    43.0
19790301 19790331    84.4
19790401 19790430    54.0
19790501 19790531     8.2
19790601 19790630    34.8
19790701 19790731    24.8
19790801 19790831     4.4
19790901 19790930    20.0
19791001 19791031   132.2
19791101 19791130   117.6
19791201 19791231    60.6
19800101 19800131   185.6
19800201 19800229   180.6
19800301 19800331    11.6
19800401 19800430    15.4
19800501 19800531   136.0
19800601 19800630     6.2
19800701 19800731    32.6
19800801 19800831    36.0
19800901 19800930     0.0
19801001 19801031    83.6
19801101 19801130    30.4
19801201 19801231   188.4
19810101 19810131   105.8
19810201 19810228   198.6
19810301 19810331    45.4
19810401 19810430   123.8
19810501 19810531   100.0
19810601 19810630    43.0
19810701 19810731    40.0
19810801 19810831    24.6
19810901 19810930    18.2
19811001 19811031    14.8
19811101 19811130   127.0
19811201 19811231   132.2
19820101 19820131   170.8
19820201 19820228   102.0
19820301 19820331   167.4
19820401 19820430    14.2
19820501 19820531    63.8
19820601 19820630     0.0
19820701 19820731    11.0
19820801 19820831    43.2
19820901 19820930    26.0
19821001 19821031    54.0
19821101 19821130    21.8
19821201 19821231    89.0
19830101 19830131   101.2
19830201 19830228    15.6
19830301 19830331   117.6
19830401 19830430   185.6
19830501 19830531   278.8
19830601 19830630   132.4
19830701 19830731    61.2
19830801 19830831    72.6
19830901 19830930    29.4
19831001 19831031    74.0
19831101 19831130   152.0
19831201 19831231   135.4
19840101 19840131   134.0
19840201 19840229    13.0
19840301 19840331    58.4
19840401 19840430    79.2
19840501 19840531    18.6
19840601 19840630    52.6
19840701 19840731   106.2
19840801 19840831    10.6
19840901 19840930    32.6
19841001 19841031   142.6
19841101 19841130   212.0
19841201 19841231   171.4
19850101 19850131    69.2
19850201 19850228    50.0
19850301 19850331   140.8
19850401 19850430    29.8
19850501 19850531    53.2
19850601 19850630   106.2
19850701 19850731    32.0
19850801 19850831    58.2
19850901 19850930    88.4
19851001 19851031    80.0
19851101 19851130    74.2
19851201 19851231   272.0
19860101 19860131    63.0
19860201 19860228    76.2
19860301 19860331    19.4
19860401 19860430    37.4
19860501 19860531    89.2
19860601 19860630    11.0
19860701 19860731    54.2
19860801 19860831    66.4
19860901 19860930     7.0
19861001 19861031   173.4
19861101 19861130    70.8
19861201 19861231   175.8
19870101 19870131    62.2
19870201 19870228   108.2
19870301 19870331    64.0
19870401 19870430    50.8
19870501 19870531    42.2
19870601 19870630    80.0
19870701 19870731    71.6
19870801 19870831    44.2
19870901 19870930     5.6
19871001 19871031   128.6
19871101 19871130    45.2
19871201 19871231    70.4
19880101 19880131    43.4
19880201 19880229    95.0
19880301 19880331    71.8
19880401 19880430   201.0
19880501 19880531    51.6
19880601 19880630   120.2
19880701 19880731   145.0
19880801 19880831    95.4
19880901 19880930    16.4
19881001 19881031     7.0
19881101 19881130    71.0
19881201 19881231   248.4
19890101 19890131    67.0
19890201 19890228    81.4
19890301 19890331   233.2
19890401 19890430   344.2
19890501 19890531   143.0
19890601 19890630    46.4
19890701 19890731    43.0
19890801 19890831   112.6
19890901 19890930     7.8
19891001 19891031    51.4
19891101 19891130    64.8
19891201 19891231    27.2
19900101 19900131    21.0
19900201 19900228   110.8
19900301 19900331   189.8
19900401 19900430   193.2
19900501 19900531   159.2
19900601 19900630    69.8
19900701 19900731    27.6
19900801 19900831    10.0
19900901 19900930     3.8
19901001 19901031    69.6
19901101 19901130    11.2
19901201 19901231    98.8
19910101 19910131    96.8
19910201 19910228   149.4
19910301 19910331   114.8
19910401 19910430    13.0
19910501 19910531    45.8
19910601 19910630    13.8
19910701 19910731    21.0
19910801 19910831     0.2
19910901 19910930     1.0
19911001 19911031    69.8
19911101 19911130     9.6
19911201 19911231   207.6
19920101 19920131    71.0
19920201 19920229   417.4
19920301 19920331   421.0
19920401 19920430    55.6
19920501 19920531   136.6
19920601 19920630     2.6
19920701 19920731    40.8
19920801 19920831    13.8
19920901 19920930    86.1
19921001 19921031    14.8
19921101 19921130   130.4
19921201 19921231   142.2
19930101 19930131   124.4
19930201 19930228   105.4
19930301 19930331    73.6
19930401 19930430    18.2
19930501 19930531    31.6
19930601 19930630    21.0
19930701 19930731    48.4
19930801 19930831    65.6
19930901 19930930    67.4
19931001 19931031    64.2
19931101 19931130    98.6
19931201 19931231    45.4
19940101 19940131    65.0
19940201 19940228   118.0
19940301 19940331   177.4
19940401 19940430    69.0
19940501 19940531    25.2
19940601 19940630     8.2
19940701 19940731    28.8
19940801 19940831     6.0
19940901 19940930    10.0
19941001 19941031    35.8
19941101 19941130    38.8
19941201 19941231    72.4
19950101 19950131   100.0
19950201 19950228   377.0
19950301 19950331   100.6
19950401 19950430    62.8
19950501 19950531    55.8
19950601 19950630    27.8
19950701 19950731     9.8
19950801 19950831    27.0
19950901 19950930    23.0
19951001 19951031    91.2
19951101 19951130   245.4
19951201 19951231   136.8
19960101 19960131   350.6
19960201 19960229    58.8
19960301 19960331    30.4
19960401 19960430    69.0
19960501 19960531   193.2
19960601 19960630    39.8
19960701 19960731    57.2
19960801 19960831 99999.9
19960901 19960930    31.6
19961001 19961031    40.8
19961101 19961130    71.4
19961201 19961231   163.4
19970101 19970131    22.4
19970201 19970228    43.0
19970301 19970331    96.6
19970401 19970430    83.6
19970501 19970531   108.6
19970601 19970630    29.6
19970701 19970731    22.4
19970801 19970831     6.0
19970901 19970930    40.8
19971001 19971031    25.6
19971101 19971130   123.4
19971201 19971231    77.2
19980101 19980131   262.8
19980201 19980228   139.0
19980301 19980331    16.8
19980401 19980430    83.6
19980501 19980531    90.8
19980601 19980630    31.8
19980701 19980731    45.4
19980801 19980831    80.8
19980901 19980930   135.8
19981001 19981031    29.2
19981101 19981130   141.0
19981201 19981231   166.4
19990101 19990131   163.8
19990201 19990228   297.2
19990301 19990331   102.4
19990401 19990430    35.2
19990501 19990531   155.4
19990601 19990630    97.0
19990701 19990731    91.6
19990801 19990831    36.2
19990901 19990930    89.0
19991001 19991031   115.8
19991101 19991130    78.0
19991201 19991231    75.8
20000101 20000131    78.8
20000201 20000229   124.6
20000301 20000331    51.0
20000401 20000430    64.8
20000501 20000531   108.4
20000601 20000630    86.0
20000701 20000731    28.2
20000801 20000831    38.4
20000901 20000930     0.0
20001001 20001031   117.4
20001101 20001130   110.4
20001201 20001231    92.8
20010101 20010131    18.2
20010201 20010228   222.8
20010301 20010331    74.2
20010401 20010430    46.0
20010501 20010531    39.2
20010601 20010630    27.4
20010701 20010731    34.2
20010801 20010831    11.6
20010901 20010930    63.4
20011001 20011031    27.8
20011101 20011130   129.8
20011201 20011231    32.1
20020101 20020131   106.0
20020201 20020228   114.2
20020301 20020331    39.6
20020401 20020430     5.6
20020501 20020531    20.6
20020601 20020630    94.8
20020701 20020731     1.0
20020801 20020831    58.6
20020901 20020930    10.8
20021001 20021031    63.8
20021101 20021130    92.6
20021201 20021231   116.2
20030101 20030131     2.2
20030201 20030228   492.8
20030301 20030331    61.4
20030401 20030430    75.4
20030501 20030531    46.6
20030601 20030630    26.8
20030701 20030731    38.2
20030801 20030831    43.8
20030901 20030930     3.8
20031001 20031031    35.8
20031101 20031130    41.8
20031201 20031231   153.9
20040101 20040131   199.8
20040201 20040229   152.8
20040301 20040331   225.0
20040401 20040430    64.0
20040501 20040531    19.6
20040601 20040630     5.8
20040701 20040731     0.8
20040801 20040831     3.4
20040901 20040930    37.4
20041001 20041031   109.8
20041101 20041130    80.2
20041201 20041231   229.6
20050101 20050131   130.4
20050201 20050228    39.6
20050301 20050331   100.8
20050401 20050430   109.8
20050501 20050531   127.8
20050601 20050630   166.2
20050701 20050731    22.8
20050801 20050831    31.6
20050901 20050930    45.4
20051001 20051031   167.7
20051101 20051130   135.2
20051201 20051231   108.8
