PRCP       007080 19070901 20180131 missing_value=99999.9 THREE RIVERS                              
19750801 19750831     4.6
19750901 19750930     1.0
19751001 19751031   101.2
19751101 19751130    54.0
19751201 19751231   117.2
19760101 19760131    34.0
19760201 19760229    31.4
19760301 19760331    39.7
19760401 19760430    13.0
19760501 19760531     2.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831    23.3
19760901 19760930     3.6
19761001 19761031     3.9
19761101 19761130     1.5
19761201 19761231     7.8
19770101 19770131     5.6
19770201 19770228     2.4
19770301 19770331     2.4
19770401 19770430     5.8
19770501 19770531     3.6
19770601 19770630     2.5
19770701 19770731     0.9
19770801 19770831    31.5
19770901 19770930     0.1
19771001 19771031     2.8
19771101 19771130     1.2
19771201 19771231    45.3
19780101 19780131    18.4
19780201 19780228    63.1
19780301 19780331    38.7
19780401 19780430    13.9
19780501 19780531     0.0
19780601 19780630     1.4
19780701 19780731    17.2
19780801 19780831    34.8
19780901 19780930     2.6
19781001 19781031     1.8
19781101 19781130     6.4
19781201 19781231     6.6
19790101 19790131     0.4
19790201 19790228    44.8
19790301 19790331     4.0
19790401 19790430    28.3
19790501 19790531    16.2
19790601 19790630     3.5
19790701 19790731     0.0
19790801 19790831    34.7
19790901 19790930     0.0
19791001 19791031     0.0
19791101 19791130     2.8
19791201 19791231     7.6
19800101 19800131    11.4
19800201 19800229   101.0
19800301 19800331    31.1
19800401 19800430    79.1
19800501 19800531    46.6
19800601 19800630    42.4
19800701 19800731    53.0
19800801 19800831     0.8
19800901 19800930     1.2
19801001 19801031     2.6
19801101 19801130     4.0
19801201 19801231     1.8
19810101 19810131     5.4
19810201 19810228    72.2
19810301 19810331    38.2
19810401 19810430     1.4
19810501 19810531    13.8
19810601 19810630    13.0
19810701 19810731     2.6
19810801 19810831     4.0
19810901 19810930     0.4
19811001 19811031     0.0
19811101 19811130     0.0
19811201 19811231    18.3
19820101 19820131    88.1
19820201 19820228    47.8
19820301 19820331     1.8
19820401 19820430    12.8
19820501 19820531    39.8
19820601 19820630    13.8
19820701 19820731     0.0
19820801 19820831     5.5
19820901 19820930     9.8
19821001 19821031    13.2
19821101 19821130    36.2
19821201 19821231     9.2
19830101 19830131     9.8
19830201 19830228    17.6
19830301 19830331    42.0
19830401 19830430    17.5
19830501 19830531     0.0
19830601 19830630    16.2
19830701 19830731     4.6
19830801 19830831     6.0
19830901 19830930     0.6
