PRCP       078043 18970801 20171231 missing_value=99999.9 YANAC NORTH                               
19641101 19641130    79.8
19641201 19641231    22.4
19650101 19650131     0.0
19650201 19650228     4.8
19650301 19650331     8.0
19650401 19650430    12.4
19650501 19650531    40.7
19650601 19650630    15.3
19650701 19650731    52.4
19650801 19650831    43.1
19650901 19650930    17.7
19651001 19651031     7.3
19651101 19651130    24.3
19651201 19651231    18.7
19660101 19660131    17.3
19660201 19660228    12.0
19660301 19660331     7.4
19660401 19660430    10.4
19660501 19660531    10.6
19660601 19660630    34.3
19660701 19660731    51.3
19660801 19660831    16.0
19660901 19660930    57.3
19661001 19661031    42.9
19661101 19661130    14.1
19661201 19661231    38.2
19670101 19670131     3.6
19670201 19670228    26.0
19670301 19670331     1.9
19670401 19670430     1.3
19670501 19670531    18.6
19670601 19670630     9.3
19670701 19670731    34.1
19670801 19670831    30.9
19670901 19670930     8.5
19671001 19671031     3.1
19671101 19671130     3.8
19671201 19671231    17.9
19680101 19680131     9.9
19680201 19680229     7.1
19680301 19680331    22.9
19680401 19680430    16.5
19680501 19680531    56.2
19680601 19680630    51.4
19680701 19680731    28.4
19680801 19680831    58.7
19680901 19680930    17.8
19681001 19681031    55.5
19681101 19681130    46.1
19681201 19681231    15.7
19690101 19690131    10.5
19690201 19690228    37.3
19690301 19690331    53.2
19690401 19690430    20.5
19690501 19690531    19.5
19690601 19690630    19.2
19690701 19690731    56.7
19690801 19690831    46.5
19690901 19690930    26.9
19691001 19691031    19.0
19691101 19691130    14.8
19691201 19691231    32.2
19700101 19700131    33.1
19700201 19700228     2.5
19700301 19700331    30.5
19700401 19700430    94.3
19700501 19700531    23.6
19700601 19700630    21.9
19700701 19700731    24.1
19700801 19700831    57.6
19700901 19700930    32.0
19701001 19701031    13.7
19701101 19701130    76.0
19701201 19701231    34.3
19710101 19710131     4.6
19710201 19710228    19.5
19710301 19710331    14.7
19710401 19710430    80.7
19710501 19710531    50.2
19710601 19710630    53.1
19710701 19710731    19.2
19710801 19710831    40.7
19710901 19710930    46.8
19711001 19711031    41.4
19711101 19711130    45.0
19711201 19711231    24.3
19720101 19720131    28.0
19720201 19720229    32.9
19720301 19720331     2.3
19720401 19720430    31.6
19720501 19720531    11.2
19720601 19720630    15.4
19720701 19720731    34.6
19720801 19720831    48.3
19720901 19720930    26.2
19721001 19721031    14.6
19721101 19721130    38.4
19721201 19721231     0.0
19730101 19730131    68.4
19730201 19730228    94.8
19730301 19730331    25.3
19730401 19730430    48.1
19730501 19730531    59.2
19730601 19730630    51.0
19730701 19730731    66.7
19730801 19730831    56.2
19730901 19730930    58.7
19731001 19731031   188.7
19731101 19731130    19.2
19731201 19731231    28.2
19740101 19740131   181.2
19740201 19740228    24.8
19740301 19740331    45.0
19740401 19740430   100.2
19740501 19740531    78.4
19740601 19740630    36.8
19740701 19740731    58.4
19740801 19740831    67.4
19740901 19740930    50.2
19741001 19741031    75.4
19741101 19741130     3.4
19741201 19741231     3.8
19750101 19750131    28.0
19750201 19750228     3.4
19750301 19750331    27.6
19750401 19750430    11.4
19750501 19750531    48.8
19750601 19750630    19.2
19750701 19750731    46.6
19750801 19750831    28.0
19750901 19750930    39.2
19751001 19751031   133.6
19751101 19751130    30.6
19751201 19751231    19.0
19760101 19760131    16.2
19760201 19760229    17.0
19760301 19760331     7.0
19760401 19760430    14.6
19760501 19760531     7.2
19760601 19760630    23.6
19760701 19760731    24.0
19760801 19760831    27.5
19760901 19760930    48.4
19761001 19761031    31.6
19761101 19761130    61.0
19761201 19761231    32.6
19770101 19770131    17.6
19770201 19770228    18.8
19770301 19770331    25.0
19770401 19770430     6.0
19770501 19770531    44.6
19770601 19770630    34.2
19770701 19770731    21.4
19770801 19770831    16.6
19770901 19770930    15.6
19771001 19771031    31.0
19771101 19771130    25.8
19771201 19771231     7.8
19780101 19780131    25.4
19780201 19780228     1.4
19780301 19780331    12.8
19780401 19780430    30.8
19780501 19780531    40.6
