PRCP       016006 19100101 20180131 missing_value=99999.9 COMMONWEALTH HILL                         
19971001 19971031    17.6
19971101 19971130    11.2
19971201 19971231    27.6
19980101 19980131    25.4
19980201 19980228    51.2
19980301 19980331    45.2
19980401 19980430    46.0
19980501 19980531     2.0
19980601 19980630     8.4
19980701 19980731    24.2
19980801 19980831    34.8
19980901 19980930    10.6
19981001 19981031    10.6
19981101 19981130    27.8
19981201 19981231     9.4
19990101 19990131    21.6
19990201 19990228    12.0
19990301 19990331    12.4
19990401 19990430     0.0
19990501 19990531     9.0
19990601 19990630     7.0
19990701 19990731     1.0
19990801 19990831     5.6
19990901 19990930    10.4
19991001 19991031    47.6
19991101 19991130    12.2
19991201 19991231     6.6
20000101 20000131    11.0
20000201 20000229 99999.9
20000301 20000331    16.6
20000401 20000430 99999.9
20000501 20000531     3.0
20000601 20000630    10.6
20000701 20000731     7.0
20000801 20000831    12.8
20000901 20000930    12.0
20001001 20001031    22.0
20001101 20001130    46.4
20001201 20001231     7.6
20010101 20010131     9.4
20010201 20010228     0.0
20010301 20010331     4.0
20010401 20010430     0.0
20010501 20010531     8.8
20010601 20010630    50.6
20010701 20010731     0.0
20010801 20010831     9.2
20010901 20010930    21.6
20011001 20011031    15.0
20011101 20011130 99999.9
20011201 20011231 99999.9
20020101 20020131     0.6
20020201 20020228     4.2
20020301 20020331     0.0
20020401 20020430     5.6
20020501 20020531    10.0
20020601 20020630     0.0
20020701 20020731     8.0
20020801 20020831     0.8
20020901 20020930     4.6
20021001 20021031     0.0
20021101 20021130     7.0
20021201 20021231     5.0
20030101 20030131     8.2
20030201 20030228    57.2
20030301 20030331     0.0
20030401 20030430    27.0
20030501 20030531     0.0
20030601 20030630    10.6
20030701 20030731     3.4
20030801 20030831    40.4
20030901 20030930    11.4
20031001 20031031     3.8
20031101 20031130 99999.9
20031201 20031231 99999.9
20040101 20040131     0.0
20040201 20040229     5.0
20040301 20040331     8.6
20040401 20040430     0.0
20040501 20040531    21.4
20040601 20040630    61.6
20040701 20040731     4.0
20040801 20040831    11.6
20040901 20040930    25.4
20041001 20041031     5.2
20041101 20041130    10.8
20041201 20041231     4.6
20050101 20050131    19.8
20050201 20050228     0.0
20050301 20050331     0.0
20050401 20050430     3.2
20050501 20050531     1.2
20050601 20050630     8.0
20050701 20050731    10.2
20050801 20050831     6.6
