PRCP       053018 18790601 20180131 missing_value=99999.9 CROPPA CREEK (KRUI PLAINS)                
19450101 19450131    68.5
19450201 19450228    82.8
19450301 19450331     8.1
19450401 19450430    13.1
19450501 19450531    42.3
19450601 19450630   121.8
19450701 19450731    41.2
19450801 19450831    25.6
19450901 19450930     2.0
19451001 19451031     6.2
19451101 19451130    29.8
19451201 19451231    29.4
19460101 19460131   149.3
19460201 19460228    13.0
19460301 19460331    14.3
19460401 19460430    43.7
19460501 19460531     7.1
19460601 19460630     5.8
19460701 19460731     2.0
19460801 19460831     0.0
19460901 19460930    99.6
19461001 19461031     2.0
19461101 19461130    66.6
19461201 19461231    36.1
19470101 19470131    38.8
19470201 19470228   210.5
19470301 19470331    78.5
19470401 19470430    46.2
19470501 19470531    31.3
19470601 19470630    21.3
19470701 19470731    17.9
19470801 19470831    52.8
19470901 19470930    42.3
19471001 19471031    55.0
19471101 19471130    98.6
19471201 19471231    58.1
19480101 19480131    48.6
19480201 19480229    31.3
19480301 19480331    83.8
19480401 19480430    16.7
19480501 19480531    44.0
19480601 19480630   103.4
19480701 19480731    61.6
19480801 19480831    13.2
19480901 19480930    59.6
19481001 19481031    20.1
19481101 19481130    57.2
19481201 19481231    53.4
19490101 19490131    52.5
19490201 19490228   130.5
19490301 19490331    17.5
19490401 19490430    29.2
19490501 19490531     0.0
19490601 19490630    52.3
19490701 19490731    24.3
19490801 19490831    10.4
19490901 19490930    62.3
19491001 19491031   142.9
19491101 19491130    64.3
19491201 19491231    15.7
19500101 19500131    77.3
19500201 19500228   120.5
19500301 19500331    52.7
19500401 19500430    29.0
19500501 19500531    26.5
19500601 19500630   153.6
19500701 19500731   188.7
19500801 19500831     5.1
19500901 19500930    43.8
19501001 19501031   142.1
19501101 19501130   165.4
19501201 19501231    21.6
19510101 19510131   148.9
19510201 19510228    22.8
19510301 19510331    33.4
19510401 19510430     2.8
19510501 19510531    15.8
19510601 19510630    65.9
19510701 19510731     0.0
19510801 19510831    26.8
19510901 19510930    33.6
19511001 19511031    34.8
19511101 19511130    10.4
19511201 19511231     3.1
19520101 19520131    31.2
19520201 19520229   115.8
19520301 19520331    49.5
19520401 19520430    50.0
19520501 19520531    79.3
19520601 19520630    20.9
19520701 19520731    49.3
19520801 19520831    45.7
19520901 19520930    16.3
19521001 19521031   164.9
19521101 19521130    12.2
19521201 19521231    17.8
19530101 19530131    27.4
19530201 19530228   271.6
19530301 19530331    35.5
19530401 19530430    50.9
19530501 19530531    41.2
19530601 19530630     0.0
19530701 19530731    11.1
19530801 19530831    86.7
19530901 19530930     9.1
19531001 19531031    32.0
19531101 19531130    47.0
19531201 19531231     3.8
19540101 19540131    44.0
19540201 19540228   234.4
19540301 19540331     0.0
19540401 19540430     0.0
19540501 19540531    17.5
19540601 19540630    23.9
19540701 19540731    75.8
19540801 19540831    50.4
19540901 19540930    15.5
19541001 19541031   142.2
19541101 19541130   107.1
19541201 19541231    42.2
19550101 19550131   118.2
19550201 19550228   210.2
19550301 19550331    12.0
19550401 19550430    69.8
19550501 19550531    33.1
19550601 19550630    18.8
19550701 19550731    43.7
19550801 19550831    39.9
19550901 19550930    11.7
19551001 19551031    88.7
19551101 19551130    20.3
19551201 19551231    52.4
19560101 19560131   121.8
19560201 19560229   189.8
19560301 19560331    42.7
19560401 19560430    63.7
19560501 19560531   111.8
19560601 19560630    70.9
19560701 19560731    34.9
19560801 19560831     1.5
19560901 19560930    29.1
19561001 19561031    38.8
19561101 19561130    35.2
19561201 19561231    47.4
19570101 19570131    42.9
19570201 19570228    82.3
19570301 19570331    66.3
19570401 19570430    39.4
19570501 19570531     0.0
19570601 19570630    42.5
19570701 19570731     5.2
19570801 19570831     7.6
19570901 19570930     2.0
19571001 19571031    42.9
19571101 19571130    17.2
19571201 19571231    32.1
19580101 19580131    89.9
19580201 19580228    50.1
19580301 19580331   145.1
19580401 19580430    56.1
19580501 19580531     7.9
19580601 19580630    91.5
19580701 19580731     7.2
19580801 19580831    45.3
19580901 19580930    66.3
19581001 19581031    28.1
19581101 19581130    28.4
19581201 19581231    80.8
19590101 19590131   202.9
19590201 19590228   136.4
19590301 19590331    65.1
19590401 19590430     6.4
19590501 19590531    38.2
19590601 19590630     3.0
19590701 19590731    86.4
19590801 19590831     0.3
19590901 19590930    28.7
19591001 19591031    74.5
19591101 19591130   120.7
19591201 19591231    57.2
19600101 19600131    93.2
19600201 19600229    51.8
19600301 19600331    31.8
19600401 19600430    15.6
19600501 19600531    42.4
19600601 19600630    18.5
19600701 19600731    58.6
19600801 19600831    36.1
19600901 19600930    33.1
19601001 19601031    31.7
19601101 19601130    30.3
19601201 19601231    66.0
19610101 19610131    61.8
19610201 19610228    71.4
19610301 19610331    78.7
19610401 19610430    23.9
19610501 19610531    19.9
19610601 19610630    24.1
19610701 19610731    42.6
19610801 19610831    32.1
19610901 19610930     6.6
19611001 19611031    24.1
19611101 19611130   152.1
19611201 19611231    85.6
19620101 19620131   175.9
19620201 19620228    33.1
19620301 19620331   163.5
19620401 19620430    57.2
19620501 19620531    17.8
19620601 19620630     2.9
19620701 19620731    37.5
19620801 19620831    43.9
19620901 19620930    35.8
19621001 19621031    17.2
19621101 19621130    32.8
19621201 19621231   113.6
19630101 19630131   117.9
19630201 19630228    13.9
19630301 19630331   197.6
19630401 19630430     3.3
19630501 19630531   103.4
19630601 19630630    27.2
19630701 19630731     2.6
19630801 19630831    71.7
19630901 19630930    13.0
19631001 19631031     8.1
19631101 19631130   170.8
19631201 19631231   142.3
19640101 19640131    70.7
19640201 19640229    46.8
19640301 19640331    22.8
19640401 19640430    47.6
19640501 19640531    49.8
19640601 19640630     8.3
19640701 19640731    29.9
19640801 19640831    25.9
19640901 19640930    57.9
19641001 19641031    70.8
19641101 19641130    25.7
19641201 19641231    46.1
19650101 19650131    60.5
19650201 19650228     4.9
19650301 19650331     1.6
19650401 19650430     4.1
19650501 19650531     1.5
19650601 19650630     8.8
19650701 19650731    24.1
19650801 19650831    14.5
19650901 19650930    20.2
19651001 19651031    25.0
19651101 19651130     3.8
19651201 19651231   105.2
19660101 19660131    50.8
19660201 19660228    20.7
19660301 19660331    19.9
19660401 19660430    18.1
19660501 19660531     8.6
19660601 19660630    40.3
19660701 19660731    27.7
19660801 19660831   174.7
19660901 19660930    24.1
19661001 19661031    25.8
