PRCP       036007 18861201 20180131 missing_value=99999.9 BARCALDINE POST OFFICE                    
19471001 19471031    38.5
19471101 19471130    64.5
19471201 19471231    51.4
19480101 19480131    31.0
19480201 19480229    30.0
19480301 19480331    52.6
19480401 19480430     1.5
19480501 19480531     0.3
19480601 19480630    19.8
19480701 19480731    32.2
19480801 19480831     0.0
19480901 19480930     6.5
19481001 19481031    14.5
19481101 19481130    32.1
19481201 19481231    25.5
19490101 19490131    95.4
19490201 19490228    66.1
19490301 19490331   189.4
19490401 19490430     5.6
19490501 19490531     3.1
19490601 19490630     6.4
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930    13.9
19491001 19491031   139.5
19491101 19491130    36.4
19491201 19491231    49.8
19500101 19500131   109.3
19500201 19500228   134.6
19500301 19500331   189.5
19500401 19500430   159.3
19500501 19500531   114.1
19500601 19500630    49.9
19500701 19500731   165.3
19500801 19500831     1.0
19500901 19500930     8.4
19501001 19501031    66.1
19501101 19501130   143.7
19501201 19501231    50.3
19510101 19510131   184.4
19510201 19510228     0.8
19510301 19510331     6.1
19510401 19510430     0.0
19510501 19510531     1.8
19510601 19510630    36.1
19510701 19510731     0.0
19510801 19510831     5.8
19510901 19510930     6.1
19511001 19511031    44.3
19511101 19511130     9.4
19511201 19511231    19.9
19520101 19520131     4.6
19520201 19520229    37.7
19520301 19520331    99.8
19520401 19520430   118.4
19520501 19520531    97.0
19520601 19520630    12.2
19520701 19520731     4.1
19520801 19520831     1.0
19520901 19520930     4.1
19521001 19521031    37.8
19521101 19521130    12.3
19521201 19521231    43.3
19530101 19530131   104.4
19530201 19530228    51.5
19530301 19530331     0.8
19530401 19530430     0.0
19530501 19530531    18.8
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    18.5
19530901 19530930     2.5
19531001 19531031    13.2
19531101 19531130     8.4
19531201 19531231     7.6
19540101 19540131   267.1
19540201 19540228   336.3
19540301 19540331    14.0
19540401 19540430    92.2
19540501 19540531     0.8
19540601 19540630    35.5
19540701 19540731    39.4
19540801 19540831    69.6
19540901 19540930     5.3
19541001 19541031    55.0
19541101 19541130     4.1
19541201 19541231    92.4
19550101 19550131   159.3
19550201 19550228   155.9
19550301 19550331   246.7
19550401 19550430   118.2
19550501 19550531   221.7
19550601 19550630     7.1
19550701 19550731    35.1
19550801 19550831     3.3
19550901 19550930     0.0
19551001 19551031    45.7
19551101 19551130     0.8
19551201 19551231    18.3
19560101 19560131   147.4
19560201 19560229   191.7
19560301 19560331   139.4
19560401 19560430    51.6
19560501 19560531    28.7
19560601 19560630    53.3
19560701 19560731    68.3
19560801 19560831     5.3
19560901 19560930    15.2
19561001 19561031    13.9
19561101 19561130    27.4
19561201 19561231   157.2
19570101 19570131    83.1
19570201 19570228    78.5
19570301 19570331    40.5
19570401 19570430     2.9
19570501 19570531     2.8
19570601 19570630    32.8
19570701 19570731    42.1
19570801 19570831     4.1
19570901 19570930     0.0
19571001 19571031    60.5
19571101 19571130    27.7
19571201 19571231    52.1
19580101 19580131    47.1
19580201 19580228    36.3
19580301 19580331    83.6
19580401 19580430    48.0
19580501 19580531     0.0
19580601 19580630   106.8
19580701 19580731     2.5
19580801 19580831     0.0
19580901 19580930     5.1
19581001 19581031    29.2
19581101 19581130    41.9
19581201 19581231   128.9
19590101 19590131   112.9
19590201 19590228     0.0
19590301 19590331    27.7
19590401 19590430    80.9
19590501 19590531    38.9
19590601 19590630     0.0
19590701 19590731     8.6
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     8.7
19591101 19591130    10.9
19591201 19591231    64.6
19600101 19600131    23.3
19600201 19600229   188.3
19600301 19600331    48.3
19600401 19600430     7.7
19600501 19600531    77.4
19600601 19600630    14.2
19600701 19600731    28.2
19600801 19600831    14.5
19600901 19600930    24.4
19601001 19601031     7.9
19601101 19601130    27.6
19601201 19601231   108.8
19610101 19610131    30.2
19610201 19610228   173.8
19610301 19610331    17.5
19610401 19610430    26.7
19610501 19610531     0.0
