PRCP       080004 18870501 20180131 missing_value=99999.9 CANARY ISLAND                             
19540401 19540430    49.2
19540501 19540531    19.8
19540601 19540630    15.7
19540701 19540731    28.3
19540801 19540831    42.0
19540901 19540930    24.9
19541001 19541031    47.2
19541101 19541130    51.3
19541201 19541231    53.3
19550101 19550131     1.8
19550201 19550228    89.3
19550301 19550331    33.8
19550401 19550430     4.3
19550501 19550531    56.4
19550601 19550630    67.9
19550701 19550731    44.5
19550801 19550831    74.5
19550901 19550930    76.1
19551001 19551031    62.0
19551101 19551130    29.4
19551201 19551231     8.9
19560101 19560131    23.9
19560201 19560229     5.6
19560301 19560331    68.6
19560401 19560430    52.1
19560501 19560531   128.5
19560601 19560630    45.9
19560701 19560731    81.9
19560801 19560831    28.4
19560901 19560930    41.5
19561001 19561031   119.3
19561101 19561130    36.4
19561201 19561231     2.5
19570101 19570131     2.5
19570201 19570228    77.3
19570301 19570331    21.3
19570401 19570430    15.0
19570501 19570531     7.4
19570601 19570630    63.6
19570701 19570731    21.6
19570801 19570831    25.5
19570901 19570930    11.9
19571001 19571031    20.8
19571101 19571130    13.4
19571201 19571231     8.4
19580101 19580131    51.9
19580201 19580228    23.6
19580301 19580331     2.5
19580401 19580430     7.6
19580501 19580531    54.5
19580601 19580630     5.3
19580701 19580731    63.4
19580801 19580831    93.4
19580901 19580930    22.6
19581001 19581031    88.0
19581101 19581130    66.6
19581201 19581231     2.0
19590101 19590131    21.4
19590201 19590228     8.9
19590301 19590331    39.1
19590401 19590430     4.3
19590501 19590531     7.6
19590601 19590630    25.7
19590701 19590731     8.9
19590801 19590831    22.9
19590901 19590930    27.0
19591001 19591031    77.5
19591101 19591130    14.7
19591201 19591231    24.6
19600101 19600131    89.2
19600201 19600229    20.4
19600301 19600331    13.5
19600401 19600430    32.6
19600501 19600531    92.0
19600601 19600630    26.4
19600701 19600731    63.0
19600801 19600831    57.1
19600901 19600930    79.9
19601001 19601031     2.5
19601101 19601130    64.7
19601201 19601231    27.0
19610101 19610131     0.0
19610201 19610228    12.0
19610301 19610331   108.5
19610401 19610430    53.7
19610501 19610531    11.7
19610601 19610630    23.6
19610701 19610731    33.6
19610801 19610831    29.5
19610901 19610930    38.6
19611001 19611031    17.8
19611101 19611130    32.3
19611201 19611231    19.6
19620101 19620131    57.7
19620201 19620228     2.8
19620301 19620331    16.0
19620401 19620430     0.0
19620501 19620531    51.7
19620601 19620630    30.7
19620701 19620731    44.4
19620801 19620831    40.9
19620901 19620930    59.1
19621001 19621031    40.9
19621101 19621130    12.3
19621201 19621231    26.9
19630101 19630131    81.5
19630201 19630228     3.8
19630301 19630331    36.6
19630401 19630430    15.5
19630501 19630531    82.0
19630601 19630630    47.7
19630701 19630731    39.6
19630801 19630831    45.9
19630901 19630930    34.7
19631001 19631031    26.6
19631101 19631130     3.0
19631201 19631231    14.0
19640101 19640131     5.8
19640201 19640229    10.4
19640301 19640331     0.0
19640401 19640430   105.9
19640501 19640531    32.0
19640601 19640630    29.4
19640701 19640731    77.3
19640801 19640831    23.7
19640901 19640930    65.0
19641001 19641031    82.3
19641101 19641130    27.4
19641201 19641231     5.6
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     2.0
19650401 19650430     9.5
19650501 19650531    37.3
19650601 19650630    17.3
19650701 19650731    52.0
19650801 19650831    45.7
19650901 19650930    25.9
19651001 19651031    17.5
19651101 19651130    97.0
19651201 19651231    30.5
19660101 19660131    27.1
19660201 19660228    25.1
19660301 19660331    26.1
19660401 19660430     6.6
19660501 19660531    18.1
19660601 19660630     8.9
19660701 19660731    31.2
19660801 19660831    35.8
19660901 19660930    78.3
19661001 19661031    53.1
