PRCP       046042 19010101 20111231 missing_value=99999.9 WHITE CLIFFS POST OFFICE                  
19621001 19621031     6.3
19621101 19621130     2.3
19621201 19621231    91.4
19630101 19630131    44.5
19630201 19630228    19.1
19630301 19630331    17.7
19630401 19630430     5.6
19630501 19630531    35.6
19630601 19630630    26.6
19630701 19630731     6.1
19630801 19630831    26.9
19630901 19630930     1.3
19631001 19631031     0.0
19631101 19631130     7.8
19631201 19631231     3.3
19640101 19640131     0.8
19640201 19640229     0.8
19640301 19640331     0.0
19640401 19640430    40.0
19640501 19640531    14.2
19640601 19640630     1.5
19640701 19640731     7.7
19640801 19640831     3.3
19640901 19640930    41.8
19641001 19641031    12.1
19641101 19641130     0.0
19641201 19641231     5.8
19650101 19650131     2.3
19650201 19650228     2.5
19650301 19650331     3.8
19650401 19650430     0.0
19650501 19650531    11.5
19650601 19650630     6.9
19650701 19650731     1.6
19650801 19650831    14.8
19650901 19650930     7.7
19651001 19651031     8.9
19651101 19651130     2.0
19651201 19651231    43.7
19660101 19660131    21.0
19660201 19660228     2.9
19660301 19660331     3.0
19660401 19660430     1.5
19660501 19660531    10.7
19660601 19660630     0.5
19660701 19660731     3.6
19660801 19660831    14.0
19660901 19660930     6.1
19661001 19661031    19.1
19661101 19661130    30.5
19661201 19661231    23.7
19670101 19670131     4.6
19670201 19670228     4.7
19670301 19670331    64.1
19670401 19670430     0.0
19670501 19670531    17.8
19670601 19670630    13.3
19670701 19670731     0.3
19670801 19670831     1.1
19670901 19670930     0.0
19671001 19671031    14.5
19671101 19671130     3.0
19671201 19671231    12.7
19680101 19680131   104.5
19680201 19680229     3.4
19680301 19680331    50.8
19680401 19680430    31.0
19680501 19680531    34.7
19680601 19680630    27.3
19680701 19680731    20.9
19680801 19680831     8.1
19680901 19680930     7.9
19681001 19681031     9.2
19681101 19681130    26.7
19681201 19681231    38.4
19690101 19690131     1.6
19690201 19690228    41.2
19690301 19690331    61.1
19690401 19690430     8.6
19690501 19690531    10.0
19690601 19690630    12.0
19690701 19690731    15.0
19690801 19690831     0.5
19690901 19690930    25.1
19691001 19691031    33.9
19691101 19691130     9.1
19691201 19691231     9.4
19700101 19700131    15.2
19700201 19700228     0.5
19700301 19700331     0.0
19700401 19700430    75.7
19700501 19700531     5.6
19700601 19700630     0.8
19700701 19700731     1.3
19700801 19700831    12.9
19700901 19700930    26.4
19701001 19701031    28.2
19701101 19701130    38.9
19701201 19701231     3.0
19710101 19710131     3.8
19710201 19710228    94.2
19710301 19710331   252.8
19710401 19710430    20.1
19710501 19710531     5.8
19710601 19710630     9.4
19710701 19710731    28.2
19710801 19710831    21.8
19710901 19710930    16.1
19711001 19711031     0.5
19711101 19711130    47.9
19711201 19711231    27.7
19720101 19720131    56.4
19720201 19720229     0.0
19720301 19720331     0.8
19720401 19720430     3.3
19720501 19720531     2.8
19720601 19720630     4.3
19720701 19720731     1.1
19720801 19720831    28.0
19720901 19720930     4.5
19721001 19721031     3.0
19721101 19721130     0.0
19721201 19721231     4.9
19730101 19730131     9.8
19730201 19730228    87.4
19730301 19730331    14.0
19730401 19730430    57.5
19730501 19730531    12.5
19730601 19730630    36.4
19730701 19730731    21.0
19730801 19730831    50.6
19730901 19730930    11.5
19731001 19731031   120.9
19731101 19731130    23.4
19731201 19731231    91.7
19740101 19740131   265.6
19740201 19740228    64.1
19740301 19740331    13.6
19740401 19740430   109.1
19740501 19740531    52.0
19740601 19740630     9.4
19740701 19740731    25.0
19740801 19740831    49.6
19740901 19740930    13.8
19741001 19741031    78.4
19741101 19741130    31.2
19741201 19741231     9.4
19750101 19750131     0.4
19750201 19750228    52.6
19750301 19750331    57.4
19750401 19750430     1.8
19750501 19750531     0.0
19750601 19750630    21.4
19750701 19750731     4.8
19750801 19750831     8.0
19750901 19750930    67.8
19751001 19751031    58.6
19751101 19751130     4.9
19751201 19751231   143.8
19760101 19760131   265.8
19760201 19760229   235.4
19760301 19760331     4.2
19760401 19760430    21.0
19760501 19760531     0.0
19760601 19760630     3.8
19760701 19760731    34.6
19760801 19760831     0.7
19760901 19760930    20.0
19761001 19761031    57.0
19761101 19761130    13.0
19761201 19761231     0.8
19770101 19770131    10.0
19770201 19770228    38.0
19770301 19770331    12.8
19770401 19770430     0.0
19770501 19770531    47.8
19770601 19770630     0.6
19770701 19770731     0.0
19770801 19770831     2.8
19770901 19770930     9.2
19771001 19771031     3.6
19771101 19771130    35.0
19771201 19771231     1.2
19780101 19780131    28.0
19780201 19780228     2.2
19780301 19780331    33.0
19780401 19780430     0.0
19780501 19780531    55.2
19780601 19780630    59.2
19780701 19780731    27.0
19780801 19780831    30.8
19780901 19780930    50.6
19781001 19781031    27.4
19781101 19781130    35.4
19781201 19781231    11.4
19790101 19790131    49.8
19790201 19790228    23.0
19790301 19790331     0.0
19790401 19790430    24.6
19790501 19790531    35.4
19790601 19790630    54.8
19790701 19790731     0.0
19790801 19790831    32.6
19790901 19790930    42.4
19791001 19791031    14.8
19791101 19791130     4.0
19791201 19791231     0.0
19800101 19800131     3.8
19800201 19800229     0.0
19800301 19800331     0.8
19800401 19800430    59.6
19800501 19800531    12.6
19800601 19800630     8.4
19800701 19800731    26.8
19800801 19800831    34.4
19800901 19800930     0.0
19801001 19801031     7.4
19801101 19801130     1.6
19801201 19801231     7.6
19810101 19810131    36.2
19810201 19810228     0.2
19810301 19810331    44.4
19810401 19810430     3.6
19810501 19810531    91.8
19810601 19810630    28.6
19810701 19810731    84.8
19810801 19810831     5.8
19810901 19810930    19.4
19811001 19811031    18.4
19811101 19811130    12.6
19811201 19811231    11.6
19820101 19820131    13.8
19820201 19820228     3.0
19820301 19820331    68.8
19820401 19820430     2.8
19820501 19820531     9.0
19820601 19820630     2.8
19820701 19820731     6.0
19820801 19820831     0.0
19820901 19820930    11.4
19821001 19821031     2.0
19821101 19821130    10.0
19821201 19821231    10.8
19830101 19830131    10.4
19830201 19830228    21.4
19830301 19830331    26.4
19830401 19830430    25.2
19830501 19830531    52.6
19830601 19830630    16.4
19830701 19830731    15.6
19830801 19830831    17.8
19830901 19830930     3.2
19831001 19831031    31.0
19831101 19831130    26.0
19831201 19831231    21.4
19840101 19840131   202.9
19840201 19840229    24.0
19840301 19840331     6.5
19840401 19840430    14.1
19840501 19840531     0.0
19840601 19840630    10.8
19840701 19840731    42.9
19840801 19840831    25.6
19840901 19840930    15.2
19841001 19841031    30.4
19841101 19841130     6.9
19841201 19841231     0.9
19850101 19850131     4.6
19850201 19850228    13.2
19850301 19850331     3.8
19850401 19850430     1.5
19850501 19850531    14.6
19850601 19850630    14.4
19850701 19850731     0.6
19850801 19850831    76.4
19850901 19850930     0.6
19851001 19851031    28.6
19851101 19851130    28.6
19851201 19851231    15.0
19860101 19860131     2.6
19860201 19860228     7.6
19860301 19860331     0.0
19860401 19860430     5.6
19860501 19860531    25.6
19860601 19860630     0.6
19860701 19860731    22.0
19860801 19860831    14.6
19860901 19860930    15.2
19861001 19861031    48.7
19861101 19861130     2.1
19861201 19861231    11.8
19870101 19870131     7.4
19870201 19870228    22.0
19870301 19870331    62.2
19870401 19870430     1.6
19870501 19870531     6.6
19870601 19870630    65.0
19870701 19870731     1.4
19870801 19870831    53.6
19870901 19870930    11.4
19871001 19871031     5.6
19871101 19871130    27.0
19871201 19871231    90.0
19880101 19880131    19.8
19880201 19880229     4.2
19880301 19880331    47.0
19880401 19880430    51.4
19880501 19880531    28.0
19880601 19880630    17.4
19880701 19880731    35.6
19880801 19880831     8.0
19880901 19880930    32.6
19881001 19881031     7.6
19881101 19881130     6.6
19881201 19881231    55.4
19890101 19890131     2.4
19890201 19890228     4.0
19890301 19890331    73.2
19890401 19890430     0.6
19890501 19890531    80.4
19890601 19890630     3.4
19890701 19890731    18.0
19890801 19890831     8.0
19890901 19890930     0.2
19891001 19891031    28.6
19891101 19891130     7.8
19891201 19891231     4.6
19900101 19900131    21.6
19900201 19900228     4.6
19900301 19900331     5.8
19900401 19900430    77.8
19900501 19900531    28.6
19900601 19900630    16.8
19900701 19900731    27.6
19900801 19900831     7.0
19900901 19900930     8.4
19901001 19901031    21.2
19901101 19901130     0.2
19901201 19901231     2.0
19910101 19910131    53.0
19910201 19910228     0.0
19910301 19910331     1.2
19910401 19910430     1.8
19910501 19910531    46.2
19910601 19910630     9.6
19910701 19910731    25.0
19910801 19910831     2.8
19910901 19910930     7.8
19911001 19911031     0.8
19911101 19911130    12.6
19911201 19911231    14.8
19920101 19920131     2.0
19920201 19920229    42.2
