PRCP       099005 18990301 20180131 missing_value=99999.9 FLINDERS ISLAND AIRPORT                   
19701101 19701130    52.1
19701201 19701231   159.8
19710101 19710131    46.7
19710201 19710228    74.6
19710301 19710331    16.0
19710401 19710430    61.7
19710501 19710531   163.9
19710601 19710630    65.4
19710701 19710731    55.2
19710801 19710831   135.6
19710901 19710930    52.2
19711001 19711031   111.2
19711101 19711130    73.0
19711201 19711231    88.0
19720101 19720131    45.3
19720201 19720229    67.2
19720301 19720331     5.8
19720401 19720430    61.3
19720501 19720531    21.2
19720601 19720630    40.2
19720701 19720731   133.0
19720801 19720831    53.2
19720901 19720930    47.5
19721001 19721031    37.0
19721101 19721130    62.3
19721201 19721231    12.9
19730101 19730131    44.7
19730201 19730228    82.7
19730301 19730331    68.4
19730401 19730430   135.4
19730501 19730531    73.9
19730601 19730630    69.3
19730701 19730731    27.0
19730801 19730831   107.8
19730901 19730930    80.3
19731001 19731031    48.8
19731101 19731130    61.3
19731201 19731231    60.4
19740101 19740131    32.8
19740201 19740228    15.6
19740301 19740331    33.2
19740401 19740430   129.9
19740501 19740531   148.6
19740601 19740630    32.8
19740701 19740731   195.4
19740801 19740831    68.6
19740901 19740930    80.4
19741001 19741031    46.2
19741101 19741130    78.6
19741201 19741231    48.0
19750101 19750131    56.2
19750201 19750228     9.2
19750301 19750331    56.4
19750401 19750430    22.2
19750501 19750531   128.0
19750601 19750630    69.2
19750701 19750731    72.4
19750801 19750831    66.2
19750901 19750930    88.8
19751001 19751031    61.6
19751101 19751130    59.8
19751201 19751231    43.4
19760101 19760131    11.4
19760201 19760229     8.2
19760301 19760331    99.6
19760401 19760430    20.6
19760501 19760531    48.6
19760601 19760630    66.0
19760701 19760731    18.2
19760801 19760831    87.6
19760901 19760930   107.4
19761001 19761031    58.6
19761101 19761130    73.4
19761201 19761231    95.2
19770101 19770131    14.8
19770201 19770228    86.8
19770301 19770331    83.4
19770401 19770430    26.6
19770501 19770531    79.4
19770601 19770630   123.8
19770701 19770731    51.4
19770801 19770831    50.6
19770901 19770930    41.4
19771001 19771031    39.0
19771101 19771130    54.2
19771201 19771231    19.4
19780101 19780131    45.4
19780201 19780228    91.2
19780301 19780331    46.6
19780401 19780430    46.6
19780501 19780531    52.0
19780601 19780630   131.4
19780701 19780731   132.6
19780801 19780831    43.6
19780901 19780930    57.6
19781001 19781031    47.8
19781101 19781130    79.8
19781201 19781231    57.4
19790101 19790131    20.6
19790201 19790228    24.0
19790301 19790331   136.2
19790401 19790430    69.2
