PRCP       086117 18920501 20180131 missing_value=99999.9 TOOROURRONG                               
19700701 19700731    23.0
19700801 19700831    88.8
19700901 19700930    57.2
19701001 19701031    51.2
19701101 19701130    86.7
19701201 19701231   167.9
19710101 19710131    53.8
19710201 19710228    83.1
19710301 19710331    30.7
19710401 19710430    75.7
19710501 19710531    86.4
19710601 19710630    54.3
19710701 19710731    25.9
19710801 19710831    47.8
19710901 19710930    51.0
19711001 19711031    87.1
19711101 19711130   221.3
19711201 19711231   106.6
19720101 19720131    43.7
19720201 19720229   177.3
19720301 19720331    10.0
19720401 19720430    63.3
19720501 19720531    36.6
19720601 19720630    23.0
19720701 19720731    37.9
19720801 19720831    63.0
19720901 19720930    47.2
19721001 19721031    40.1
19721101 19721130    60.3
19721201 19721231     1.6
19730101 19730131    51.9
19730201 19730228   204.4
19730301 19730331    76.2
19730401 19730430    39.4
19730501 19730531    40.0
19730601 19730630    71.0
19730701 19730731    41.2
19730801 19730831   110.5
19730901 19730930    76.5
19731001 19731031   107.7
19731101 19731130    49.9
19731201 19731231    78.2
19740101 19740131    75.8
19740201 19740228    43.8
19740301 19740331    46.2
19740401 19740430   189.2
19740501 19740531   176.4
19740601 19740630    26.8
19740701 19740731   101.8
19740801 19740831    78.6
19740901 19740930    91.0
19741001 19741031   121.4
19741101 19741130   121.6
19741201 19741231    34.4
19750101 19750131    31.0
19750201 19750228    18.8
19750301 19750331    54.8
19750401 19750430    46.8
19750501 19750531    40.8
19750601 19750630    53.2
19750701 19750731    40.7
19750801 19750831   123.8
19750901 19750930   144.0
19751001 19751031   189.0
19751101 19751130    43.8
19751201 19751231    64.2
19760101 19760131    30.6
19760201 19760229    15.8
19760301 19760331    29.8
19760401 19760430    30.4
19760501 19760531    19.4
19760601 19760630    57.4
19760701 19760731    30.2
19760801 19760831    82.2
19760901 19760930    85.6
19761001 19761031   124.6
19761101 19761130   102.6
19761201 19761231    43.2
19770101 19770131    60.6
19770201 19770228    63.6
19770301 19770331    68.8
19770401 19770430   129.6
19770501 19770531    71.4
19770601 19770630   169.8
19770701 19770731    66.2
19770801 19770831    28.6
19770901 19770930    64.8
19771001 19771031    21.4
19771101 19771130    45.8
19771201 19771231    24.8
19780101 19780131    99.2
19780201 19780228    27.0
19780301 19780331   133.4
19780401 19780430    50.4
19780501 19780531   134.2
19780601 19780630    67.6
19780701 19780731    70.0
19780801 19780831   113.2
19780901 19780930   123.0
19781001 19781031    71.6
19781101 19781130   147.4
19781201 19781231   120.8
19790101 19790131    56.2
19790201 19790228    25.8
19790301 19790331    22.4
19790401 19790430    57.0
19790501 19790531    85.4
19790601 19790630    24.8
19790701 19790731    31.4
19790801 19790831    95.4
19790901 19790930    94.6
19791001 19791031   107.4
19791101 19791130    35.8
19791201 19791231    14.0
19800101 19800131    78.0
19800201 19800229    15.0
19800301 19800331    29.0
19800401 19800430    64.8
19800501 19800531    51.0
19800601 19800630    90.4
19800701 19800731    56.6
19800801 19800831    65.6
19800901 19800930    50.0
19801001 19801031   131.8
19801101 19801130    58.8
19801201 19801231    69.6
19810101 19810131    43.0
19810201 19810228    37.8
19810301 19810331    55.6
19810401 19810430    18.0
19810501 19810531   126.2
19810601 19810630    78.2
19810701 19810731   137.8
19810801 19810831   128.4
19810901 19810930    24.0
19811001 19811031    77.2
19811101 19811130    75.0
19811201 19811231    25.2
19820101 19820131    71.2
19820201 19820228     5.6
19820301 19820331    67.4
19820401 19820430    60.2
19820501 19820531    41.0
19820601 19820630    58.0
19820701 19820731    23.8
19820801 19820831    21.4
19820901 19820930    58.6
19821001 19821031    56.0
19821101 19821130    18.0
19821201 19821231    63.8
19830101 19830131    24.4
19830201 19830228     9.0
19830301 19830331    52.4
19830401 19830430    63.8
19830501 19830531    94.8
19830601 19830630    63.2
19830701 19830731    89.4
19830801 19830831   103.4
19830901 19830930    92.2
19831001 19831031   105.2
19831101 19831130    54.6
19831201 19831231    35.6
19840101 19840131    60.8
19840201 19840229    29.0
19840301 19840331    73.6
19840401 19840430    75.2
19840501 19840531    16.8
19840601 19840630    41.0
19840701 19840731    71.2
19840801 19840831    91.4
19840901 19840930   124.6
19841001 19841031    44.8
19841101 19841130    58.6
19841201 19841231    48.4
19850101 19850131    51.8
19850201 19850228     9.0
19850301 19850331    48.4
19850401 19850430    80.6
19850501 19850531    74.8
19850601 19850630    57.6
19850701 19850731    63.6
19850801 19850831   162.0
19850901 19850930    87.4
19851001 19851031    68.6
19851101 19851130    84.8
19851201 19851231   181.2
19860101 19860131    54.6
19860201 19860228    29.2
19860301 19860331    21.0
19860401 19860430    61.8
19860501 19860531    64.8
19860601 19860630    41.2
19860701 19860731   110.6
19860801 19860831    74.6
19860901 19860930    57.8
19861001 19861031   118.2
19861101 19861130    30.0
19861201 19861231    63.2
19870101 19870131    46.4
19870201 19870228    36.2
19870301 19870331    59.6
19870401 19870430    39.0
19870501 19870531    93.2
19870601 19870630    93.0
19870701 19870731   127.8
19870801 19870831    52.8
19870901 19870930    65.0
19871001 19871031    60.8
19871101 19871130    84.6
19871201 19871231   101.2
19880101 19880131   107.8
19880201 19880229    28.4
19880301 19880331    42.8
