PRCP       012011 19111001 20180131 missing_value=99999.9 BULLFINCH                                 
19640801 19640831    22.5
19640901 19640930    23.9
19641001 19641031     6.9
19641101 19641130    20.6
19641201 19641231     1.8
19650101 19650131     0.5
19650201 19650228     2.3
19650301 19650331     2.0
19650401 19650430     1.6
19650501 19650531    39.1
19650601 19650630    64.5
19650701 19650731    47.3
19650801 19650831    41.7
19650901 19650930    12.0
19651001 19651031    19.9
19651101 19651130    58.2
19651201 19651231     5.8
19660101 19660131   125.5
19660201 19660228    70.2
19660301 19660331     0.0
19660401 19660430    63.2
19660501 19660531     6.3
19660601 19660630    46.2
19660701 19660731    34.6
19660801 19660831    23.9
19660901 19660930    13.2
19661001 19661031    24.2
19661101 19661130     8.9
19661201 19661231     0.5
19670101 19670131    51.5
19670201 19670228     0.0
19670301 19670331     0.8
19670401 19670430    22.0
19670501 19670531    73.1
19670601 19670630    31.8
19670701 19670731    26.7
19670801 19670831    13.5
19670901 19670930     1.6
19671001 19671031    20.0
19671101 19671130     0.0
19671201 19671231    12.2
19680101 19680131     3.8
19680201 19680229     2.6
19680301 19680331    19.9
19680401 19680430    10.7
19680501 19680531    30.2
19680601 19680630   168.2
19680701 19680731    15.9
19680801 19680831    11.1
19680901 19680930    21.8
19681001 19681031     5.8
19681101 19681130     2.3
19681201 19681231     3.3
19690101 19690131     3.8
19690201 19690228     1.8
19690301 19690331     3.8
19690401 19690430    10.9
19690501 19690531    33.2
19690601 19690630    39.4
19690701 19690731     5.1
19690801 19690831    11.7
19690901 19690930    11.2
19691001 19691031     0.0
19691101 19691130    24.7
19691201 19691231     0.0
19700101 19700131     4.9
19700201 19700228    96.6
19700301 19700331     2.5
19700401 19700430    13.3
19700501 19700531     9.1
19700601 19700630    61.4
19700701 19700731    19.3
19700801 19700831    17.8
19700901 19700930    33.3
19701001 19701031     5.6
19701101 19701130     3.6
19701201 19701231    68.1
19710101 19710131    26.6
19710201 19710228    40.1
19710301 19710331    80.1
19710401 19710430     4.3
19710501 19710531    11.9
19710601 19710630    31.6
19710701 19710731    18.8
19710801 19710831    29.6
19710901 19710930    21.6
19711001 19711031     7.6
19711101 19711130    21.4
19711201 19711231     0.5
19720101 19720131     1.8
19720201 19720229    22.3
19720301 19720331    27.4
19720401 19720430     4.9
19720501 19720531     9.4
19720601 19720630    72.5
19720701 19720731    64.6
19720801 19720831    21.4
19720901 19720930     8.4
19721001 19721031     1.8
19721101 19721130    15.5
19721201 19721231     4.1
19730101 19730131    45.0
19730201 19730228    21.1
19730301 19730331     0.5
19730401 19730430    50.9
19730501 19730531     8.9
19730601 19730630    32.5
19730701 19730731    72.9
19730801 19730831    50.0
19730901 19730930    33.6
19731001 19731031     6.9
19731101 19731130    24.1
19731201 19731231     6.8
19740101 19740131     2.2
19740201 19740228     0.0
19740301 19740331    55.4
19740401 19740430    84.0
19740501 19740531    70.0
19740601 19740630    57.8
19740701 19740731    47.6
19740801 19740831    33.6
19740901 19740930    50.8
19741001 19741031    10.8
19741101 19741130    11.0
19741201 19741231     7.4
19750101 19750131     0.0
19750201 19750228     7.6
19750301 19750331    14.6
19750401 19750430    67.0
19750501 19750531    18.2
19750601 19750630    46.0
19750701 19750731    32.0
19750801 19750831    21.4
19750901 19750930    11.8
19751001 19751031    55.4
19751101 19751130     4.0
19751201 19751231    23.4
19760101 19760131     3.0
19760201 19760229    43.2
19760301 19760331    12.4
