PRCP       010123 19100101 20171231 missing_value=99999.9 THE GRANITES                              
19860901 19860930    19.8
19861001 19861031     8.6
19861101 19861130    26.4
19861201 19861231     0.0
19870101 19870131     0.2
19870201 19870228     0.0
19870301 19870331     7.8
19870401 19870430    33.8
19870501 19870531    32.8
19870601 19870630    30.4
19870701 19870731    45.6
19870801 19870831    36.8
19870901 19870930    18.2
19871001 19871031     6.6
19871101 19871130    12.4
19871201 19871231    55.0
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331    62.8
19880401 19880430    22.6
19880501 19880531    38.2
19880601 19880630    36.6
19880701 19880731    52.6
19880801 19880831    46.0
19880901 19880930    20.4
19881001 19881031    11.2
19881101 19881130    10.8
19881201 19881231    17.6
19890101 19890131    14.6
19890201 19890228    26.0
19890301 19890331     0.6
19890401 19890430    35.6
19890501 19890531    95.2
19890601 19890630    56.6
19890701 19890731    33.8
19890801 19890831    17.2
19890901 19890930     4.6
19891001 19891031    10.2
19891101 19891130     0.0
19891201 19891231     0.0
19900101 19900131   128.0
19900201 19900228    24.4
19900301 19900331    62.8
19900401 19900430    36.6
19900501 19900531    15.6
19900601 19900630    29.8
19900701 19900731    91.4
19900801 19900831    21.0
19900901 19900930    21.8
19901001 19901031    25.0
19901101 19901130     2.4
19901201 19901231     0.0
19910101 19910131     6.0
19910201 19910228     1.6
19910301 19910331     1.8
19910401 19910430    12.4
19910501 19910531    44.8
19910601 19910630    42.6
19910701 19910731    70.6
19910801 19910831    19.4
19910901 19910930    17.2
19911001 19911031    24.0
19911101 19911130    44.0
19911201 19911231    30.0
19920101 19920131     5.0
19920201 19920229    32.4
19920301 19920331    22.6
19920401 19920430    34.0
19920501 19920531    11.0
19920601 19920630    68.8
19920701 19920731    28.2
19920801 19920831    74.8
19920901 19920930    28.8
19921001 19921031    14.2
19921101 19921130    28.4
19921201 19921231     4.4
19930101 19930131     0.0
19930201 19930228     1.0
19930301 19930331    19.2
19930401 19930430     9.8
19930501 19930531    81.4
19930601 19930630    48.8
19930701 19930731    22.4
19930801 19930831    43.8
