PRCP       069006 18960401 20180131 missing_value=99999.9 BETTOWYND (CONDRY)                        
19830701 19830731    16.0
19830801 19830831    31.0
19830901 19830930    36.2
19831001 19831031   147.6
19831101 19831130    85.6
19831201 19831231    96.2
19840101 19840131   178.4
19840201 19840229   117.2
19840301 19840331   115.0
19840401 19840430    88.4
19840501 19840531    29.6
19840601 19840630   113.4
19840701 19840731   136.2
19840801 19840831    19.4
19840901 19840930    80.0
19841001 19841031    27.8
19841101 19841130    70.2
19841201 19841231    86.2
19850101 19850131     9.4
19850201 19850228    28.2
19850301 19850331    86.4
19850401 19850430    80.6
19850501 19850531    62.6
19850601 19850630    23.8
19850701 19850731     8.2
19850801 19850831    33.0
19850901 19850930   170.0
19851001 19851031   218.4
19851101 19851130   134.6
19851201 19851231    79.0
19860101 19860131    37.4
19860201 19860228    11.0
19860301 19860331    26.0
19860401 19860430    64.0
19860501 19860531    46.2
19860601 19860630    20.4
19860701 19860731     9.0
19860801 19860831    98.4
19860901 19860930    48.8
19861001 19861031    57.2
19861101 19861130   122.8
19861201 19861231    57.2
19870101 19870131    18.8
19870201 19870228   122.0
19870301 19870331    40.6
19870401 19870430    16.4
19870501 19870531    35.2
19870601 19870630    41.6
19870701 19870731    44.8
19870801 19870831    59.0
19870901 19870930    14.2
19871001 19871031    49.2
19871101 19871130    72.4
19871201 19871231    87.2
19880101 19880131    17.8
19880201 19880229    62.8
19880301 19880331    48.6
19880401 19880430   320.4
19880501 19880531   143.0
19880601 19880630    38.4
19880701 19880731   193.0
19880801 19880831    27.8
19880901 19880930    60.4
19881001 19881031    12.6
19881101 19881130   193.0
19881201 19881231   100.4
19890101 19890131    93.2
19890201 19890228    34.2
19890301 19890331   190.4
19890401 19890430   246.8
19890501 19890531    30.0
19890601 19890630    70.8
19890701 19890731    90.0
19890801 19890831    15.8
19890901 19890930    35.4
19891001 19891031    22.0
19891101 19891130   144.0
19891201 19891231    55.8
19900101 19900131    50.8
19900201 19900228    99.0
19900301 19900331    44.8
19900401 19900430   164.2
19900501 19900531   113.4
19900601 19900630    13.0
19900701 19900731    29.2
19900801 19900831   168.2
19900901 19900930    64.2
19901001 19901031    21.8
19901101 19901130    11.6
19901201 19901231    13.8
19910101 19910131    61.2
19910201 19910228    45.2
19910301 19910331    20.6
19910401 19910430    47.2
19910501 19910531    41.6
19910601 19910630   371.4
19910701 19910731   189.0
19910801 19910831    13.6
19910901 19910930    26.8
19911001 19911031    16.0
19911101 19911130    10.8
